Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are protons.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 1.06920E-04 2.53351E-08 2.32055E-08 2.17794E-08 2.06270E-08 2.21613E-08 1.92940E-08 1.65406E-08 1.47841E-08 1.26616E-08 1.00968E-08 7.72880E-09 5.94978E-09 4.31973E-09 2.77456E-09 2.48147E-09 2.70138E-09 1.51707E-09 7.35361E-10 2.51150E-10 0.00000E+00 0.00000E+00
0.03 1.08619E-04 1.44284E-05 4.42091E-07 4.11221E-07 3.89838E-07 3.69735E-07 3.55106E-07 3.29043E-07 2.87547E-07 2.42839E-07 2.11626E-07 1.78201E-07 1.45888E-07 1.35693E-07 9.72095E-08 8.97416E-08 7.35163E-08 6.00498E-08 4.90187E-08 4.34504E-08 4.32890E-08 2.43137E-08
0.1 1.18708E-04 1.08844E-04 8.58180E-05 6.43689E-05 1.25931E-05 1.22428E-05 1.19409E-05 1.15145E-05 1.08294E-05 9.80091E-06 9.05562E-06 7.93731E-06 7.60033E-06 6.47820E-06 5.85170E-06 5.18420E-06 4.75973E-06 4.19916E-06 3.92264E-06 4.72212E-06 4.30955E-06 3.64493E-06
0.18 2.99150E-05 4.55023E-05 5.74080E-05 6.95636E-05 9.69314E-05 1.01593E-04 8.30777E-05 5.54372E-05 5.47504E-05 5.10904E-05 4.72927E-05 4.44236E-05 4.26931E-05 3.84019E-05 3.57841E-05 3.42016E-05 3.18053E-05 3.07211E-05 2.83130E-05 2.97717E-05 2.72590E-05 2.50937E-05
0.3 5.68474E-05 6.98933E-05 8.61380E-05 1.03816E-04 1.32359E-04 1.51018E-04 1.70547E-04 1.90777E-04 2.01034E-04 2.05970E-04 1.83661E-04 1.65828E-04 1.61629E-04 1.53559E-04 1.47419E-04 1.38088E-04 1.27433E-04 1.26901E-04 1.24409E-04 1.28451E-04 1.16185E-04 1.11294E-04
0.56 1.18462E-04 1.44313E-04 1.78351E-04 2.09499E-04 2.70540E-04 3.26632E-04 3.72353E-04 4.54755E-04 5.11595E-04 5.53723E-04 5.82162E-04 5.97566E-04 6.00931E-04 6.15905E-04 6.12402E-04 6.13195E-04 5.91267E-04 5.93365E-04 5.95470E-04 5.90030E-04 5.76058E-04 5.94335E-04
1.0 2.11892E-04 2.54223E-04 3.22719E-04 3.70593E-04 4.87769E-04 5.90398E-04 6.84230E-04 8.33101E-04 9.70481E-04 1.06242E-03 1.12475E-03 1.19268E-03 1.27208E-03 1.27728E-03 1.30150E-03 1.30269E-03 1.30925E-03 1.30697E-03 1.35965E-03 1.35544E-03 1.32368E-03 1.33348E-03
3.0 4.68223E-04 5.59716E-04 6.90916E-04 8.14346E-04 1.07907E-03 1.32408E-03 1.53543E-03 1.93687E-03 2.26508E-03 2.54803E-03 2.77459E-03 2.95911E-03 3.17540E-03 3.25345E-03 3.36740E-03 3.47671E-03 3.53289E-03 3.64254E-03 3.72579E-03 3.81868E-03 3.57556E-03 3.60614E-03
10.0 1.16603E-03 1.39585E-03 1.74720E-03 2.03290E-03 2.71197E-03 3.30132E-03 3.84462E-03 4.82703E-03 5.63528E-03 6.41084E-03 6.96820E-03 7.43359E-03 7.77794E-03 8.11011E-03 8.36301E-03 8.66171E-03 8.76052E-03 8.78283E-03 9.08641E-03 9.16441E-03 9.03322E-03 8.96144E-03
30.0 2.10253E-03 2.53430E-03 3.14885E-03 3.70753E-03 4.87980E-03 6.02949E-03 7.12798E-03 9.07201E-03 1.07354E-02 1.22492E-02 1.34371E-02 1.44594E-02 1.54498E-02 1.61844E-02 1.70029E-02 1.73676E-02 1.78955E-02 1.82033E-02 1.85479E-02 1.87537E-02 1.92826E-02 1.96389E-02
100.0 4.48979E-03 5.32085E-03 6.68351E-03 7.75661E-03 1.05056E-02 1.29483E-02 1.53434E-02 1.93522E-02 2.32112E-02 2.62828E-02 2.93435E-02 3.22245E-02 3.39974E-02 3.61002E-02 3.79928E-02 3.99114E-02 4.08611E-02 4.16703E-02 4.38683E-02 4.50295E-02 4.52480E-02 4.46140E-02
