Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 1.76131E-04 2.12674E-07 1.84469E-07 1.77273E-07 1.65583E-07 1.64717E-07 1.55020E-07 1.43538E-07 1.28649E-07 1.16333E-07 8.81092E-08 7.51764E-08 6.79582E-08 5.69767E-08 5.35497E-08 4.26441E-08 2.62549E-08 4.20134E-08 2.27492E-08 2.45900E-08 2.73223E-08 1.38963E-08
0.03 1.79991E-04 2.80232E-05 3.16686E-06 3.08165E-06 2.95670E-06 2.94382E-06 2.91561E-06 2.75654E-06 2.59465E-06 2.35670E-06 2.13781E-06 1.96640E-06 1.64991E-06 1.45294E-06 1.30493E-06 1.16851E-06 1.07884E-06 9.95339E-07 8.38963E-07 7.13693E-07 5.77343E-07 6.17870E-07
0.1 3.03499E-04 2.80092E-04 2.33554E-04 1.87530E-04 8.04764E-05 8.10303E-05 8.14143E-05 8.19122E-05 8.04644E-05 7.72604E-05 7.31463E-05 6.81958E-05 6.48624E-05 6.07848E-05 5.56896E-05 5.20419E-05 5.07144E-05 4.69040E-05 4.35135E-05 4.31466E-05 4.14104E-05 6.43686E-05
0.18 3.82844E-04 3.98178E-04 4.03391E-04 4.07104E-04 4.05616E-04 3.93323E-04 3.76149E-04 3.37910E-04 3.40636E-04 3.39277E-04 3.31478E-04 3.13411E-04 3.08314E-04 2.96680E-04 2.88707E-04 2.68340E-04 2.55035E-04 2.53052E-04 2.35092E-04 2.24605E-04 2.37410E-04 2.24242E-04
0.3 2.69440E-04 3.62411E-04 4.92071E-04 6.00649E-04 7.39511E-04 8.33282E-04 8.99138E-04 1.00606E-03 1.06764E-03 1.08653E-03 1.08411E-03 1.06069E-03 1.03131E-03 1.02436E-03 9.79376E-04 9.56858E-04 9.42437E-04 1.00454E-03 9.21999E-04 8.58404E-04 8.09847E-04 8.16372E-04
0.56 5.17383E-04 6.19938E-04 7.78592E-04 9.00549E-04 1.18539E-03 1.44970E-03 1.67640E-03 2.05016E-03 2.35750E-03 2.58311E-03 2.79799E-03 2.98176E-03 3.07938E-03 3.14544E-03 3.15377E-03 3.18332E-03 3.22271E-03 3.27671E-03 3.23300E-03 3.24737E-03 3.07630E-03 3.17649E-03
1.0 8.72221E-04 1.05377E-03 1.30179E-03 1.53795E-03 2.02142E-03 2.47348E-03 2.86847E-03 3.57707E-03 4.17144E-03 4.65688E-03 5.01140E-03 5.29951E-03 5.59785E-03 5.68392E-03 5.85414E-03 5.94557E-03 6.14368E-03 6.07196E-03 6.08683E-03 6.32830E-03 6.17774E-03 6.10951E-03
3.0 1.92405E-03 2.30370E-03 2.87823E-03 3.35307E-03 4.47041E-03 5.43788E-03 6.37652E-03 7.98952E-03 9.43527E-03 1.06386E-02 1.15657E-02 1.23861E-02 1.30528E-02 1.36789E-02 1.41614E-02 1.44679E-02 1.48976E-02 1.50613E-02 1.53289E-02 1.52998E-02 1.51633E-02 1.62713E-02
10.0 4.47221E-03 5.32588E-03 6.62695E-03 7.77790E-03 1.03488E-02 1.27729E-02 1.49114E-02 1.91229E-02 2.23642E-02 2.54331E-02 2.79961E-02 3.01769E-02 3.17408E-02 3.33862E-02 3.46855E-02 3.57977E-02 3.65375E-02 3.67585E-02 3.75285E-02 3.79952E-02 3.86033E-02 3.85781E-02
30.0 8.87264E-03 1.06856E-02 1.32121E-02 1.54546E-02 2.07615E-02 2.54886E-02 2.99680E-02 3.84902E-02 4.58171E-02 5.19093E-02 5.75503E-02 6.16627E-02 6.58775E-02 6.94670E-02 7.24671E-02 7.51547E-02 7.70014E-02 7.87310E-02 8.09264E-02 8.14391E-02 8.26480E-02 8.08903E-02
100.0 1.82187E-02 2.15609E-02 2.68957E-02 3.16529E-02 4.21687E-02 5.20081E-02 6.10547E-02 7.83973E-02 9.26186E-02 1.06204E-01 1.18780E-01 1.29689E-01 1.41188E-01 1.47222E-01 1.54358E-01 1.64816E-01 1.69518E-01 1.74512E-01 1.78673E-01 1.82179E-01 1.89144E-01 1.90374E-01
