Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 8.07924E-07 7.82612E-13 6.85954E-13 6.46214E-13 4.73657E-13 3.72472E-13 3.22721E-13 1.62649E-13 1.37791E-13 1.20108E-13 8.10227E-14 5.71037E-14 5.13480E-14 4.28315E-14 5.04308E-14 5.76427E-14 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 4.50714E-07 3.91083E-08 8.62236E-10 7.36981E-10 6.03761E-10 4.85710E-10 4.50629E-10 3.54608E-10 2.78706E-10 2.46540E-10 1.99199E-10 1.91261E-10 1.84221E-10 1.52256E-10 1.57208E-10 1.27888E-10 2.14759E-10 1.14660E-10 1.67019E-10 1.33656E-10 1.03451E-10 9.51778E-11
0.1 3.19323E-07 3.18455E-07 2.78175E-07 2.28261E-07 4.37811E-08 3.66077E-08 3.31951E-08 2.80600E-08 2.42583E-08 2.17313E-08 1.92383E-08 1.74829E-08 1.59039E-08 1.47986E-08 1.41951E-08 1.34731E-08 1.35756E-08 1.21798E-08 1.15821E-08 1.19032E-08 1.06419E-08 1.14051E-08
0.18 3.29570E-07 3.63012E-07 3.75605E-07 3.74756E-07 3.48944E-07 3.04436E-07 2.52617E-07 1.51407E-07 1.32959E-07 1.23979E-07 1.13548E-07 1.01160E-07 9.57864E-08 8.92841E-08 8.52580E-08 8.62295E-08 7.97834E-08 8.22736E-08 7.54383E-08 6.85138E-08 6.91138E-08 8.17169E-08
0.3 4.44683E-07 5.12898E-07 5.43257E-07 5.95282E-07 6.11946E-07 6.31470E-07 6.25390E-07 5.99235E-07 5.49163E-07 5.09676E-07 4.48181E-07 4.11290E-07 4.04785E-07 3.66934E-07 3.47828E-07 3.23259E-07 3.21375E-07 3.33774E-07 2.93697E-07 2.90685E-07 2.70619E-07 2.84624E-07
0.56 5.15356E-06 5.45698E-06 8.51723E-06 8.15539E-06 7.94753E-06 7.82681E-06 7.33948E-06 6.37963E-06 7.11132E-06 4.71627E-06 4.00294E-06 3.56935E-06 3.15419E-06 3.18378E-06 2.56833E-06 2.75860E-06 2.40706E-06 2.43047E-06 2.78626E-06 1.88171E-06 1.74765E-06 2.02862E-06
1.0 3.35233E-05 3.96976E-05 4.82222E-05 6.12046E-05 5.24930E-05 7.57840E-05 5.96048E-05 6.74024E-05 6.11280E-05 6.62659E-05 1.10911E-04 5.98362E-05 5.46621E-05 7.00189E-05 5.64171E-05 5.65249E-05 4.56683E-05 4.96047E-05 1.46496E-04 4.15278E-05 4.46777E-05 3.79389E-05
3.0 1.81164E-04 2.01129E-04 2.26258E-04 2.55524E-04 2.72730E-04 3.59670E-04 3.29626E-04 3.62984E-04 4.06329E-04 4.25264E-04 4.29318E-04 4.05049E-04 4.41298E-04 4.61376E-04 4.14722E-04 3.98592E-04 4.33369E-04 3.85419E-04 3.97583E-04 3.65222E-04 3.37117E-04 6.46642E-04
10.0 6.63136E-04 7.47964E-04 8.93208E-04 9.21133E-04 1.11480E-03 1.29154E-03 1.26999E-03 1.55439E-03 1.54502E-03 1.64991E-03 1.62859E-03 1.64583E-03 1.62375E-03 1.84019E-03 1.74666E-03 1.74239E-03 1.90237E-03 1.71229E-03 1.65345E-03 1.75736E-03 1.78738E-03 1.81593E-03
30.0 1.70467E-03 1.90285E-03 2.13397E-03 2.31237E-03 2.54911E-03 2.90538E-03 3.12926E-03 3.50207E-03 4.17548E-03 4.01851E-03 4.12203E-03 4.14430E-03 4.46520E-03 4.35831E-03 4.42687E-03 4.66921E-03 4.73673E-03 4.94517E-03 4.84482E-03 4.58734E-03 4.89043E-03 4.31274E-03
100.0 4.29474E-03 4.44017E-03 4.92523E-03 5.27718E-03 6.20400E-03 6.52642E-03 6.71394E-03 7.65199E-03 7.50147E-03 8.47451E-03 9.54162E-03 9.60610E-03 9.55737E-03 1.01909E-02 1.06973E-02 1.04922E-02 1.25638E-02 1.15737E-02 1.73070E-02 1.25235E-02 1.72447E-02 1.36225E-02
