Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 7.33625E-07 1.66643E-12 6.53361E-13 6.15452E-13 4.51152E-13 3.54806E-13 3.07439E-13 1.54870E-13 1.31179E-13 1.14416E-13 7.71772E-14 5.43827E-14 4.88928E-14 4.07724E-14 4.80032E-14 5.49221E-14 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 4.13005E-07 3.95187E-08 1.09161E-09 7.35787E-10 5.59309E-10 4.48908E-10 4.16734E-10 3.31768E-10 2.58817E-10 2.27332E-10 1.84256E-10 1.75988E-10 1.71054E-10 1.39764E-10 1.46210E-10 1.19875E-10 1.95319E-10 1.06087E-10 1.51830E-10 1.21459E-10 1.51999E-10 8.64453E-11
0.1 3.19936E-07 3.54224E-07 3.19080E-07 2.55041E-07 5.40717E-08 3.93781E-08 3.33554E-08 2.66717E-08 2.28135E-08 2.05675E-08 1.79608E-08 1.65291E-08 1.49272E-08 1.39162E-08 1.33390E-08 1.28125E-08 1.27889E-08 1.14511E-08 1.08744E-08 1.11330E-08 1.02872E-08 1.03606E-08
0.18 3.52898E-07 4.40801E-07 5.04922E-07 5.16477E-07 4.77187E-07 3.89377E-07 3.05633E-07 1.68631E-07 1.37978E-07 1.24795E-07 1.12124E-07 9.90427E-08 9.26108E-08 8.55303E-08 8.23916E-08 8.44697E-08 7.70164E-08 8.01659E-08 7.26192E-08 6.46424E-08 6.79482E-08 8.22580E-08
0.3 5.26939E-07 7.25062E-07 7.64964E-07 9.03836E-07 8.86029E-07 9.27992E-07 9.06828E-07 8.34133E-07 7.22344E-07 6.57109E-07 5.74458E-07 4.45993E-07 4.06929E-07 3.76246E-07 3.52903E-07 3.25855E-07 3.15017E-07 3.22952E-07 2.94789E-07 2.91018E-07 2.87083E-07 2.81868E-07
0.56 1.12428E-06 1.32442E-06 1.49105E-06 1.69476E-06 1.91442E-06 2.10568E-06 2.21597E-06 2.30471E-06 2.33288E-06 2.29304E-06 2.24191E-06 2.16154E-06 2.17442E-06 2.05763E-06 1.91934E-06 1.82380E-06 1.78868E-06 1.68941E-06 1.64197E-06 1.61218E-06 1.40666E-06 1.63189E-06
1.0 1.87556E-06 2.20876E-06 2.51690E-06 2.98807E-06 3.08370E-06 3.39738E-06 3.62283E-06 3.91412E-06 4.01925E-06 4.03190E-06 4.31279E-06 4.20617E-06 4.04835E-06 4.17751E-06 4.05199E-06 4.25055E-06 4.50662E-06 4.17489E-06 4.20355E-06 4.47137E-06 3.93591E-06 3.97848E-06
3.0 3.84632E-06 4.53670E-06 5.11696E-06 5.43490E-06 6.07382E-06 6.55871E-06 6.91251E-06 7.36764E-06 7.82645E-06 8.22787E-06 8.42538E-06 9.12851E-06 8.89524E-06 9.26986E-06 9.00036E-06 9.11136E-06 9.59495E-06 9.30716E-06 9.21864E-06 9.07825E-06 8.67920E-06 8.91149E-06
10.0 7.66994E-06 8.52697E-06 9.58176E-06 1.00720E-05 1.16018E-05 1.27201E-05 1.35007E-05 1.52067E-05 1.59681E-05 1.65125E-05 1.72494E-05 1.77176E-05 1.80893E-05 1.93992E-05 1.93413E-05 1.98207E-05 2.10073E-05 1.90584E-05 1.94341E-05 2.01103E-05 2.05989E-05 2.11270E-05
30.0 1.32760E-05 1.44847E-05 1.58019E-05 1.74763E-05 1.93753E-05 2.05896E-05 2.24056E-05 2.45323E-05 2.78883E-05 2.88958E-05 2.96805E-05 3.13416E-05 3.26963E-05 3.35492E-05 3.35927E-05 3.43083E-05 3.49866E-05 3.83510E-05 3.62072E-05 3.58197E-05 3.41007E-05 5.14196E-05
100.0 2.60526E-05 2.82277E-05 3.29796E-05 3.22680E-05 3.88332E-05 3.91944E-05 4.01359E-05 4.46421E-05 4.78203E-05 5.25013E-05 5.73501E-05 6.08656E-05 6.42429E-05 6.84735E-05 6.82781E-05 6.62253E-05 7.21169E-05 7.57153E-05 7.85535E-05 7.83256E-05 8.76629E-05 7.61304E-05
