Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are protons.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 2.68712E-06 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 1.82716E-06 4.22403E-07 8.61346E-13 5.40824E-13 3.93761E-13 3.66943E-13 2.31108E-13 1.76022E-13 1.17257E-13 5.03737E-14 9.88589E-14 2.25747E-14 1.81649E-14 2.20389E-14 9.98903E-15 9.11067E-15 1.92355E-14 6.58039E-15 2.25369E-16 4.65420E-16 1.59358E-15 0.00000E+00
0.1 1.19179E-06 1.16462E-06 9.66408E-07 7.53893E-07 3.26896E-09 2.46461E-09 2.09885E-09 1.81706E-09 1.48688E-09 1.24403E-09 1.05594E-09 1.02013E-09 8.10391E-10 7.40863E-10 8.26054E-10 8.04369E-10 5.65984E-10 7.49431E-10 4.43835E-10 1.09507E-09 4.95636E-10 4.16564E-10
0.18 1.21819E-06 1.23075E-06 1.09624E-06 9.99719E-07 7.86395E-07 5.87371E-07 3.88272E-07 1.63270E-08 1.41169E-08 1.25178E-08 1.19703E-08 1.04806E-08 1.02515E-08 8.75991E-09 8.32421E-09 8.40738E-09 7.11593E-09 7.25231E-09 7.08323E-09 6.61948E-09 8.64878E-09 7.80890E-09
0.3 1.29320E-06 1.37426E-06 1.34237E-06 1.30711E-06 1.09191E-06 9.62054E-07 8.72818E-07 6.65008E-07 4.88658E-07 3.25278E-07 1.49917E-07 4.78643E-08 4.46314E-08 4.12594E-08 3.88568E-08 3.80920E-08 3.59444E-08 3.76391E-08 3.45137E-08 3.76333E-08 3.80217E-08 4.27641E-08
0.56 1.45988E-06 1.49932E-06 1.53427E-06 1.49662E-06 1.41967E-06 1.45474E-06 1.37644E-06 1.27745E-06 1.15715E-06 1.11672E-06 1.06169E-06 9.31228E-07 8.26335E-07 8.01349E-07 7.46718E-07 6.23883E-07 5.58474E-07 4.93997E-07 4.54308E-07 4.23318E-07 3.79856E-07 2.41828E-07
1.0 1.70428E-06 1.71436E-06 1.79029E-06 1.79872E-06 1.76758E-06 1.75392E-06 1.68940E-06 1.66979E-06 1.68227E-06 1.53525E-06 1.64065E-06 1.50960E-06 1.44863E-06 1.41863E-06 1.36058E-06 1.35899E-06 1.25747E-06 1.29112E-06 1.21654E-06 1.31327E-06 1.15296E-06 1.23843E-06
3.0 2.12081E-06 2.20626E-06 2.23982E-06 2.34709E-06 2.34409E-06 2.43025E-06 2.45590E-06 2.46147E-06 2.53386E-06 2.50525E-06 2.56164E-06 2.56591E-06 2.58225E-06 2.53023E-06 2.54345E-06 2.50559E-06 2.64482E-06 2.45681E-06 2.54251E-06 2.48047E-06 2.43566E-06 3.20000E-06
10.0 3.21591E-06 3.53063E-06 3.76266E-06 3.84144E-06 3.94325E-06 4.24166E-06 4.20113E-06 4.34514E-06 4.69640E-06 4.76588E-06 4.85936E-06 4.85281E-06 4.80531E-06 5.32224E-06 4.91542E-06 4.83437E-06 4.78376E-06 4.95143E-06 5.02776E-06 4.85018E-06 5.22548E-06 4.84745E-06
30.0 3.08736E-06 3.61823E-06 3.75735E-06 4.22354E-06 4.53484E-06 4.76652E-06 5.41543E-06 5.90445E-06 6.38445E-06 6.82042E-06 7.20905E-06 7.35504E-06 7.44638E-06 7.88577E-06 7.72424E-06 8.41487E-06 8.04197E-06 8.07955E-06 7.96361E-06 7.88969E-06 8.56229E-06 7.67529E-06
100.0 6.45365E-06 6.90579E-06 7.85422E-06 8.22709E-06 8.80640E-06 1.03431E-05 1.10660E-05 1.10208E-05 1.21471E-05 1.27825E-05 1.36746E-05 1.65553E-05 1.46890E-05 1.58322E-05 1.66662E-05 1.67322E-05 1.70117E-05 1.72345E-05 1.90416E-05 1.90479E-05 1.84988E-05 1.66071E-05
