Production rate of Ti-44 by GCR (all) in meteoroid 50cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.03,15.06,20.09,25.12,30.15,35.18,40.21,45.24,50.27,55.3,60.33,65.36,70.39,75.42,80.45,85.48,90.51,95.54,100.57,105.6,110.63,115.66,120.69,125.72,130.75,135.78,140.81,145.84,150.87,155.9,160.93,165.96,170.99,176.02,181.05
450,1.681072669605992e-05,1.6854704037210338e-05,1.6812264666216515e-05,1.693959160566723e-05,1.6446737143985986e-05,1.6558408119877465e-05,1.653544117698356e-05,1.6524160390155784e-05,1.6465628321307122e-05,1.6442510800076562e-05,1.6428779623481955e-05,1.639112194022035e-05,1.6286944290057083e-05,1.6169868029953712e-05,1.611380021337483e-05,1.6006941648599836e-05,1.5936786835762728e-05,1.5894038384837955e-05,1.58745543592664e-05,1.578906780359752e-05,1.567614826478608e-05,1.5634713903307208e-05,1.558342600468613e-05,1.5441824115423524e-05,1.542289253402204e-05,1.5336619895982504e-05,1.5290708596718056e-05,1.5188839755785892e-05,1.517271732356595e-05,1.513654824719544e-05,1.513814273081212e-05,1.5062679865338808e-05,1.4996431203475409e-05,1.4977315312271778e-05,1.4834972264032282e-05,1.479533401912282e-05,1.4742696525613945e-05,1.4870287528815466e-05,1.4292014209850664e-05
500,1.5624500248833966e-05,1.5691699259670413e-05,1.568357326770798e-05,1.582462657907046e-05,1.541094141424844e-05,1.5544563525266234e-05,1.5547896989294312e-05,1.555883172014007e-05,1.552181834066236e-05,1.5514043812882302e-05,1.5513485696452968e-05,1.5489803842720388e-05,1.5401874384531136e-05,1.5301786345286928e-05,1.5256944880976505e-05,1.5164656638644269e-05,1.5104695608730774e-05,1.5069483008758248e-05,1.5054883821661421e-05,1.4978940263183551e-05,1.4877119764774509e-05,1.4841601367122595e-05,1.4797630557030224e-05,1.4666630504248896e-05,1.465107335345115e-05,1.4573373140204327e-05,1.4532180065302627e-05,1.4439091468171265e-05,1.4425116524147615e-05,1.4393854571476643e-05,1.4397424653605141e-05,1.432772047912307e-05,1.426635919820483e-05,1.4249953767887533e-05,1.4116213936935448e-05,1.4080042116130515e-05,1.4033853300534443e-05,1.4151083010341111e-05,1.3603187373297865e-05
550,1.456838476670055e-05,1.465307251007056e-05,1.4672432693413525e-05,1.482353850137444e-05,1.4476303701284514e-05,1.4627050891000392e-05,1.4651862348666126e-05,1.4680919054981634e-05,1.4661861610288434e-05,1.4666818227663641e-05,1.4677146132631063e-05,1.466516103042929e-05,1.4591159137735077e-05,1.4505738194777354e-05,1.44704502186616e-05,1.4390850050836625e-05,1.4339731414772169e-05,1.4311016917345995e-05,1.4300591397385108e-05,1.4233011297641058e-05,1.4140986795887623e-05,1.4110595399917007e-05,1.4073013229275049e-05,1.3951482854232993e-05,1.3938816744452961e-05,1.3868688738920774e-05,1.383160631915956e-05,1.3746341453919754e-05,1.373421009144201e-05,1.3707212030972935e-05,1.3712372849652017e-05,1.3647794818969994e-05,1.3590842019731609e-05,1.3576786954229541e-05,1.3450849012719684e-05,1.3417730971719843e-05,1.3377391057853518e-05,1.3485148593018885e-05,1.2965274438140441e-05
600,1.3622765436651724e-05,1.3720586037285354e-05,1.376202804164172e-05,1.3920331496444534e-05,1.3629214021847378e-05,1.379323139042507e-05,1.3835610588528635e-05,1.3879466054052755e-05,1.3875433277317899e-05,1.3890973156844663e-05,1.3910310686291073e-05,1.3908141115079462e-05,1.3846128625898216e-05,1.3773421090250114e-05,1.3746286603152767e-05,1.367777416586483e-05,1.3634352088351464e-05,1.3611258568406885e-05,1.3604409955573829e-05,1.3544188558453439e-05,1.3460844250822843e-05,1.3434912738743324e-05,1.3402927583068528e-05,1.3289892019053521e-05,1.3279712359664081e-05,1.32162985336714e-05,1.3182813986417378e-05,1.3104546682378914e-05,1.3094006058465428e-05,1.307072583791772e-05,1.3077160639002217e-05,1.3017166202562344e-05,1.2964205991706377e-05,1.2952195549108984e-05,1.2833358847464712e-05,1.2802941203232048e-05,1.27679126922229e-05,1.2866995634333074e-05,1.2373032008632539e-05
650,1.2771785854648093e-05,1.287939176645689e-05,1.2938596874777397e-05,1.3101864631575108e-05,1.2858392653477913e-05,1.303258092360494e-05,1.3089334652837832e-05,1.314527279602499e-05,1.3153837074883183e-05,1.3178182694404625e-05,1.3204980654729795e-05,1.3211063819466687e-05,1.315941130447256e-05,1.3097762732965437e-05,1.3077603796632146e-05,1.3018811138248257e-05,1.2982108888746027e-05,1.2963890995543707e-05,1.2960115636062183e-05,1.290639231488209e-05,1.2830767433986122e-05,1.2808728545912689e-05,1.2781661754715228e-05,1.2676276683370326e-05,1.2668242770396223e-05,1.2610803132505527e-05,1.2580481063122387e-05,1.250849393561828e-05,1.2499332294616663e-05,1.2479303959398289e-05,1.2486751125516083e-05,1.2430872203287399e-05,1.2381541095658364e-05,1.2371314353946215e-05,1.2258963200998417e-05,1.223094180498254e-05,1.2200741800587185e-05,1.2291867613070467e-05,1.182191679080031e-05
700,1.2002477558634315e-05,1.2117272065875302e-05,1.2190761021589637e-05,1.2357236909710517e-05,1.2154408162938877e-05,1.2336262033168501e-05,1.2404766442896358e-05,1.2470554279153006e-05,1.2489693345339149e-05,1.2521365456693253e-05,1.2554337686938542e-05,1.2567367891624491e-05,1.2524697307594493e-05,1.2472698939266281e-05,1.2458519648962881e-05,1.240827174792615e-05,1.2377452689351408e-05,1.2363473950468095e-05,1.2362344541668389e-05,1.2314378368662466e-05,1.2245641434971153e-05,1.2227010344342695e-05,1.2204277226991497e-05,1.210580747829976e-05,1.2099630809571737e-05,1.2047524030914954e-05,1.2019992706305008e-05,1.1953659797368651e-05,1.1945698706741243e-05,1.1928522767226041e-05,1.193676559250453e-05,1.1884596169699841e-05,1.1838574648224219e-05,1.1829907894875692e-05,1.1723498748761853e-05,1.1697610624235727e-05,1.1671804293830827e-05,1.1755620051203085e-05,1.1307970506148033e-05
750,1.1304124965787252e-05,1.1424078500067064e-05,1.1509028718886523e-05,1.1677326656362006e-05,1.1509311653180074e-05,1.1696796951227487e-05,1.17748843302623e-05,1.1848676554975125e-05,1.1876697014962874e-05,1.1914458502191998e-05,1.1952531969002565e-05,1.1971412746130257e-05,1.1936552350622967e-05,1.189299860507994e-05,1.1883953262714697e-05,1.1841236298191321e-05,1.1815580595362026e-05,1.1805295084974857e-05,1.1806447374169377e-05,1.1763597479313116e-05,1.1701025536185453e-05,1.168538591769863e-05,1.1666480448279309e-05,1.1574282724018277e-05,1.1569717756961448e-05,1.1522385498520366e-05,1.1497325918031263e-05,1.1436098595992819e-05,1.1429186847665729e-05,1.1414519307553702e-05,1.142337787078843e-05,1.1374564003008233e-05,1.1331569726971052e-05,1.1324270333056862e-05,1.1223321281744001e-05,1.1199338087603571e-05,1.117753305857949e-05,1.1254623772301003e-05,1.082772724729197e-05
800,1.0667793254055968e-05,1.0791309955180798e-05,1.0885417788022124e-05,1.1054441262320777e-05,1.0916355380620582e-05,1.1107814605516407e-05,1.119368559696384e-05,1.1273950393836142e-05,1.1309427639796394e-05,1.1352239353971023e-05,1.1394514951104064e-05,1.141832132384691e-05,1.1390269884087197e-05,1.1354124329010395e-05,1.1349491926200832e-05,1.1313427562123388e-05,1.1292313334438438e-05,1.1285250877929135e-05,1.1288373012503126e-05,1.125008266694364e-05,1.1193044399308294e-05,1.1180037198918075e-05,1.116451961147031e-05,1.1078028424004793e-05,1.1074865202423712e-05,1.1031819338553469e-05,1.1008956459124084e-05,1.09523518753527e-05,1.0946360654462007e-05,1.0933904113207493e-05,1.0943228771013902e-05,1.0897460466849355e-05,1.0857242754440425e-05,1.0851144205648399e-05,1.075522626576738e-05,1.0732948958285675e-05,1.071479049081439e-05,1.0785686264960867e-05,1.0378138222614989e-05
850,1.0085971614138625e-05,1.0211790845094154e-05,1.0313166434898789e-05,1.0482047242359127e-05,1.0369773623991738e-05,1.0563852556798942e-05,1.0656007400367051e-05,1.0741468194456807e-05,1.0783198751319839e-05,1.0830184450836416e-05,1.0875905928096403e-05,1.0903854393419341e-05,1.0881752522427908e-05,1.0852120396709487e-05,1.085128400197238e-05,1.0821108392223359e-05,1.0803996352078714e-05,1.0799750496706898e-05,1.0804574429833409e-05,1.0770358053286529e-05,1.0718299962453681e-05,1.0707614277977672e-05,1.0695100930056967e-05,1.0613817072358441e-05,1.0611875297658988e-05,1.0572687426568593e-05,1.0551783063297886e-05,1.0499374634185982e-05,1.0494193661655612e-05,1.0483690048295876e-05,1.0493356190322435e-05,1.045036077056762e-05,1.0412696077320244e-05,1.0407653914886002e-05,1.0316383787121387e-05,1.0295638230248415e-05,1.028080503899338e-05,1.0345987245950924e-05,9.95651012464997e-06
900,9.55229979949542e-06,9.679422445068622e-06,9.786508536996006e-06,9.954559684914887e-06,9.864610152037348e-06,1.0060200301506232e-05,1.0157384485582831e-05,1.0246973813607809e-05,1.0293937232412653e-05,1.0344355521884105e-05,1.0392884655095078e-05,1.0424309113189601e-05,1.0407416129026842e-05,1.0383521991009941e-05,1.0385951983312515e-05,1.0360998515967385e-05,1.0347419364718486e-05,1.0345637532816954e-05,1.0351932037772817e-05,1.0321364521220546e-05,1.0273799525629684e-05,1.0265165150460386e-05,1.0255320182763558e-05,1.0178801208601537e-05,1.0177925437616617e-05,1.0142218212877027e-05,1.0123065254436275e-05,1.0074474761101442e-05,1.0070009191216232e-05,1.0061233792183012e-05,1.0071137587718024e-05,1.0030674215870007e-05,9.995362399280673e-06,9.991250882557538e-06,9.904284883049614e-06,9.884918215932248e-06,9.873118837703794e-06,9.93302546950034e-06,9.560454278781557e-06
950,9.061355853717324e-06,9.188988487273477e-06,9.300497088443943e-06,9.467176246452499e-06,9.39658102646122e-06,9.592774112174045e-06,9.69393505945408e-06,9.786757745622263e-06,9.838085898471726e-06,9.891307600331248e-06,9.942104199963849e-06,9.97643650797728e-06,9.964111614063427e-06,9.945281032908071e-06,9.950521377147721e-06,9.930206403789584e-06,9.919750426486428e-06,9.920125804599722e-06,9.927690758597248e-06,9.900398634919277e-06,9.856896612046437e-06,9.850077899957429e-06,9.842606329774686e-06,9.770458643205506e-06,9.770514372193838e-06,9.73795429550523e-06,9.720371960010617e-06,9.675262950387077e-06,9.67143085857655e-06,9.664187379770247e-06,9.674242309034776e-06,9.636097458223133e-06,9.602958668784865e-06,9.599668014575812e-06,9.516696962726622e-06,9.498574576278679e-06,9.489544199715542e-06,9.544574522785558e-06,9.187844399389642e-06
1000,8.608489451756309e-06,8.736001576190637e-06,8.850864082644954e-06,9.015744982411634e-06,8.961964513463344e-06,9.15801619407876e-06,9.26226848025805e-06,9.35757202673773e-06,9.412524193037053e-06,9.468013974542635e-06,9.520619679549147e-06,9.557373833572784e-06,9.549060709317068e-06,9.534705172435148e-06,9.542362119081812e-06,9.526173084892088e-06,9.518481511073748e-06,9.520746330101216e-06,9.529408007911687e-06,9.505062108280254e-06,9.4652420013302e-06,9.460032788541177e-06,9.454674756554041e-06,9.386546999426255e-06,9.38741745060606e-06,9.357708845546552e-06,9.341538766097185e-06,9.299611013201156e-06,9.296341348788632e-06,9.290457810200795e-06,9.300591821043143e-06,9.264575495089763e-06,9.233447570755686e-06,9.23088165692025e-06,9.151626546222323e-06,9.134629552990659e-06,9.128127241378458e-06,9.178645860156507e-06,8.836781275147317e-06
1050,8.189689711236588e-06,8.316580693298991e-06,8.433908291848644e-06,8.596658177744465e-06,8.557512013968722e-06,8.75281278240623e-06,8.859410014343269e-06,8.956560634222916e-06,9.014503156204691e-06,9.071804517316376e-06,9.125829574537369e-06,9.164588761664509e-06,9.159802866309635e-06,9.149407264532035e-06,9.159139994760033e-06,9.14662551269223e-06,9.141383305304705e-06,9.145303242932055e-06,9.154910419571763e-06,9.13321973257374e-06,9.096742927241962e-06,9.09296230646439e-06,9.089488257813321e-06,9.025065751503748e-06,9.026649220609792e-06,8.999529167208858e-06,8.984632143713954e-06,8.945616966214354e-06,8.942847874109635e-06,8.938173179034144e-06,8.948326345268507e-06,8.914268911189695e-06,8.88500517968277e-06,8.883079624959232e-06,8.807287938884242e-06,8.791311045045248e-06,8.787117295326686e-06,8.833457711980127e-06,8.505563074580566e-06
