Production rate of Ti-44 by GCR (all) in meteoroid 10cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,9.03,13.06,17.09,21.12,25.15,29.18,33.21
0,5.054304131483883e-05,4.692469459533447e-05,4.3866149783929356e-05,4.3657929738780714e-05,3.737912002536006e-05,3.692099186692386e-05,3.666120530683058e-05,3.624580225153531e-05,3.554640489752966e-05,3.4995843462041225e-05,3.473519705532312e-05
50,4.348233838674308e-05,4.079715024871122e-05,3.840734725473485e-05,3.8373920035821e-05,3.308985935639252e-05,3.280509963698293e-05,3.265669592017515e-05,3.235941246729408e-05,3.180421734838251e-05,3.1349234921629534e-05,3.1129083267616285e-05
100,3.814474937037332e-05,3.600421944300735e-05,3.406246689453307e-05,3.4134696405905215e-05,2.9596604053829447e-05,2.9430047956848502e-05,2.9357398002096816e-05,2.9144745386134967e-05,2.8697609442886022e-05,2.8316256282770706e-05,2.812834246228755e-05
150,3.3891425535426305e-05,3.212393474647574e-05,3.0508397422055707e-05,3.064789614249842e-05,2.669279193348012e-05,2.6609913476179493e-05,2.659057944262473e-05,2.6440571026469135e-05,2.6076603025270064e-05,2.5753251292851774e-05,2.55914501244734e-05
200,3.0403554356072125e-05,2.8910997742881315e-05,2.7544160268905073e-05,2.7727504411755786e-05,2.4240864092070613e-05,2.4218699769238422e-05,2.4237723231305778e-05,2.4135156707595033e-05,2.383650167621407e-05,2.3559646926301258e-05,2.341929592182331e-05
250,2.7486702328029414e-05,2.620587354030797e-05,2.50345406541309e-05,2.5246606605852692e-05,2.2144255806080437e-05,2.216688535848637e-05,2.2213893615036446e-05,2.214786866593825e-05,2.1901327995425998e-05,2.1662283249227198e-05,2.15397599148958e-05
300,2.5010891450590957e-05,2.389808144249219e-05,2.2883921999877715e-05,2.311456734171197e-05,2.0332608269624957e-05,2.038865234722397e-05,2.0456240447613536e-05,2.0418725242854317e-05,2.0214310828056907e-05,2.0006382170306477e-05,1.9898824355534482e-05
350,2.2884307305755793e-05,2.190781939467058e-05,2.1022235508951868e-05,2.126447324279462e-05,1.875318590618132e-05,1.883431774016306e-05,1.891708000407391e-05,1.8902028380729397e-05,1.8732036850609826e-05,1.8549979222516307e-05,1.845509334773545e-05
400,2.10395869810368e-05,2.0175629492110275e-05,1.93967145351232e-05,1.9645637707300126e-05,1.736556223096525e-05,1.7465574570861876e-05,1.7559494809034365e-05,1.756227597915995e-05,1.742067165841242e-05,1.7260316898954974e-05,1.7176242603658604e-05
450,1.94258904443466e-05,1.8656128091161652e-05,1.7966746629129515e-05,1.8218862075693973e-05,1.6138167744464363e-05,1.6252363585068695e-05,1.6354415767864726e-05,1.6371431948923122e-05,1.625342222008022e-05,1.6111417587857785e-05,1.6036629903162952e-05
500,1.800398639440669e-05,1.7313989573439808e-05,1.6700507191745308e-05,1.6953306237911045e-05,1.5045961954962544e-05,1.517074349584049e-05,1.5278621837864253e-05,1.5307044080379857e-05,1.520877937114802e-05,1.5082399390407894e-05,1.501563660268356e-05
550,1.6743048863971075e-05,1.6121265160699564e-05,1.557267677271005e-05,1.5824349778373606e-05,1.4068815357849248e-05,1.4201399159177941e-05,1.4313330859446313e-05,1.4350911957879428e-05,1.426926904711901e-05,1.4156277411988808e-05,1.4096486948562031e-05
600,1.561848670408623e-05,1.5055533350018429e-05,1.4562846975327849e-05,1.4812088569673575e-05,1.3190356367428562e-05,1.3328571466747577e-05,1.3443183914495327e-05,1.348812311391859e-05,1.3420545636577553e-05,1.3319092114956022e-05,1.3265389337266124e-05
650,1.4610426926408402e-05,1.4098589366283532e-05,1.3654379693611969e-05,1.3900252995548108e-05,1.2397132012825821e-05,1.253927407117705e-05,1.2655498897786625e-05,1.2706342291898554e-05,1.2650721409280836e-05,1.255926372416205e-05,1.2510900133029383e-05
700,1.3702627828408628e-05,1.3235495473921285e-05,1.2833573670931536e-05,1.3075413892524555e-05,1.1677985790943106e-05,1.1822709960608233e-05,1.1939712584768826e-05,1.1995278643646367e-05,1.1949862475051229e-05,1.1867106331467574e-05,1.1823444744876657e-05
750,1.2881683430369933e-05,1.2453879487021975e-05,1.2089044621863125e-05,1.2326389559916248e-05,1.1023589106498036e-05,1.116983019675592e-05,1.1286957354803495e-05,1.1346280479794083e-05,1.1309604485193928e-05,1.1234456987920193e-05,1.1194951956881838e-05
800,1.2136430501981757e-05,1.174340795224191e-05,1.1411256953459035e-05,1.1643796195356226e-05,1.0426083403781782e-05,1.0572995628852901e-05,1.0689735811601348e-05,1.0752023035773696e-05,1.0722855893027062e-05,1.0654388984709779e-05,1.0618571193828622e-05
850,1.145749958990595e-05,1.1095384718035357e-05,1.0792165111005307e-05,1.101970248598113e-05,9.87880340734656e-06,1.0025714398743416e-05,1.0141667690757252e-05,1.0206265105167965e-05,1.0183566202170673e-05,1.0120987693889104e-05,1.0088451427620996e-05
