Production rate of Ti-44 by GCR (all) in meteoroid 90cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.02,19.04,26.06,33.08,40.1,47.12,54.14,61.16,68.18,75.2,82.22,89.24,96.26,103.28,110.3,117.32,124.34,131.36,138.38,145.4,152.42,159.44,166.46,173.48,180.5,187.52,194.54,201.56,208.58,215.6,222.62,229.64,236.66,243.68,250.7,257.72,264.74,271.76,278.78,285.8,292.82,299.84,306.86,313.88,320.9,327.92
0,3.9111492810200293e-05,3.7482271673240874e-05,3.617247528636008e-05,3.5459077243698925e-05,3.219836709720953e-05,3.107710860623035e-05,2.9732020772430728e-05,2.8877481571500398e-05,2.811886753151066e-05,2.7320204976909004e-05,2.6603936096577737e-05,2.588611217397863e-05,2.5302857343115107e-05,2.481391697314044e-05,2.4317855046039263e-05,2.3901163083330796e-05,2.344812271163167e-05,2.2920018778571143e-05,2.2491870895643347e-05,2.201976985039968e-05,2.162676761243407e-05,2.1229116457923067e-05,2.080812853882209e-05,2.0494613952651323e-05,2.0093447222010437e-05,1.977819076690037e-05,1.951976980866366e-05,1.9258134670947128e-05,1.8932684373457323e-05,1.8783954237641174e-05,1.8527307952589e-05,1.830509320696162e-05,1.80841487469856e-05,1.790274981127859e-05,1.7676532029250216e-05,1.748976162592515e-05,1.732611540798283e-05,1.7166212567920278e-05,1.6905432706762495e-05,1.685761017488932e-05,1.6814021820014442e-05,1.663005779049323e-05,1.6525201738193627e-05,1.640141885347929e-05,1.6262996409575103e-05,1.626427470254849e-05,1.605426491889908e-05,1.617454373100204e-05,1.606731079116265e-05,1.5981818243943198e-05
50,3.375803041705838e-05,3.285975164534665e-05,3.1997773221534705e-05,3.154178894744359e-05,2.905361777612146e-05,2.8262097561053503e-05,2.7216645727530557e-05,2.6546589698086707e-05,2.5943653113223858e-05,2.5286643741343046e-05,2.4693914018836216e-05,2.4083072911716208e-05,2.35861497394938e-05,2.3163537978525038e-05,2.2731265918554222e-05,2.23733995765092e-05,2.1975015542195676e-05,2.150494735688939e-05,2.113029851485442e-05,2.0707856136840014e-05,2.0358993618262257e-05,2.0002344734625265e-05,1.962396562611618e-05,1.9345721801725695e-05,1.8979566389875033e-05,1.869613021204425e-05,1.8462478360991552e-05,1.8223170518119276e-05,1.7921890318048313e-05,1.778720076247894e-05,1.7555243877889817e-05,1.7352067652675697e-05,1.714869234806287e-05,1.6984105568786753e-05,1.677523709138222e-05,1.6600661306296243e-05,1.6450809417487937e-05,1.6306304439444702e-05,1.6062753059213345e-05,1.601818617195161e-05,1.59805978033847e-05,1.581251749000083e-05,1.571372180873678e-05,1.5598134213145303e-05,1.5469901934645256e-05,1.5470434996260386e-05,1.5273728088447156e-05,1.5388147127162662e-05,1.52796588477888e-05,1.5173345743019679e-05
100,2.9763978158891226e-05,2.9236236935620005e-05,2.8660910448536745e-05,2.8378734879423724e-05,2.6443076018023562e-05,2.5892340817835046e-05,2.5074746869418915e-05,2.4547271962524536e-05,2.4065938980884956e-05,2.3521087103888976e-05,2.3027178700438163e-05,2.2504002619543485e-05,2.2078391942495055e-05,2.1710861281414576e-05,2.1331758130640537e-05,2.1022809726106928e-05,2.067023010237848e-05,2.0249200931626632e-05,1.9919463357396394e-05,1.95391724279859e-05,1.9227591778291406e-05,1.8905873455877456e-05,1.8563883420705046e-05,1.8315657826371205e-05,1.7979839504130876e-05,1.7723788882569674e-05,1.7511527144698754e-05,1.7291744542290398e-05,1.7011887195638837e-05,1.6889287740581308e-05,1.667889622176464e-05,1.6492379132797962e-05,1.630438350387478e-05,1.6154407824226394e-05,1.5960900772226706e-05,1.5797205974237017e-05,1.5659491459054747e-05,1.552837233523446e-05,1.5300091502049934e-05,1.5258495840081144e-05,1.5225849416436298e-05,1.5071630491340655e-05,1.497843581368811e-05,1.4870123101790014e-05,1.4750952867254528e-05,1.475071139694065e-05,1.4565930518602467e-05,1.46751516331086e-05,1.4565403380989319e-05,1.444281119278151e-05
150,2.6599350888753648e-05,2.629563090184859e-05,2.591876358650327e-05,2.575961186969995e-05,2.4236091777420627e-05,2.3866355276408734e-05,2.3226081915791937e-05,2.281103204075307e-05,2.242651406891899e-05,2.1972109419937814e-05,2.1558552269605877e-05,2.1108172078920972e-05,2.074214515201556e-05,2.0420905954684682e-05,2.00866439625101e-05,1.9818842036635268e-05,1.950509994988021e-05,1.9125980030920346e-05,1.883435669022103e-05,1.8490243886973484e-05,1.821050326872948e-05,1.7918859449787848e-05,1.7608273726701128e-05,1.7385850348954307e-05,1.707656828711291e-05,1.6844297173196783e-05,1.665066748553787e-05,1.6448099119981624e-05,1.6187362689472015e-05,1.6075270141533435e-05,1.5883836496788744e-05,1.571201076035512e-05,1.5537588932057056e-05,1.5400412984955886e-05,1.522060068942345e-05,1.506667657231236e-05,1.493972128582954e-05,1.4820322549007931e-05,1.4605674871590711e-05,1.4566793048188573e-05,1.4538254796853301e-05,1.4396225030023579e-05,1.4308214822620078e-05,1.4206409397856105e-05,1.4095342888458952e-05,1.4094337817275958e-05,1.3920300126214902e-05,1.4024867319151137e-05,1.3913941055014818e-05,1.3778619886228806e-05
200,2.4010812790266026e-05,2.3853976346023682e-05,2.362043796292172e-05,2.3550978455958586e-05,2.2343745103369587e-05,2.2112873330099838e-05,2.1613014618634555e-05,2.128799816685727e-05,2.098171270298435e-05,2.0601310321860844e-05,2.025394033395204e-05,1.9864668085822983e-05,1.9548902286692234e-05,1.9266957550259402e-05,1.8970888128187387e-05,1.8738027089086924e-05,1.8457538905973025e-05,1.8114576818575932e-05,1.7855595811675355e-05,1.7542824695876496e-05,1.7290529860178434e-05,1.7025010506094682e-05,1.6741766602353613e-05,1.6541705636753096e-05,1.6255819807894702e-05,1.6044353110795087e-05,1.586707168807384e-05,1.5679783501424777e-05,1.5436214484594923e-05,1.5333324393612883e-05,1.5158649315576078e-05,1.4999865144160206e-05,1.4837506768924193e-05,1.4711619802628987e-05,1.4544087366127155e-05,1.4398984193396052e-05,1.4281625639261275e-05,1.4172552539343256e-05,1.3970153466380629e-05,1.3933752422710817e-05,1.39086560284262e-05,1.3777415123447768e-05,1.3694210036120754e-05,1.359826206677511e-05,1.3494478735820048e-05,1.3492743985317176e-05,1.3328425822660002e-05,1.3428793023534773e-05,1.331681253528589e-05,1.3171588003343163e-05
250,2.1847701241257406e-05,2.179180505331517e-05,2.166463130565039e-05,2.1661886473756866e-05,2.0702510642487048e-05,2.0579799750221784e-05,2.019266462278576e-05,1.994065213897138e-05,1.96983445239389e-05,1.9379208901526996e-05,1.908694375339091e-05,1.8749437992779265e-05,1.8476415962823746e-05,1.822811154590559e-05,1.796484829066056e-05,1.7761900609968568e-05,1.7510124903233894e-05,1.719861350501228e-05,1.6967808371569602e-05,1.668240687810433e-05,1.645395884888315e-05,1.6211306385239727e-05,1.5952047968560092e-05,1.5771505790646923e-05,1.5506388564773456e-05,1.5313242519574058e-05,1.5150396341706473e-05,1.4976750922542972e-05,1.4748674462465826e-05,1.465389898136169e-05,1.4494111338418794e-05,1.4346970279779629e-05,1.4195398028040759e-05,1.4079526368239877e-05,1.3923060521785038e-05,1.3785958183067406e-05,1.3677205042307282e-05,1.3577278211789256e-05,1.3385945731955952e-05,1.3351814453979608e-05,1.332962138610771e-05,1.3207984668702834e-05,1.3129238300740642e-05,1.3038591536504024e-05,1.2941383441989659e-05,1.2938965554067863e-05,1.2783475444068216e-05,1.2880026356654349e-05,1.2767133444933043e-05,1.2614282173721734e-05
300,2.0010970039157893e-05,2.002654772595815e-05,1.997980585928197e-05,2.002737510452768e-05,1.9265402755760433e-05,1.922790619725057e-05,1.8932272671810208e-05,1.8740062241720746e-05,1.8550594065095914e-05,1.82826849908295e-05,1.8036711661034727e-05,1.7743403287829424e-05,1.7506989681006758e-05,1.728769863409263e-05,1.7052823519516898e-05,1.6875666211788915e-05,1.664886318568936e-05,1.6364902759978603e-05,1.615858500732385e-05,1.5897251561564708e-05,1.568966739107564e-05,1.5467164018269357e-05,1.5229086119314814e-05,1.5065685988491098e-05,1.4819114696606838e-05,1.4642194876316472e-05,1.4492165905250234e-05,1.433076364846007e-05,1.4116731408098034e-05,1.4029154089611026e-05,1.3882650057589807e-05,1.3745955765959101e-05,1.3604079226999793e-05,1.3497139297892607e-05,1.3350690883190609e-05,1.322087560925794e-05,1.3119874963237768e-05,1.3028088871129051e-05,1.2846805333649477e-05,1.2814752760323821e-05,1.2795023619914928e-05,1.2681980087593637e-05,1.2607375539315522e-05,1.2521549614099974e-05,1.2430301687212587e-05,1.242725343497099e-05,1.227981065307869e-05,1.2372873287658756e-05,1.2259214592336235e-05,1.2100587198130849e-05
350,1.8431484848892392e-05,1.849867121023595e-05,1.851356980882989e-05,1.859943650322456e-05,1.7996733156129094e-05,1.8026957285362297e-05,1.7806279216055914e-05,1.7663473428823363e-05,1.751800769564329e-05,1.729329191630354e-05,1.7086506594977548e-05,1.6831191020071006e-05,1.662632615920422e-05,1.6432220885490892e-05,1.6222071446328537e-05,1.606728777915682e-05,1.5862344776401166e-05,1.5602670451973715e-05,1.5417763323031267e-05,1.5177725121019352e-05,1.4988507007288464e-05,1.4783862547325448e-05,1.456459766698509e-05,1.4416334282984481e-05,1.4186411324284108e-05,1.4023936273509302e-05,1.3885344507062245e-05,1.3734979264821668e-05,1.3533729504449538e-05,1.345257153453667e-05,1.3317967359523378e-05,1.3190688281264367e-05,1.3057569058977168e-05,1.2958631761608663e-05,1.2821286948314232e-05,1.2698133321006518e-05,1.2604145752913973e-05,1.2519636856140742e-05,1.2347519491503653e-05,1.2317372578859428e-05,1.2299745904068302e-05,1.219442622206567e-05,1.212367315888459e-05,1.2042250147388708e-05,1.1956424622047102e-05,1.1952801034686436e-05,1.1812718359591142e-05,1.1902575897394126e-05,1.178829554545784e-05,1.1625406394197235e-05
400,1.705897144024751e-05,1.7163882721294465e-05,1.7226467714015518e-05,1.7341645441145906e-05,1.686881161374297e-05,1.695320281160423e-05,1.679439383087244e-05,1.6692694550853363e-05,1.658412947785705e-05,1.639609844236278e-05,1.622270877849347e-05,1.60002487625909e-05,1.582272203012326e-05,1.5650606107934968e-05,1.546211784847175e-05,1.53268503918685e-05,1.5141152483691404e-05,1.4903005693752711e-05,1.4736920063783691e-05,1.4515827206756454e-05,1.434286480123334e-05,1.4154132524057195e-05,1.395166502131252e-05,1.38168325330289e-05,1.3601924687850115e-05,1.3452367603804961e-05,1.3324027413910012e-05,1.3183652342369293e-05,1.2994078746506367e-05,1.2918673192726174e-05,1.2794767969687453e-05,1.2676008484364199e-05,1.2550833237118873e-05,1.2459096413273495e-05,1.2330054187993093e-05,1.2213010964656017e-05,1.2125391223981464e-05,1.2047413144460783e-05,1.188369097272663e-05,1.1855292913541449e-05,1.1839469207827234e-05,1.1741120841742691e-05,1.167395293290778e-05,1.159656687600412e-05,1.1515690887168578e-05,1.1511546782859714e-05,1.1378216470883862e-05,1.1465115533573671e-05,1.135035111473939e-05,1.1184445694880818e-05
