Production rate of Ti-44 by GCR (all) in meteoroid 40cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.14,15.28,20.42,25.56,30.7,35.84,40.98,46.12,51.26,56.4,61.54,66.68,71.82,76.96,82.1,87.24,92.38,97.52,102.66,107.8,112.94,118.08,123.22,128.36,133.5,138.64,143.78
0,4.548451888344148e-05,4.364090859191547e-05,4.212572454142893e-05,4.152615031772392e-05,3.816171196826845e-05,3.7466005022461915e-05,3.6795266677813515e-05,3.602804723300029e-05,3.5621298373451384e-05,3.5311768604150704e-05,3.493473032112495e-05,3.450852740933141e-05,3.414625976273197e-05,3.378819366277205e-05,3.3483946148382614e-05,3.3179805577778545e-05,3.300349126288417e-05,3.2945278405053274e-05,3.2797920663031914e-05,3.2659824538835186e-05,3.2482062495141046e-05,3.2240983886145824e-05,2.190966062766187e-05,3.2080248971790854e-05,3.178418005840515e-05,3.177483874646559e-05,3.172725385226852e-05,3.1346477478339915e-05,3.139666354887051e-05,3.103268130834311e-05,3.003514172212797e-05
50,3.949020005087604e-05,3.8400371352601506e-05,3.7358687992420105e-05,3.7011543679038884e-05,3.436710475934667e-05,3.392688995058149e-05,3.3470954621638076e-05,3.2903827475312344e-05,3.262302473361894e-05,3.24150690662622e-05,3.213068869208867e-05,3.180119014105118e-05,3.151985384024805e-05,3.1239681276059225e-05,3.0996167274328143e-05,3.07482443948828e-05,3.0608844535028786e-05,3.057323815879608e-05,3.0458493452072103e-05,3.0346147006379384e-05,3.020511920495709e-05,2.9992079405360305e-05,2.0664981584852873e-05,2.987001705546236e-05,2.96086563799279e-05,2.9609096683217964e-05,2.957435628157776e-05,2.9227182942869265e-05,2.9274926396602477e-05,2.894199346539995e-05,2.8018706093677365e-05
100,3.496592522449305e-05,3.426291771594556e-05,3.352690505688266e-05,3.334740372341196e-05,3.1220243487509095e-05,3.0962253737247426e-05,3.0662464373311484e-05,3.024556005145952e-05,3.0059254395849484e-05,2.992778686993745e-05,2.9714309690536623e-05,2.9459692055683096e-05,2.9241084266770475e-05,2.902262281843068e-05,2.8827777116428608e-05,2.862535542534448e-05,2.8515747912559196e-05,2.8497649464021647e-05,2.840917654443859e-05,2.831775568870743e-05,2.8206418446853476e-05,2.8016728085175467e-05,1.9582416691614566e-05,2.792535139220837e-05,2.7693202680034574e-05,2.770102025316495e-05,2.7676584247505156e-05,2.7357717510064617e-05,2.740318424481008e-05,2.7096836117476107e-05,2.623885048724461e-05
150,3.135252489384885e-05,3.088667873427111e-05,3.0363955446692928e-05,3.03010819441825e-05,2.856213319358789e-05,2.843801102718616e-05,2.8254857434702386e-05,2.7953307226476086e-05,2.7839309760670336e-05,2.7766508318832425e-05,2.7608382578993446e-05,2.7412839587420286e-05,2.724373494634686e-05,2.707491013591949e-05,2.6919566288855202e-05,2.6754401189545982e-05,2.6669114793144098e-05,2.666472692860464e-05,2.6597653404661123e-05,2.652343612525778e-05,2.6436363014711026e-05,2.626640518243484e-05,1.8628312672206105e-05,2.619964928949293e-05,2.5992354081135917e-05,2.6005787267238643e-05,2.598972047082685e-05,2.5694988477534493e-05,2.573835518368157e-05,2.545502995122164e-05,2.4654835116689247e-05
200,2.8378237631283193e-05,2.8070456534132056e-05,2.7703042949183573e-05,2.772364549578286e-05,2.6284803222519903e-05,2.6261004629643103e-05,2.6166648320278003e-05,2.595517531741141e-05,2.589732005079978e-05,2.5870126649540445e-05,2.575587975404409e-05,2.5607619265016464e-05,2.5478136187184826e-05,2.534971035160185e-05,2.5226761210677843e-05,2.509239275658839e-05,2.5027146854199587e-05,2.503358804905555e-05,2.4984101842487185e-05,2.492416449891981e-05,2.4857101103565728e-05,2.470402599484735e-05,1.7778065577541523e-05,2.4657203667471873e-05,2.4471251544678286e-05,2.4488979542305853e-05,2.4479779832796798e-05,2.4205840671504967e-05,2.4247280097492773e-05,2.3984083358126533e-05,2.323531948489525e-05
250,2.587962249082636e-05,2.5682560787912142e-05,2.5431447722651082e-05,2.5512902422126333e-05,2.43112148293381e-05,2.4363650359016326e-05,2.433783949498715e-05,2.4197621080166008e-05,2.4183838682889645e-05,2.4192458768668577e-05,2.4113420681496424e-05,2.4003442836532445e-05,2.3906035428625692e-05,2.381080332576548e-05,2.3714648361747317e-05,2.3605939972078196e-05,2.3557335665604563e-05,2.357238595933663e-05,2.3537460757192757e-05,2.3489473246335147e-05,2.343903578614052e-05,2.330055832797162e-05,1.7013191989615782e-05,2.326999425897773e-05,2.3102519908879078e-05,2.312353513770966e-05,2.3120018194292646e-05,2.28641575265091e-05,2.2903831635232092e-05,2.2658375690918783e-05,2.195561827420055e-05
300,2.3748306373333282e-05,2.3631408323696132e-05,2.3469136612357435e-05,2.3595459689259108e-05,2.2584430980353665e-05,2.269534736962594e-05,2.2722988110219166e-05,2.263971008047324e-05,2.266081340879105e-05,2.2697762589969907e-05,2.2647253660507084e-05,2.2568563386483466e-05,2.249736697965628e-05,2.242962049539958e-05,2.235578685846195e-05,2.2268603820698422e-05,2.2233908839059287e-05,2.225583612274813e-05,2.223303997399136e-05,2.2195122454004304e-05,2.21585868537831e-05,2.203284724582573e-05,1.63195082499766e-05,2.2015624271630353e-05,2.1864261650803633e-05,2.1887784995785777e-05,2.1889004422662784e-05,2.1648991565502378e-05,2.1687048739592905e-05,2.145733875888395e-05,2.079593109229536e-05
350,2.190810913110524e-05,2.1850620526682432e-05,2.1757223962096293e-05,2.1916825519863935e-05,2.1061226331849245e-05,2.121727352814976e-05,2.128689926723184e-05,2.124948917166174e-05,2.1298373632442258e-05,2.135784570544154e-05,2.133063747921101e-05,2.1277715609072507e-05,2.1228105039759745e-05,2.1183263432592208e-05,2.1128138093707112e-05,2.105911712149544e-05,2.1036111818422475e-05,2.106354993509575e-05,2.1050908097144325e-05,2.1021528011397633e-05,2.0996678378870683e-05,2.088214317082525e-05,1.5685936758874768e-05,2.0875921569824846e-05,2.073869685499798e-05,2.076411931610824e-05,2.0769309894688436e-05,2.0543292757616915e-05,2.0579867129726293e-05,2.0364218322679586e-05,1.9740139096117624e-05
400,2.0303296667870126e-05,2.029058553527963e-05,2.0251183286646483e-05,2.04354880902369e-05,1.9708074380639694e-05,1.9899049994316074e-05,2.000181354805244e-05,2.0001584893759965e-05,2.0072683714220277e-05,2.0150117520837878e-05,2.0142062584123317e-05,2.011049900052676e-05,2.0078781161929243e-05,2.0053128089443765e-05,2.0013763849750233e-05,1.996014417710135e-05,1.9947008792648105e-05,1.9978870117713176e-05,1.997476459036242e-05,1.9952661030310515e-05,1.9937678473327605e-05,1.9833068743833506e-05,1.510369387684255e-05,1.9835954829303997e-05,1.971120639466091e-05,1.9738047776066052e-05,1.9746584311794313e-05,1.95330110843878e-05,1.9568222960866783e-05,1.936519893616099e-05,1.8774956387461048e-05
