Production rate of Ti-44 by GCR (all) in meteoroid 30cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.08,15.16,20.24,25.32,30.4,35.48,40.56,45.64,50.72,55.8,60.88,65.96,71.04,76.12,81.2,86.28,91.36,96.44,101.52,106.6
0,4.721358974071387e-05,4.5194819362513494e-05,4.3463179775715474e-05,4.2895555797849423e-05,3.907553672023287e-05,3.845608008746638e-05,3.777385877186831e-05,3.7108142263473514e-05,3.674048992749233e-05,3.6517180604752266e-05,3.619060939603229e-05,3.595868470504312e-05,3.5657293376370155e-05,3.5363871339636145e-05,3.5107797636234854e-05,3.481090904902734e-05,3.4721136855359105e-05,3.4754184247337296e-05,3.4784836796289614e-05,3.4572813556947234e-05,3.485519554198368e-05,3.462893064129025e-05,3.4121618455351656e-05,3.317063118433162e-05
50,4.0971914835757887e-05,3.9725681092075523e-05,3.849198108485327e-05,3.816969100738683e-05,3.5114416139465514e-05,3.4738591295165214e-05,3.42693024025867e-05,3.3791327789084466e-05,3.354937304091992e-05,3.341209665416282e-05,3.317259473685013e-05,3.302132386358133e-05,3.2792051904794983e-05,3.256665431931416e-05,3.236668884457351e-05,3.2117923982056046e-05,3.20474656746943e-05,3.209704343168586e-05,3.2133510412054336e-05,3.195028416048734e-05,3.219971055567988e-05,3.2013875278452066e-05,3.154827229267082e-05,3.0694887046810315e-05
100,3.6250162964194724e-05,3.54049356069148e-05,3.4495946254636795e-05,3.433599524970107e-05,3.183409787842176e-05,3.163053307711407e-05,3.131558180491973e-05,3.09769810897919e-05,3.082849198898909e-05,3.075503887695616e-05,3.058153631684349e-05,3.049065502546891e-05,3.0316594465819024e-05,3.014408496608551e-05,2.998895144452823e-05,2.977948294112472e-05,2.9724475667208728e-05,2.9786422430261373e-05,2.9827307673261716e-05,2.9668128515336578e-05,2.988911667934628e-05,2.973651645578111e-05,2.93076127366787e-05,2.853775899636693e-05
150,3.2474751017400403e-05,3.187837751788548e-05,3.1198212946994614e-05,3.1150796564854914e-05,2.906713370095988e-05,2.8989054625858988e-05,2.8789126892323605e-05,2.8556391561273096e-05,2.847873248931348e-05,2.8453547495175583e-05,2.8331088700906544e-05,2.8286239376108823e-05,2.8155271391047877e-05,2.8024579258634265e-05,2.7905739587795372e-05,2.7728743805172656e-05,2.7686239017147273e-05,2.77574588761475e-05,2.7801692294866033e-05,2.7662799110680866e-05,2.7859167778495624e-05,2.7734105615457036e-05,2.7337726364311895e-05,2.6639937503971448e-05
200,2.93651836061699e-05,2.8936851535538007e-05,2.842503332322857e-05,2.8457851824702475e-05,2.6699809555539185e-05,2.6714980568249335e-05,2.660246548495745e-05,2.645151018708411e-05,2.6428268334842598e-05,2.64400961695379e-05,2.6357719740650914e-05,2.6348417870938853e-05,2.6251588602690517e-05,2.6154393697219364e-05,2.6065240536347065e-05,2.591534457840249e-05,2.5883048025818107e-05,2.5961198295960704e-05,2.600794725620497e-05,2.5886315569740087e-05,2.60612937726294e-05,2.5959202421168355e-05,2.559182500309169e-05,2.495664579400657e-05
250,2.675211109180385e-05,2.6443168440577845e-05,2.6058804271966612e-05,2.6149855311568027e-05,2.4651006292207564e-05,2.4736416992826928e-05,2.4691283979465978e-05,2.4604316747693948e-05,2.46232996232003e-05,2.4663792218601e-05,2.4613265251995932e-05,2.4631676077322762e-05,2.456221390636474e-05,2.4492131079773367e-05,2.442746336981016e-05,2.430037314452047e-05,2.4276472566448913e-05,2.4359757037418954e-05,2.4408366411824765e-05,2.430153266209209e-05,2.445785727113728e-05,2.437503718042785e-05,2.4033658434308183e-05,2.3453214655729038e-05
300,2.4522931594352062e-05,2.4301776566327935e-05,2.401593364699144e-05,2.414970060431883e-05,2.286079254071446e-05,2.2999581474541952e-05,2.3006938077777142e-05,2.297053228672367e-05,2.302250781999528e-05,2.3085351162637533e-05,2.3060368659353702e-05,2.3100529331978568e-05,2.305321641373521e-05,2.3005262538841864e-05,2.2960929017830706e-05,2.2853169583596775e-05,2.2836215620565574e-05,2.2923242612594013e-05,2.2973192499499155e-05,2.2879127897351488e-05,2.3019126318768004e-05,2.2952554073728874e-05,2.2634591286134794e-05,2.2102268867447077e-05
350,2.25983259841418e-05,2.2443342227899328e-05,2.2234869169143807e-05,2.2400122100829775e-05,2.12836899959276e-05,2.1463247130254006e-05,2.151180458191035e-05,2.1515651736452434e-05,2.15935204072323e-05,2.1673862593476127e-05,2.1669518599201985e-05,2.1726822684084798e-05,2.169757602857257e-05,2.1667807871088604e-05,2.1640456528018046e-05,2.1549185671661456e-05,2.153800703560451e-05,2.1627689260198726e-05,2.1678564317316995e-05,2.1595582136033547e-05,2.17212409375998e-05,2.1668426427094932e-05,2.1371641707738805e-05,2.0881842763147587e-05
400,2.0920167576479192e-05,2.0815999389095896e-05,2.066904211454952e-05,2.085748898601419e-05,1.9884442575517678e-05,2.009518254834248e-05,2.0176248323072677e-05,2.0212320387135762e-05,2.0310552393477765e-05,2.0404615883480703e-05,2.0417042015564813e-05,2.0487886541273446e-05,2.0473469516207182e-05,2.045873005363037e-05,2.044562735223871e-05,2.0368498701705964e-05,2.0362140309023537e-05,2.0453622665804546e-05,2.05050893906507e-05,2.0431775489494582e-05,2.054479687212817e-05,2.0503675061274316e-05,2.022611649126778e-05,1.9774070867746537e-05
