Production rate of Ti-44 by GCR (all) in meteoroid 20cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.34,15.68,21.02,26.36,31.7,37.04,42.38,47.72,53.06,58.4,63.74,69.08
0,4.7720168807230845e-05,4.521926708940279e-05,4.320539126811017e-05,4.267292704502575e-05,3.7246141102444394e-05,3.667603537926145e-05,3.6127172986484574e-05,3.536328748260045e-05,3.505399979572972e-05,3.4759773084849227e-05,3.442165662565214e-05,3.413350277665308e-05,3.389187006959501e-05,3.341896536080288e-05,3.283386333543625e-05,3.2096802002005245e-05
50,4.1162794804423147e-05,3.949395282850408e-05,3.80006736699745e-05,3.7700075842031394e-05,3.321230913672406e-05,3.285759447112601e-05,3.249857804178821e-05,3.1923883260275994e-05,3.1711247085755626e-05,3.150205045954669e-05,3.124568947074161e-05,3.103535149368101e-05,3.085877341854679e-05,3.0458965731077977e-05,2.9956459696962458e-05,2.9286825037710185e-05
100,3.6199053373579045e-05,3.4976621932138505e-05,3.382593698108228e-05,3.3676656788792516e-05,2.9885810735807382e-05,2.9680494190081988e-05,2.9456256432879573e-05,2.9021804606599716e-05,2.887987212929543e-05,2.8733678009896752e-05,2.8538712582470952e-05,2.8386508931784698e-05,2.8258213818219938e-05,2.7916622183289107e-05,2.7481819890979575e-05,2.6870155556750053e-05
150,3.2232986567310375e-05,3.1296048027790634e-05,3.0389056202416517e-05,3.0343262105013235e-05,2.7091233601379294e-05,2.6992817282528107e-05,2.6866939382296725e-05,2.6538956169085155e-05,2.644985215487271e-05,2.635132381927616e-05,2.620348602095551e-05,2.609557905531141e-05,2.6003865642133544e-05,2.570949517202731e-05,2.5330912556943615e-05,2.47695803992272e-05
200,2.8970645661140803e-05,2.823216985338667e-05,2.750627654386601e-05,2.7533244199417505e-05,2.470961174558717e-05,2.4689267926366443e-05,2.4636526129146783e-05,2.4390830402171168e-05,2.4341814707226774e-05,2.4279910419574428e-05,2.4168856841922612e-05,2.4095205074490916e-05,2.403164293869318e-05,2.377613273332486e-05,2.3444731761258916e-05,2.2927463875856844e-05
250,2.6233689498389432e-05,2.56403419081245e-05,2.5053066837456636e-05,2.5132058015301895e-05,2.26562266369566e-05,2.2693679402115324e-05,2.2696022674568675e-05,2.2514815121474246e-05,2.249656896344637e-05,2.2463133835046037e-05,2.238116927487582e-05,2.233430760643523e-05,2.2292671086949353e-05,2.206952102209156e-05,2.1778072702096764e-05,2.129965870464858e-05
300,2.3903170190335618e-05,2.3419694602994345e-05,2.2940857827746656e-05,2.3057378528889483e-05,2.086860733992132e-05,2.0949206290548112e-05,2.0993394104283076e-05,2.08632842803031e-05,2.0868850020298836e-05,2.0857738324055655e-05,2.0799018499357874e-05,2.0773289493205625e-05,2.0748889564845022e-05,2.0552955779430436e-05,2.0295600387629296e-05,1.985166152959101e-05
350,2.1895126599445963e-05,2.1496983503617745e-05,2.110442173105054e-05,2.1248076407096196e-05,1.9299442474977532e-05,1.9412378799936964e-05,1.9488509720913437e-05,1.9399244234446898e-05,1.9423339732183554e-05,1.9429843115367276e-05,1.938985394747559e-05,1.938090231349637e-05,1.9370149727981982e-05,1.9197301610462733e-05,1.896923536865204e-05,1.855605708275283e-05
400,2.0147946172022773e-05,1.981739790207313e-05,1.9494415970488753e-05,1.965759900689072e-05,1.791212839726074e-05,1.8049294301978244e-05,1.814984816973077e-05,1.8093459638790595e-05,1.8132019049152353e-05,1.815248082710605e-05,1.81276861982109e-05,1.8132115029874615e-05,1.8132224956722743e-05,1.7979104289260453e-05,1.7776350507938646e-05,1.73907556503834e-05
