Production rate of Ti-44 by GCR (all) in meteoroid 40cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.14,15.28,20.42,25.56,30.7,35.84,40.98,46.12,51.26,56.4,61.54,66.68,71.82,76.96,82.1,87.24,92.38,97.52,102.66,107.8,112.94,118.08,123.22,128.36,133.5,138.64,143.78
0,6.167565413991443e-05,5.900690426422002e-05,5.677238526950285e-05,5.582711618425406e-05,5.102077857454919e-05,4.9880474072891387e-05,4.880772870995896e-05,4.761825923133872e-05,4.694237406322473e-05,4.640899669884994e-05,4.5805942772547136e-05,4.5134824173748344e-05,4.4557393561200014e-05,4.397414331499862e-05,4.350085013936239e-05,4.303565385128624e-05,4.273656657720522e-05,4.260289831675664e-05,4.236124307555649e-05,4.212501045519634e-05,4.184122134997799e-05,4.144802869601166e-05,4.142525741314534e-05,4.1196184087156194e-05,4.074828273186561e-05,4.073219523750448e-05,4.0616992420161145e-05,4.014641406545268e-05,4.021187201822599e-05,3.973696881873814e-05,3.8401856283890704e-05
50,5.329784653298893e-05,5.168942032967274e-05,5.0123199358259374e-05,4.9531776057138674e-05,4.573398409648676e-05,4.495520596140542e-05,4.418548963057698e-05,4.327613887383379e-05,4.277892292136011e-05,4.238975666797141e-05,4.191799696984415e-05,4.138377598454751e-05,4.0920861413513865e-05,4.044736778899774e-05,4.0058972980647875e-05,3.967312082027031e-05,3.9426589374752336e-05,3.9325300539742026e-05,3.913006803970672e-05,3.8930476273827406e-05,3.86987767342848e-05,3.8345513273360906e-05,3.833679156978088e-05,3.814825592326978e-05,3.7749548459136675e-05,3.7747391486460386e-05,3.7651125351362505e-05,3.722664012962522e-05,3.728857802295365e-05,3.685685166408462e-05,3.5625565479235674e-05
100,4.697503946086621e-05,4.591274060808026e-05,4.477881936719924e-05,4.4423403110305395e-05,4.135186746767028e-05,4.083165271548603e-05,4.028283146036013e-05,3.9584525870004706e-05,3.922172964853617e-05,3.8941470005019224e-05,3.8570393034445516e-05,3.8142376771865025e-05,3.776842470627902e-05,3.738216968532883e-05,3.706202978551161e-05,3.674049901603828e-05,3.6536494046404634e-05,3.646041048670223e-05,3.6302656022148184e-05,3.6132912981026614e-05,3.594339600471591e-05,3.562346026920514e-05,3.56252562301754e-05,3.5469560214615524e-05,3.511230886777284e-05,3.5120669679975234e-05,3.503973138497449e-05,3.465390597445598e-05,3.471258503979312e-05,3.431779921920393e-05,3.317779746872989e-05
150,4.1927511711795516e-05,4.1200904987966434e-05,4.036915750511001e-05,4.017854532814143e-05,3.765289684515516e-05,3.732319898749493e-05,3.69398423048002e-05,3.64041073262033e-05,3.614447114916821e-05,3.594801186265317e-05,3.565571372121574e-05,3.531165208017423e-05,3.5008077685654575e-05,3.4692221227752296e-05,3.442764850278346e-05,3.41588660954488e-05,3.3989676164253694e-05,3.3933447057955456e-05,3.380629133539592e-05,3.366115278990967e-05,3.3506180073511516e-05,3.321447550001378e-05,3.3224156921633096e-05,3.309540016014205e-05,3.277346677047839e-05,3.2789841853405564e-05,3.272147694518832e-05,3.236846279268414e-05,3.242415332793173e-05,3.2061334515003266e-05,3.1002084533219657e-05
200,3.7775380566567094e-05,3.7273045210121874e-05,3.666171930681838e-05,3.658952379201567e-05,3.448638814058719e-05,3.429995729448343e-05,3.4042954654361446e-05,3.36345585188517e-05,3.345528402649103e-05,3.332421419363621e-05,3.309452343993818e-05,3.281780470199312e-05,3.257070898207453e-05,3.231234350816038e-05,3.209347432100684e-05,3.186836301679295e-05,3.172795021252466e-05,3.168750992829978e-05,3.158556644722884e-05,3.1460910681879855e-05,3.133448953574661e-05,3.106699746632494e-05,3.108257519844023e-05,3.0976149235480605e-05,3.068458848216052e-05,3.0707099046871246e-05,3.064916563710285e-05,3.0324283356921507e-05,3.037724570738634e-05,3.0042352876830466e-05,2.9054933172048725e-05
250,3.428990393037968e-05,3.394505350541809e-05,3.349910358229198e-05,3.351361065292165e-05,3.1744716109593797e-05,3.1667589375408565e-05,3.150845627623038e-05,3.120111050466686e-05,3.108516077496416e-05,3.100565949415539e-05,3.082634629771367e-05,3.0604283980578873e-05,3.0403044018034186e-05,3.0192085670865338e-05,3.0011130204894177e-05,2.9822466114269652e-05,2.9706032812356168e-05,2.9678245105878325e-05,2.9597234558408024e-05,2.9489774893415847e-05,2.9387135914919685e-05,2.9140631913464252e-05,2.916058626948055e-05,2.9072835386824714e-05,2.880760958488158e-05,2.883482127001442e-05,2.8785627414718205e-05,2.8485081332267238e-05,2.853555737096203e-05,2.822525684511991e-05,2.7302056731688145e-05
300,3.1319293127829304e-05,3.108877494877361e-05,3.076942826982898e-05,3.084819859759677e-05,2.9348282727580003e-05,2.9355408789105952e-05,2.9272894107908852e-05,2.9046573714446958e-05,2.8980968714562624e-05,2.894246627410198e-05,2.880410195555405e-05,2.8626829551185123e-05,2.8463182403329435e-05,2.829163112941463e-05,2.8142356328397692e-05,2.79843202297674e-05,2.788800706272033e-05,2.7870421648522618e-05,2.780690276236815e-05,2.7713986256535977e-05,2.7631287473234562e-05,2.7403145571158103e-05,2.742630550878614e-05,2.73542913805753e-05,2.7112065419008447e-05,2.714286835546374e-05,2.710105920958269e-05,2.682173439612651e-05,2.686994434976915e-05,2.658145069822194e-05,2.571593623910669e-05
350,2.8756793150039808e-05,2.8611265708998536e-05,2.8390312647375272e-05,2.85170538611252e-05,2.723662876559407e-05,2.7309153260985214e-05,2.7287097539264644e-05,2.7126290434839858e-05,2.710098357039127e-05,2.7095273312209884e-05,2.6990472636407192e-05,2.6850200750856262e-05,2.6717624605280747e-05,2.6579051893980694e-05,2.645641452384342e-05,2.632426973462622e-05,2.624493918049397e-05,2.623562073664827e-05,2.618679723847977e-05,2.6106259913458466e-05,2.6040374107158875e-05,2.5828427828160916e-05,2.5853884912669045e-05,2.579521887757067e-05,2.5573209651965636e-05,2.560673578138705e-05,2.5571213360208034e-05,2.5310527501011662e-05,2.5356669547407662e-05,2.508762995326408e-05,2.4274158636826987e-05
400,2.652427160796302e-05,2.6443027801970806e-05,2.6299431249659227e-05,2.646207367773691e-05,2.5362843510594274e-05,2.5486344526884404e-05,2.5512268248860362e-05,2.5404789312888842e-05,2.5411901487256993e-05,2.543253074985785e-05,2.535543143798441e-05,2.5245932191445807e-05,2.513921530475392e-05,2.5028399180967705e-05,2.492827923718765e-05,2.481813521535377e-05,2.4753213078549154e-05,2.4750618517967494e-05,2.4714197638672773e-05,2.4644258089123637e-05,2.4592616653119556e-05,2.4395058046511726e-05,2.442210401469366e-05,2.437482487867131e-05,2.4170688716358473e-05,2.42062531916387e-05,2.4176118146670212e-05,2.3931911156278965e-05,2.3976162417233324e-05,2.372457066959893e-05,2.295824309783052e-05
