Production rate of Ti-44 by GCR (all) in meteoroid 60cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.04,19.08,26.12,33.16,40.2,47.24,54.28,61.32,68.36,75.4,82.44,89.48,96.52,103.56,110.6,117.64,124.68,131.72,138.76,145.8,152.84,159.88,166.92,173.96,181.0,188.04,195.08,202.12,209.16,216.2
700,1.4149789753663487e-05,1.4423488099580448e-05,1.4485621283339927e-05,1.4681499548725211e-05,1.4465885193913616e-05,1.4650919180226969e-05,1.4793140832505584e-05,1.4950317542818318e-05,1.4961690200670781e-05,1.4939965619162626e-05,1.4957782013606478e-05,1.4936762507630245e-05,1.4953247655540258e-05,1.4742907227671489e-05,1.4745236728532248e-05,1.493382528762014e-05,1.482909372121341e-05,1.4731934785968558e-05,1.4809639267317311e-05,1.4740492699207463e-05,1.475391208140097e-05,1.4297384408844783e-05,1.447448808920161e-05,1.442464777795898e-05,1.45132396173849e-05,1.4296849300163447e-05,1.401514281460199e-05,1.4320214728679958e-05,1.3999780522767652e-05,1.4285726643010051e-05,1.3681643236652009e-05,1.427313963502053e-05,1.3336258598566974e-05,1.2865671320865034e-05
750,1.339278936223002e-05,1.3663898988197696e-05,1.3746094660360212e-05,1.3942970265073231e-05,1.377730075982968e-05,1.3976977402436414e-05,1.413591939135498e-05,1.4303502421965917e-05,1.4324088218014898e-05,1.4317735448863905e-05,1.4345838135218596e-05,1.4338665629280282e-05,1.4361962192796315e-05,1.41646965469298e-05,1.4173552507878581e-05,1.4362027049132976e-05,1.4265754497666926e-05,1.4178206986402155e-05,1.4257920827370296e-05,1.4192469438494796e-05,1.420572163775755e-05,1.3771605472251484e-05,1.3942420104032372e-05,1.3902345334242376e-05,1.3990013774087258e-05,1.378637804344433e-05,1.3514140102819823e-05,1.3801201100375344e-05,1.3502509450199271e-05,1.3771885140263853e-05,1.3199766143542807e-05,1.3760060437835086e-05,1.2849383942977178e-05,1.2419196026742721e-05
800,1.2702342330847315e-05,1.29700124155622e-05,1.3068742693859083e-05,1.3265667000979113e-05,1.3142926632159066e-05,1.3354396986782278e-05,1.3527198573627842e-05,1.3703270852777585e-05,1.3731862281279363e-05,1.373881010871045e-05,1.3775832412223746e-05,1.3780761853131066e-05,1.3809937251528723e-05,1.3624648723206877e-05,1.3639279788359703e-05,1.3827023476072145e-05,1.3738516135273558e-05,1.3659669974625824e-05,1.3740901910513639e-05,1.3678804370738485e-05,1.3691712866297076e-05,1.3278555530991235e-05,1.344328069609384e-05,1.3411987646682171e-05,1.3498690624751132e-05,1.3306747509748857e-05,1.3043513488440028e-05,1.331408172587356e-05,1.3035102394056387e-05,1.3289080949300873e-05,1.2746823688337045e-05,1.3277820528372364e-05,1.2392110988003553e-05,1.1999013616937478e-05
850,1.2070373557630681e-05,1.2333995408951524e-05,1.2446332144836212e-05,1.2642561789116251e-05,1.2556826813903902e-05,1.2777720808747606e-05,1.2961974427583036e-05,1.3144921004847245e-05,1.3180483971923812e-05,1.3198957636303563e-05,1.3243723131302158e-05,1.3259245203793108e-05,1.3293496684530244e-05,1.3119208100279495e-05,1.3138958823454275e-05,1.332546584992861e-05,1.3244105376152012e-05,1.3173153553273626e-05,1.3255490479527955e-05,1.3196449134382026e-05,1.3208878891285643e-05,1.281534869044487e-05,1.2974195146914522e-05,1.2950808308605372e-05,1.3036508486934245e-05,1.2855314810645666e-05,1.2600648969114692e-05,1.285608005197951e-05,1.2595013338666045e-05,1.283466901189036e-05,1.2320341286526972e-05,1.2823807989449277e-05,1.196191872752989e-05,1.1602941157912853e-05
900,1.1490049088870711e-05,1.1749195718798416e-05,1.1872697377510859e-05,1.2067650419712587e-05,1.2013893378844228e-05,1.2242232232930808e-05,1.2435904275379944e-05,1.2624360276614914e-05,1.2666004881681373e-05,1.2694477746923633e-05,1.2745969798599202e-05,1.2770774575513983e-05,1.2809408806677145e-05,1.2645247195173871e-05,1.2669543520481018e-05,1.28544004376013e-05,1.2779633497368457e-05,1.2715857904158428e-05,1.2798952013573343e-05,1.2742705914761793e-05,1.2754555457562746e-05,1.2379428838811605e-05,1.2532613415565248e-05,1.2516351624042249e-05,1.2601016147528966e-05,1.2429731300106242e-05,1.2183224689754912e-05,1.2424732453244613e-05,1.2179978548885317e-05,1.2406296329086578e-05,1.1918119986809219e-05,1.2395697500695059e-05,1.1556563003850313e-05,1.1229029726158613e-05
950,1.0955546422035761e-05,1.1209927970219146e-05,1.1342550563770753e-05,1.1535772792200929e-05,1.1509706920590402e-05,1.1743833473531104e-05,1.1945200645215061e-05,1.2138009296885376e-05,1.2184966309499303e-05,1.2222120502065084e-05,1.2279457412311462e-05,1.2312404389140592e-05,1.2354820690717981e-05,1.2200003600332446e-05,1.2228340910500766e-05,1.241121131272651e-05,1.2342540877508212e-05,1.2285300467764895e-05,1.2368858710991161e-05,1.2315177944903402e-05,1.2326372945432336e-05,1.1968523388654966e-05,1.2116265128658754e-05,1.2106429709493868e-05,1.2190029961343423e-05,1.2027902250362498e-05,1.1789170775517146e-05,1.2017845007449074e-05,1.1787977994276229e-05,1.2001862280153436e-05,1.153819861429147e-05,1.1991411640777157e-05,1.117403921085201e-05,1.0875533601906264e-05
1000,1.0461874298771798e-05,1.0711304811078063e-05,1.0851331149312129e-05,1.1042469954449202e-05,1.1040424422656612e-05,1.1278947289969825e-05,1.148654511287322e-05,1.168272365584232e-05,1.1734325430221409e-05,1.177901957502389e-05,1.1841434163773855e-05,1.1881527414766546e-05,1.1927203900261472e-05,1.1781027842786595e-05,1.1812961056989913e-05,1.1993572957482018e-05,1.1930551005932166e-05,1.1879271827124831e-05,1.1963047231982001e-05,1.1911728273721146e-05,1.192221634754319e-05,1.1580604690850853e-05,1.172312195463817e-05,1.1719086611060921e-05,1.1801597965672382e-05,1.1647953080375574e-05,1.1416635709133076e-05,1.1633457320053648e-05,1.1417203032954899e-05,1.1619485340437543e-05,1.1178822086392037e-05,1.1609088391231971e-05,1.0812550950359392e-05,1.0540884279458487e-05
1050,1.0004729869654756e-05,1.0249102317583989e-05,1.0395085360250662e-05,1.058386932126524e-05,1.0602688423518168e-05,1.0844436922060399e-05,1.1057017792375084e-05,1.1255729628173466e-05,1.1311394506662017e-05,1.136263712074873e-05,1.1429459846316628e-05,1.1475827317262862e-05,1.1524309378943591e-05,1.1386140019102015e-05,1.1421275339021595e-05,1.1599410722314061e-05,1.1541632085908649e-05,1.1495798841390326e-05,1.1579583328879267e-05,1.1530445212549566e-05,1.154019168490044e-05,1.1213857656764289e-05,1.135136596687281e-05,1.1352568114620345e-05,1.1433969689789288e-05,1.1288200908554863e-05,1.1063958023175082e-05,1.1269812076628627e-05,1.1066029181909187e-05,1.125747500611236e-05,1.0838414739421378e-05,1.1247053693879806e-05,1.0470483544870692e-05,1.0223668421330886e-05
1100,9.58038442369368e-06,9.819651773618363e-06,9.970368943046586e-06,1.015659176393959e-05,1.0193552877780239e-05,1.0437540411807865e-05,1.0654039234672145e-05,1.0854571032625666e-05,1.0913790515156067e-05,1.0970717944348478e-05,1.1041362868559702e-05,1.109323903197134e-05,1.1144129725419123e-05,1.1013393512514726e-05,1.1051381503282674e-05,1.12268676463458e-05,1.1173964790304938e-05,1.11331136594389e-05,1.1216732072039944e-05,1.1169613215243264e-05,1.1178597667954583e-05,1.086665243945208e-05,1.0999362897694064e-05,1.1005296208144523e-05,1.1085570618876267e-05,1.0947130461566289e-05,1.0729642338704533e-05,1.0925329281096667e-05,1.073299304925764e-05,1.0914307984983852e-05,1.0515557751118837e-05,1.0903798154216629e-05,1.0146381538479646e-05,9.922609063296807e-06
1150,9.185591191652007e-06,9.41975196140413e-06,9.574168050249884e-06,9.757675837351264e-06,9.810422223036232e-06,1.0055816368064157e-05,1.0275322244000829e-05,1.0477065024706748e-05,1.0539393148125988e-05,1.0601251175783737e-05,1.0675204231661783e-05,1.0731915491142463e-05,1.078486746814555e-05,1.0661044465797892e-05,1.0701574225167602e-05,1.0874276462329246e-05,1.0825915036511218e-05,1.0789627535235576e-05,1.0872932652529683e-05,1.0827688208614852e-05,1.0835901658664734e-05,1.0537521264471905e-05,1.0665639412608202e-05,1.0675847370109387e-05,1.0754980486314903e-05,1.0623373569967684e-05,1.0412338981073013e-05,1.0598584351165147e-05,1.0416772693948442e-05,1.0588607904850296e-05,1.0208969933168382e-05,1.0577957167551569e-05,9.838929493299433e-06,9.636549515764203e-06
