Production rate of Ti-44 by GCR (all) in meteoroid 120cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,15.03,25.06,35.09,45.12,55.15,65.18,75.21,85.24,95.27,105.3,115.33,125.36,135.39,145.42,155.45,165.48,175.51,185.54,195.57,205.6,215.63,225.66,235.69,245.72,255.75,265.78,275.81,285.84,295.87,305.9,315.93,325.96,335.99,346.02,356.05,366.08,376.11,386.14,396.17,406.2,416.23,426.26,436.29
0,4.123193112460044e-05,3.938407737465625e-05,3.791898899095418e-05,3.702926309683379e-05,3.264179721631437e-05,3.0513555296303464e-05,2.8995214972526213e-05,2.770170114062742e-05,2.6423714471403902e-05,2.5258708878921384e-05,2.4381412997570193e-05,2.3470821887108153e-05,2.2626122133349946e-05,2.1802904864180457e-05,2.1028654530684107e-05,2.0265873760055872e-05,1.9598427037358336e-05,1.8885866255544015e-05,1.8328966812969606e-05,1.771425303949161e-05,1.7163142404871337e-05,1.6684668520941294e-05,1.6249382219411093e-05,1.5733477590010677e-05,1.534982935143932e-05,1.490961332772247e-05,1.4505426674188774e-05,1.4219829351810596e-05,1.3810412069484832e-05,1.3533868724580752e-05,1.317503673530793e-05,1.2958523488990451e-05,1.2657804285079193e-05,1.2395024344152686e-05,1.2302018882012837e-05,1.207293260620452e-05,1.1861331103737906e-05,1.171130523069941e-05,1.1576707768864986e-05,1.147093296391257e-05,1.1264243906496128e-05,1.1203032964762634e-05,1.1110711250264968e-05,1.1395475201281758e-05,1.1001663119620689e-05,1.1155176473768039e-05,1.1125499619360333e-05
50,3.545447153041547e-05,3.4427726966228765e-05,3.345967077585468e-05,3.285943253619667e-05,2.9515269276907133e-05,2.787983244927958e-05,2.6664587554574927e-05,2.5604534183766578e-05,2.4527931012523705e-05,2.352319956259602e-05,2.275670344744058e-05,2.1953733403968874e-05,2.1207047101598946e-05,2.04724167630031e-05,1.9779643355428598e-05,1.909327597290753e-05,1.8489783779849984e-05,1.78423378397564e-05,1.733715598674785e-05,1.677444346368344e-05,1.626663435180128e-05,1.5823428248213246e-05,1.5423526333242972e-05,1.4945117110487869e-05,1.45898535670561e-05,1.4181796051922963e-05,1.38056700679025e-05,1.3540872089604323e-05,1.3160892122209117e-05,1.2903909760452724e-05,1.2569565192436375e-05,1.2368789589906336e-05,1.2088139325992777e-05,1.1842758738214716e-05,1.1758840849797974e-05,1.1544055835069329e-05,1.1344692630917825e-05,1.120437588650921e-05,1.1077302288489066e-05,1.0983900725899394e-05,1.0783732476157539e-05,1.0725781132479801e-05,1.0643457422758301e-05,1.090903321122281e-05,1.0539898774535203e-05,1.0690359680907819e-05,1.0658429377286166e-05
100,3.116143983161866e-05,3.055369320415022e-05,2.9904199772021357e-05,2.9500882563731345e-05,2.6907836805232514e-05,2.564342670478316e-05,2.466387541971608e-05,2.3788079710119734e-05,2.2873565153361036e-05,2.2001301791508072e-05,2.132725080035394e-05,2.061469904742177e-05,1.995047812403036e-05,1.92908025806799e-05,1.8667183030300286e-05,1.8046015402449423e-05,1.7497328360623657e-05,1.6906006102408137e-05,1.644555221859208e-05,1.5928206701624862e-05,1.545844022684836e-05,1.504633363617581e-05,1.467744881555576e-05,1.4232291201513578e-05,1.3902009850569331e-05,1.3522430444203214e-05,1.3171166279488559e-05,1.2924644059979432e-05,1.2570876492599596e-05,1.2331164567997661e-05,1.2018651661398186e-05,1.1831813297730654e-05,1.1569043510116097e-05,1.1339131332711006e-05,1.12631958091931e-05,1.1061100753037554e-05,1.0872728548998442e-05,1.0741071552312148e-05,1.0620669663538082e-05,1.0538237248131564e-05,1.0344072283268119e-05,1.0289198495577857e-05,1.0215688236884153e-05,1.0463595131954088e-05,1.0116785203930189e-05,1.026386836913142e-05,1.0230590297953105e-05
150,2.7770537216225677e-05,2.7417551586048943e-05,2.6988918263339566e-05,2.6726113778973373e-05,2.469578237517906e-05,2.371789830131871e-05,2.2925339619962173e-05,2.2197731722608982e-05,2.1415844693593613e-05,2.065443070137405e-05,2.0058436234942324e-05,1.9422715165194688e-05,1.8828664774238102e-05,1.823312046359781e-05,1.766884525521493e-05,1.7103902780369502e-05,1.6602665765167423e-05,1.606018351495274e-05,1.5638768574010792e-05,1.5161330097928947e-05,1.4725239174684353e-05,1.4340767809131568e-05,1.3999279765309468e-05,1.3583816159585247e-05,1.3275690184891785e-05,1.2921508095418522e-05,1.259243155173797e-05,1.2362094304537413e-05,1.2031811454283532e-05,1.1807464908623952e-05,1.1514533652400978e-05,1.1340125981902231e-05,1.1093390751805726e-05,1.0877333321754518e-05,1.0808453195915461e-05,1.0617711169164594e-05,1.0439274972977618e-05,1.0315389905135882e-05,1.0200948252421013e-05,1.0128292528033964e-05,9.939678868667616e-06,9.887724887410494e-06,9.82203156403291e-06,1.0053643923177884e-05,9.727142481038693e-06,9.870617976594629e-06,9.836674885785969e-06
200,2.5004393644067944e-05,2.4819328034860316e-05,2.4550429451684738e-05,2.4391011665783673e-05,2.2793826368337776e-05,2.2041401144746274e-05,2.139953118670622e-05,2.0792879138245577e-05,2.0120950400806893e-05,1.945325186801408e-05,1.8923825499622328e-05,1.8354012800395686e-05,1.782023896720496e-05,1.728008177701865e-05,1.676720520266625e-05,1.625118224017619e-05,1.5791383392234137e-05,1.5291747353286756e-05,1.4904668698111081e-05,1.4462580954513346e-05,1.4056490524775323e-05,1.3696735797920022e-05,1.3379604438558719e-05,1.2990814620309394e-05,1.2702464614157516e-05,1.2371068351816639e-05,1.2061915149526807e-05,1.1846008240765246e-05,1.1536877104729007e-05,1.1326290078053401e-05,1.105101459831301e-05,1.088776124179979e-05,1.065548554221683e-05,1.0451915306766987e-05,1.0389304773112404e-05,1.0208789745405336e-05,1.003938620588152e-05,9.922514281203467e-06,9.813430447656888e-06,9.749528507129002e-06,9.566070970235034e-06,9.516892512197782e-06,9.458170250804545e-06,9.674730494843547e-06,9.366788256967797e-06,9.506502402094892e-06,9.472414900368031e-06
250,2.2698497153177856e-05,2.262940927513216e-05,2.2479220893912143e-05,2.2397523077194842e-05,2.1140497095858905e-05,2.0568077550541533e-05,2.00491788701891e-05,1.954245172163469e-05,1.8962682693132758e-05,1.83749084225666e-05,1.7902739504101e-05,1.7389928845256225e-05,1.690835535801107e-05,1.6416420231243548e-05,1.5948414433946586e-05,1.5475281235884302e-05,1.5051939795018813e-05,1.4590154278275889e-05,1.42334757263408e-05,1.3822893464814094e-05,1.3443677730191527e-05,1.3106153832650717e-05,1.2810799412779994e-05,1.2446093224335912e-05,1.2175495046576008e-05,1.1864648350725845e-05,1.1573481356540288e-05,1.1370516665420785e-05,1.1080523638547733e-05,1.0882327679485263e-05,1.062304542112334e-05,1.0469854002017064e-05,1.0250681207117177e-05,1.0058426109279447e-05,1.0001413258129543e-05,9.830165364484971e-06,9.669013151600197e-06,9.558500231017982e-06,9.454258729908101e-06,9.398225757770216e-06,9.219577379299361e-06,9.173039032681489e-06,9.120564030043595e-06,9.323196247783702e-06,9.032280350045178e-06,9.16813913845482e-06,9.134306816720021e-06
300,2.0744935507115028e-05,2.075837286587869e-05,2.069808292692579e-05,2.0675727541867606e-05,1.9690020262042996e-05,1.926299665242011e-05,1.884549878524872e-05,1.842215597667825e-05,1.7920341954494798e-05,1.740124716071323e-05,1.6978694706887786e-05,1.6515535560732518e-05,1.6079490360099388e-05,1.562983544373034e-05,1.5201273065274272e-05,1.4765994762816135e-05,1.437493704820918e-05,1.3946793288361882e-05,1.3617185538889488e-05,1.3234832641541516e-05,1.2879809184588416e-05,1.256237948130324e-05,1.2286593418530881e-05,1.194373054717458e-05,1.1689146821117597e-05,1.1396918312215028e-05,1.1122065747020852e-05,1.093076980735594e-05,1.065816360307816e-05,1.047118185151449e-05,1.0226446990330658e-05,1.0082374566221289e-05,9.875126769932072e-06,9.693172885480065e-06,9.641178968739129e-06,9.478371741290384e-06,9.324789295385467e-06,9.220067192567062e-06,9.12022313429135e-06,9.071288283653261e-06,8.897142845988266e-06,8.853116050608046e-06,8.806264470589255e-06,8.995987221040116e-06,8.720743742036822e-06,8.852699506450279e-06,8.819429867076052e-06
350,1.906853022344548e-05,1.9141848831742486e-05,1.915055709883266e-05,1.9174031729792543e-05,1.8407441905896765e-05,1.8098975682197682e-05,1.7765825252527918e-05,1.7412660215245282e-05,1.6977309082716097e-05,1.6517623630024918e-05,1.6138348828785105e-05,1.5718711361948487e-05,1.532262508955824e-05,1.4910271791121818e-05,1.4516593896782492e-05,1.4114924085445026e-05,1.3752618347173244e-05,1.3354537583452652e-05,1.3049159246737602e-05,1.2692221490260868e-05,1.2359070689780963e-05,1.205988418634946e-05,1.180176108547606e-05,1.1478789564966797e-05,1.1238717478915303e-05,1.0963426736387603e-05,1.070343490108772e-05,1.0522709371887377e-05,1.0265956733051402e-05,1.0089169079647907e-05,9.85771612248924e-06,9.721942679362522e-06,9.525590011012297e-06,9.353053206323685e-06,9.305576516601221e-06,9.150492208182633e-06,9.003880624242613e-06,8.904452519089828e-06,8.808619148495952e-06,8.766106680370018e-06,8.596192442482657e-06,8.554554592375833e-06,8.512785244740614e-06,8.69052313843535e-06,8.429748328083009e-06,8.557789237071892e-06,8.525318668879212e-06
400,1.7614706278181757e-05,1.7732017726603455e-05,1.779418730915251e-05,1.7853346866892146e-05,1.726552328470594e-05,1.705448631638754e-05,1.6792020896173834e-05,1.649835364734852e-05,1.6120059203196465e-05,1.571206730701305e-05,1.5370761734936643e-05,1.4989487410526609e-05,1.462866887249016e-05,1.424940782991028e-05,1.38867504431609e-05,1.351507624763829e-05,1.3178508275726393e-05,1.2807422697020396e-05,1.2523829713157963e-05,1.2189872140314342e-05,1.187657460745712e-05,1.1594016687916795e-05,1.135190155272692e-05,1.1047109693237276e-05,1.0820240460270344e-05,1.0560415899179795e-05,1.0314012313562582e-05,1.014290329547978e-05,9.900654010556827e-06,9.733170077728952e-06,9.513884977128585e-06,9.385692726407484e-06,9.199329200660407e-06,9.035433172171475e-06,8.992036300628591e-06,8.844046899100699e-06,8.703876509927948e-06,8.60930539765257e-06,8.517144364029574e-06,8.480458666234835e-06,8.314533169234201e-06,8.275167206801218e-06,8.238007811933405e-06,8.404601807843737e-06,8.157219464513001e-06,8.281361299430516e-06,8.249870642794572e-06
