Production rate of Ti-44 by GCR (all) in meteoroid 80cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.14,19.28,26.42,33.56,40.7,47.84,54.98,62.12,69.26,76.4,83.54,90.68,97.82,104.96,112.1,119.24,126.38,133.52,140.66,147.8,154.94,162.08,169.22,176.36,183.5,190.64,197.78,204.92,212.06,219.2,226.34,233.48,240.62,247.76,254.9,262.04,269.18,276.32,283.46,290.6
0,4.4759933797666256e-05,4.277551251768004e-05,4.1375772017454016e-05,4.054612113009494e-05,3.684567729715215e-05,3.545153243173498e-05,3.4039606464964216e-05,3.3153154667132196e-05,3.232783255396436e-05,3.153738500964016e-05,3.0640881034110825e-05,2.9970394202382436e-05,2.9444558915299975e-05,2.881354887151532e-05,2.8316818066598368e-05,2.78444724405155e-05,2.7311498452207518e-05,2.6793003160167514e-05,2.636126683908234e-05,2.5885872752466888e-05,2.546551603342697e-05,2.5069606962619745e-05,2.4683207443123447e-05,2.427348048173606e-05,2.391238180296939e-05,2.3583519992246372e-05,2.333073168550373e-05,2.308628548854421e-05,2.2900941048574983e-05,2.262510030549684e-05,2.2425477924388497e-05,2.226741026335891e-05,2.1958979357670193e-05,2.185915025767719e-05,2.168916653206771e-05,2.1402209702501694e-05,2.1213704577735004e-05,2.122132680847711e-05,2.093573278668288e-05,2.0907983550958124e-05,2.1053768873147296e-05,2.0758401963735246e-05,2.0394217104075767e-05,2.0274463886911735e-05
50,3.869235478076965e-05,3.756237776091951e-05,3.664003228853104e-05,3.610290456769104e-05,3.3273728492646325e-05,3.226354890500718e-05,3.117610167637667e-05,3.049096829962493e-05,2.983982507349375e-05,2.9200771722729874e-05,2.84513089792749e-05,2.788794248267777e-05,2.744483442395928e-05,2.689822611290036e-05,2.6466989333286735e-05,2.6060927133311555e-05,2.559135988730528e-05,2.513580703406962e-05,2.4758287042337242e-05,2.4336970629635923e-05,2.3964861248402066e-05,2.3616037626890128e-05,2.3269907838814964e-05,2.2902932075438138e-05,2.257734575313883e-05,2.2281286184613983e-05,2.2051117756003817e-05,2.182823809394794e-05,2.166006420234082e-05,2.140804417122625e-05,2.1223787107424828e-05,2.1085870254013613e-05,2.0796965691957147e-05,2.0708209306314192e-05,2.055130263455191e-05,2.0288813032651694e-05,2.011466893633254e-05,2.0124922000924687e-05,1.9845779823761857e-05,1.9832627334579963e-05,1.9968528871223653e-05,1.9695424857631044e-05,1.9347797083548108e-05,1.924103764122679e-05
100,3.415500460410257e-05,3.34627363780068e-05,3.284839417206577e-05,3.2509708153298584e-05,3.030462010906118e-05,2.9576378139417164e-05,2.8735302565821622e-05,2.8205373847857705e-05,2.76899932530813e-05,2.717013775847762e-05,2.65389689890466e-05,2.6063040841256654e-05,2.568787559082534e-05,2.5211488197768764e-05,2.4834854421502706e-05,2.4483780478113957e-05,2.4067495141910395e-05,2.3664854928378073e-05,2.3332678391226982e-05,2.2957026214824884e-05,2.262554751771124e-05,2.231651981539616e-05,2.200472294275016e-05,2.167424502541992e-05,2.137926764988356e-05,2.1111485328029292e-05,2.0901033192923072e-05,2.06970585542196e-05,2.0543666692130843e-05,2.031260029510506e-05,2.0141955628358674e-05,2.0021125970151428e-05,1.9749807811743912e-05,1.9670423687262374e-05,1.9525079161072297e-05,1.9284293556754714e-05,1.9122460316621342e-05,1.913500408874793e-05,1.8862583555785247e-05,1.8861396079268245e-05,1.8988585755560713e-05,1.873502250691631e-05,1.8403296560491855e-05,1.830631391230666e-05
150,3.055412809977729e-05,3.0128954038993904e-05,2.9728523241653344e-05,2.9530856714768287e-05,2.7791798751824765e-05,2.7276615317984798e-05,2.6626898618312512e-05,2.6218993924020444e-05,2.5811447399493115e-05,2.538717104649656e-05,2.4852686189743995e-05,2.4449074531679022e-05,2.4130365618485135e-05,2.3713068200410717e-05,2.3382505362933024e-05,2.3077570245643897e-05,2.2706580634829397e-05,2.2348916184901786e-05,2.2055097325171713e-05,2.171844535605142e-05,2.1421553409498027e-05,2.1146508796391714e-05,2.0864296639960106e-05,2.0565290092811105e-05,2.0296947141162768e-05,2.0053749644201965e-05,1.986063313207992e-05,1.967334648944228e-05,1.9532791281898968e-05,1.9320297518804452e-05,1.9161799485991033e-05,1.9055560860108952e-05,1.880016822158739e-05,1.8728804616106176e-05,1.8593740360846404e-05,1.8372322285866268e-05,1.8221143312212907e-05,1.8235693954692237e-05,1.7970142647032454e-05,1.7978801877079856e-05,1.809822615814521e-05,1.786197493407184e-05,1.7545397425750796e-05,1.74557629993025e-05
200,2.7604929711391026e-05,2.7356539532480718e-05,2.7110814756119088e-05,2.701635729957514e-05,2.5635255152195448e-05,2.5284400823288687e-05,2.478588375615627e-05,2.44753799873677e-05,2.4154750736773047e-05,2.3808224183959858e-05,2.335376581952313e-05,2.3010609614733007e-05,2.2739271334957402e-05,2.2372172973313277e-05,2.2080872736075694e-05,2.181502063517683e-05,2.1482912138592693e-05,2.116383390611277e-05,2.0902775146416364e-05,2.0599750044658794e-05,2.0332568786498757e-05,2.008679602138736e-05,1.9830304541154557e-05,1.955866447148311e-05,1.9313681860260213e-05,1.9092013856064932e-05,1.8914249185911104e-05,1.874178299179935e-05,1.8612456779105982e-05,1.8416529737970816e-05,1.826893575240218e-05,1.817523218047975e-05,1.7934327351478042e-05,1.7869890561315814e-05,1.774401421743858e-05,1.7539968080021402e-05,1.739808336227935e-05,1.741440096183266e-05,1.7155771863825328e-05,1.7172556497465667e-05,1.7284997435013973e-05,1.706420082056789e-05,1.6761983420678283e-05,1.667784366087053e-05
250,2.5137677993895808e-05,2.5012012075495416e-05,2.4881156662134682e-05,2.48637757938429e-05,2.376340130597466e-05,2.354124136540244e-05,2.3163814474266576e-05,2.2932001771903005e-05,2.2682262268058312e-05,2.239972586042055e-05,2.2012201460389134e-05,2.17200428420828e-05,2.148878265390598e-05,2.1164680173822758e-05,2.090712752954419e-05,2.0674651894449706e-05,2.0376195684431755e-05,2.0090486805090822e-05,1.9857638381522615e-05,1.958384410183516e-05,1.9342386032502455e-05,1.9122015647179225e-05,1.8888055748996202e-05,1.8640386283072184e-05,1.8416031731010622e-05,1.8213336153960306e-05,1.8049249151915245e-05,1.7890015369493042e-05,1.777057423403417e-05,1.758950474257201e-05,1.7451750086631736e-05,1.736887273498194e-05,1.7141200322247154e-05,1.7082793086068647e-05,1.6965167614661423e-05,1.6776774233798197e-05,1.6643053659861846e-05,1.666093326528193e-05,1.640920725644933e-05,1.6432707624282078e-05,1.653882336004047e-05,1.633191196051399e-05,1.6043266577379785e-05,1.5963196903520913e-05
300,2.3040614827638406e-05,2.3002826851760957e-05,2.295883542934414e-05,2.2999836318125058e-05,2.2123205911186754e-05,2.2003021115739073e-05,2.1723631421627307e-05,2.155602197622456e-05,2.136466407295308e-05,2.1135308350002626e-05,2.080426346398708e-05,2.055545735851365e-05,2.0358349471011863e-05,2.00713369169327e-05,1.9843007656961677e-05,1.9639237404717666e-05,1.9370118080993557e-05,1.9113468123322927e-05,1.8905087197920077e-05,1.865688294768713e-05,1.843784966600143e-05,1.8239667730214653e-05,1.8025576114235973e-05,1.7799037126732336e-05,1.7593005701316497e-05,1.740712183478638e-05,1.7255284839170923e-05,1.710792207179235e-05,1.6997231813228677e-05,1.6829549840271987e-05,1.6700714117268028e-05,1.662723153076796e-05,1.6411687410009847e-05,1.635856518403349e-05,1.6248381800980582e-05,1.607414900507771e-05,1.5947644219273675e-05,1.596690918144018e-05,1.572201294513963e-05,1.5751066905141267e-05,1.585141955329061e-05,1.5657052469219144e-05,1.538121117876818e-05,1.5304112045689622e-05
350,2.1235633441907423e-05,2.126210919753525e-05,2.1284663427430093e-05,2.1370319322788362e-05,2.0674337000126493e-05,2.0635693329363395e-05,2.0436387167493593e-05,2.032158677579697e-05,2.0178700203001448e-05,1.999390719155361e-05,1.971088305947976e-05,1.949917786897128e-05,1.9331355807584156e-05,1.9076540731467003e-05,1.8873682818907746e-05,1.8694754703886216e-05,1.8451372589974586e-05,1.8220183296880703e-05,1.803315877525539e-05,1.7807497323378443e-05,1.760813332610914e-05,1.742944445485034e-05,1.7232974301102752e-05,1.7025167988871207e-05,1.6835497200747232e-05,1.666458400612034e-05,1.6523768847646773e-05,1.638710160084797e-05,1.6284197171112982e-05,1.6128628264590548e-05,1.6007909828145282e-05,1.59426146212616e-05,1.5738221723321185e-05,1.568976066102577e-05,1.558631725295154e-05,1.5424941359770083e-05,1.5304849876381118e-05,1.5325346779418034e-05,1.5087166891548027e-05,1.5120810850199492e-05,1.5215886368527145e-05,1.5032907196472972e-05,1.4769133316269928e-05,1.469415433712517e-05
400,1.9665873212876155e-05,1.974001866352818e-05,1.9814019605386633e-05,1.9934043722966236e-05,1.9385467218685007e-05,1.9412484286689665e-05,1.9279079400326584e-05,1.920800904870798e-05,1.9105641070999275e-05,1.8958453596191756e-05,1.87165287714261e-05,1.8536761065333327e-05,1.83941911402717e-05,1.8167483987560543e-05,1.7986956005951496e-05,1.7829645884617367e-05,1.7608970272100303e-05,1.7400210770848758e-05,1.7231933101193167e-05,1.7026240410891955e-05,1.6844223670125834e-05,1.668274813472293e-05,1.6501987191498777e-05,1.631087238162079e-05,1.6135877807426262e-05,1.597835512375449e-05,1.5847497252512955e-05,1.572050404416456e-05,1.5624558443606263e-05,1.5479990063852122e-05,1.536668610788653e-05,1.5308553612172513e-05,1.5114442668546043e-05,1.5070115611386834e-05,1.4972799390981071e-05,1.4823134725099163e-05,1.470877255278754e-05,1.4730367279331134e-05,1.4498761214431833e-05,1.4536192187934295e-05,1.4626414965111272e-05,1.4453818418588825e-05,1.4201412258792488e-05,1.412789576810693e-05
