Production rate of Ti-44 by GCR (all) in meteoroid 30cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.08,15.16,20.24,25.32,30.4,35.48,40.56,45.64,50.72,55.8,60.88,65.96,71.04,76.12,81.2,86.28,91.36,96.44,101.52,106.6
0,5.270358838965075e-05,5.0441355955757e-05,4.849934937027736e-05,4.7863234267977724e-05,4.3593547849409976e-05,4.289476614406835e-05,4.212875185239144e-05,4.1384684727022006e-05,4.096986681738757e-05,4.071703541366163e-05,4.0348852292005526e-05,4.0087155412359235e-05,3.974827846889935e-05,3.94198084227118e-05,3.9134231327586604e-05,3.8801978979048906e-05,3.870012493642496e-05,3.873641496705909e-05,3.8769775356151795e-05,3.853254366229741e-05,3.884742470221113e-05,3.859438462804119e-05,3.802670062903461e-05,3.696869246793709e-05
50,4.573991536536576e-05,4.4340812652040074e-05,4.295580555407399e-05,4.259306566038704e-05,3.917628240523241e-05,3.875026770832509e-05,3.822213026047311e-05,3.768691240847102e-05,3.741280051147578e-05,3.725635636532629e-05,3.698571337506224e-05,3.681432263217856e-05,3.6556158385477456e-05,3.630348943017846e-05,3.608010716694796e-05,3.5801512773361713e-05,3.5721337948392475e-05,3.57761211777811e-05,3.581601621427993e-05,3.561098723144942e-05,3.588908691981953e-05,3.568122048625919e-05,3.5160219631882995e-05,3.4210775716198056e-05
100,4.047006850945134e-05,3.951966395098874e-05,3.849812633283406e-05,3.8316555223141894e-05,3.551752869915311e-05,3.5284485105601295e-05,3.492888926343411e-05,3.4548906009324817e-05,3.43794854723594e-05,3.4294587449496404e-05,3.409791570403633e-05,3.399417320200615e-05,3.3797827544776834e-05,3.360413821542094e-05,3.3430521334664414e-05,3.31957735950136e-05,3.313295364165559e-05,3.320158302193143e-05,3.324645208794438e-05,3.3068316058903444e-05,3.3314679518043586e-05,3.3143947517661273e-05,3.2664025892279055e-05,3.1807500674338376e-05
150,3.6255684519960745e-05,3.558397041804934e-05,3.481868917286151e-05,3.476283815996193e-05,3.24309702009915e-05,3.2338577302871775e-05,3.211164838038862e-05,3.184968920507247e-05,3.175965199342125e-05,3.172889389136949e-05,3.1589457026477256e-05,3.153730261663036e-05,3.138922649600641e-05,3.1242201612902226e-05,3.110891939441189e-05,3.091042548796718e-05,3.086165768898482e-05,3.0940674417222926e-05,3.098932015852408e-05,3.083387190391773e-05,3.105276326968406e-05,3.091280000295075e-05,3.0469286328722253e-05,2.9692927942982592e-05
200,3.2784206345507294e-05,3.2300809053753326e-05,3.1724128135582504e-05,3.175799291376607e-05,2.9789982110440433e-05,2.980216855155397e-05,2.9673073847035405e-05,2.950235875146891e-05,2.9473345452545375e-05,2.948412781401367e-05,2.938965512514516e-05,2.9377357208562283e-05,2.9267536179141843e-05,2.915791312397962e-05,2.90576556087222e-05,2.8889431842227133e-05,2.885214517595064e-05,2.8938931007259906e-05,2.8990421059039637e-05,2.8854278648124873e-05,2.9049303117286035e-05,2.8935005382671712e-05,2.8523957254798982e-05,2.781724963734721e-05
250,2.9866814048460064e-05,2.951729176709676e-05,2.908344969513745e-05,2.9182483335847595e-05,2.7504191296114016e-05,2.7595200330677637e-05,2.7541561275424026e-05,2.7442288865278312e-05,2.7460655400278016e-05,2.7503629997823953e-05,2.7444902498179342e-05,2.746369193046371e-05,2.73845498043085e-05,2.7305215514361992e-05,2.7232220928444944e-05,2.7089481757414483e-05,2.7061644505690632e-05,2.7154191296532923e-05,2.7207791584367715e-05,2.7088200095303237e-05,2.7262413063806146e-05,2.716964729940022e-05,2.6787703182968464e-05,2.614188801636829e-05
300,2.7377912064309656e-05,2.7126884691156654e-05,2.6803494432593552e-05,2.6950374193761424e-05,2.5506806887625674e-05,2.5657758940865084e-05,2.5662930703917386e-05,2.562014652742211e-05,2.567555797372107e-05,2.5743652063744804e-05,2.571360769928176e-05,2.5756808777216686e-05,2.5702506080808037e-05,2.564790623564224e-05,2.559757064283563e-05,2.5476441213681782e-05,2.545642788606081e-05,2.555317927880705e-05,2.560830689185506e-05,2.5502997480834446e-05,2.565899700410956e-05,2.558438519609735e-05,2.522865386773789e-05,2.4636374063725618e-05
350,2.5229004922035647e-05,2.5052261322618008e-05,2.4815640474672747e-05,2.4997822159601424e-05,2.37471326915346e-05,2.394390434113295e-05,2.3995265336333834e-05,2.3997480556070524e-05,2.4081986634325382e-05,2.416976358620542e-05,2.4162905944209065e-05,2.422536027522509e-05,2.419132640071377e-05,2.4157063600418903e-05,2.412566589905556e-05,2.402297536711798e-05,2.400947185346682e-05,2.4109211537710067e-05,2.416540051071612e-05,2.4072486803797013e-05,2.4212490296116696e-05,2.415325035197791e-05,2.382122641162232e-05,2.3276254959959773e-05
400,2.33552288396025e-05,2.323556343311193e-05,2.306795683828852e-05,2.327617329893921e-05,2.2185860078067243e-05,2.2417712437487804e-05,2.2505540672226237e-05,2.2543803093242075e-05,2.265120935805239e-05,2.2754435067078703e-05,2.2766429115753566e-05,2.284410104348563e-05,2.282671193672862e-05,2.280926398392421e-05,2.279376709473002e-05,2.270689668791719e-05,2.269883105598944e-05,2.2800602173678856e-05,2.285747811702773e-05,2.2775378550358172e-05,2.290128588325121e-05,2.2855110681731254e-05,2.254460876957941e-05,2.204163924420658e-05
