Production rate of Ti-44 by GCR (all) in meteoroid 70cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.09,19.18,26.27,33.36,40.45,47.54,54.63,61.72,68.81,75.9,82.99,90.08,97.17,104.26,111.35,118.44,125.53,132.62,139.71,146.8,153.89,160.98,168.07,175.16,182.25,189.34,196.43,203.52,210.61,217.7,224.79,231.88,238.97,246.06,253.15
0,4.602103230421796e-05,4.418465421091033e-05,4.25645711846181e-05,4.182832872211358e-05,3.792686211540396e-05,3.666992254307465e-05,3.534300212671722e-05,3.450569813548017e-05,3.367839885965254e-05,3.288234285340562e-05,3.21467980541197e-05,3.1463247691335893e-05,3.079786729766299e-05,3.0402166465602436e-05,2.9859634819079167e-05,2.9465331245954023e-05,2.9053637527624328e-05,2.8610150479132836e-05,2.817455574017708e-05,2.7781410478872217e-05,2.735512364061092e-05,2.70579327133444e-05,2.675528461866091e-05,2.642668360074313e-05,2.61013116855848e-05,2.588288726042936e-05,2.5656894416928745e-05,2.5417519389126757e-05,2.52838181364348e-05,2.509587001334233e-05,2.497339702361513e-05,2.4845411509092715e-05,2.4666904581191437e-05,2.4804349976467167e-05,2.4494255517759843e-05,2.437169609804003e-05,2.41936795356321e-05,2.426392341741043e-05,2.5329897902410794e-05
50,3.983983509558747e-05,3.882337690683302e-05,3.772818912939063e-05,3.727033248901371e-05,3.426380102188967e-05,3.337374951274646e-05,3.236777209788461e-05,3.172909725500563e-05,3.107774892520609e-05,3.043487012759327e-05,2.9835113645285238e-05,2.9261753068766156e-05,2.8692283441254343e-05,2.8360355318196577e-05,2.7892535460664818e-05,2.7555683749018843e-05,2.720189952764825e-05,2.6817905309688896e-05,2.6436072317969293e-05,2.6091954061994295e-05,2.5714924983172635e-05,2.5458759645720282e-05,2.519328042802145e-05,2.4901202411882995e-05,2.4606557147951274e-05,2.441675374078217e-05,2.4213188434181165e-05,2.3997467113803235e-05,2.3879496718688153e-05,2.370259165067756e-05,2.3601710902503524e-05,2.3472531046452995e-05,2.3317261956438123e-05,2.344270979081813e-05,2.316010183987982e-05,2.3045017278702036e-05,2.287743760702634e-05,2.2960094628741024e-05,2.3964071616255206e-05
100,3.5207763557722614e-05,3.46073101054298e-05,3.385086485960346e-05,3.358009680287025e-05,3.121650206979684e-05,3.059449568677054e-05,2.9831283099976126e-05,2.9345186238441177e-05,2.8830866137484556e-05,2.8308483730772378e-05,2.7816854593625584e-05,2.7333377798372472e-05,2.684311012618133e-05,2.656356929910752e-05,2.6157899565588307e-05,2.5868424459348105e-05,2.5562757117530962e-05,2.5228313707017198e-05,2.4891595454232325e-05,2.4588436904129292e-05,2.4252933802769685e-05,2.403101702616871e-05,2.379678202609786e-05,2.3535818000738032e-05,2.3267496429904152e-05,2.310180555879745e-05,2.291776128293827e-05,2.2722708511545816e-05,2.2618157655210632e-05,2.2451156840400272e-05,2.2368458775061194e-05,2.223901954683283e-05,2.210338632423544e-05,2.2218716350636737e-05,2.1959963745999367e-05,2.185140454529332e-05,2.169360102009229e-05,2.1786446673229916e-05,2.273633918547921e-05
150,3.152611801208412e-05,3.117719971753593e-05,3.0656923594322643e-05,3.051792892270999e-05,2.8635723275649597e-05,2.8215314536191933e-05,2.763992103617256e-05,2.7273355458395375e-05,2.6867764179907164e-05,2.6441920154470657e-05,2.6037792884623963e-05,2.562860528003593e-05,2.520450699122182e-05,2.4968523624511815e-05,2.461513741830952e-05,2.4365208680086426e-05,2.4099979061039226e-05,2.380727569120693e-05,2.350884821167022e-05,2.3240315824228865e-05,2.294021576043966e-05,2.274720219201985e-05,2.2539517507410963e-05,2.2305334492719107e-05,2.2059806088694377e-05,2.1914607900018444e-05,2.1747700703829476e-05,2.1570820773265304e-05,2.1477823835391397e-05,2.1319780092514613e-05,2.12524885458152e-05,2.112351706295755e-05,2.100460899746478e-05,2.1111341495033344e-05,2.0873430796872284e-05,2.0770625781632147e-05,2.062192709736057e-05,2.0723185402134473e-05,2.162533717567598e-05
200,2.850697635724212e-05,2.8322985844379375e-05,2.79744343547231e-05,2.7931022402738228e-05,2.6419516577188827e-05,2.615386560435108e-05,2.5726265255870495e-05,2.545477069495589e-05,2.513671451262345e-05,2.4789338128293278e-05,2.4456933630697043e-05,2.4109807905169904e-05,2.3741531846418727e-05,2.354212884696339e-05,2.3233140885500707e-05,2.301655990726567e-05,2.2785638231107937e-05,2.2528431340392903e-05,2.2262815134816055e-05,2.2023844545355317e-05,2.1754212683673735e-05,2.1585814453999757e-05,2.1400898048018706e-05,2.1189965379100356e-05,2.0964349492033314e-05,2.083669816046244e-05,2.0684941570498253e-05,2.052412632863679e-05,2.0441153325452178e-05,2.029126355900574e-05,2.0237095035590775e-05,2.0109152671898165e-05,2.0004586770598415e-05,2.0103962218473926e-05,1.988436918963578e-05,1.978668104500079e-05,1.9646434640644508e-05,1.975466406048439e-05,2.0614264111063958e-05
250,2.597844083050183e-05,2.590780711399355e-05,2.5687585345804996e-05,2.571488752538849e-05,2.4494842201872403e-05,2.4349806425907283e-05,2.4040053426790302e-05,2.384508982928137e-05,2.359833192603871e-05,2.331548865207638e-05,2.3042492776039233e-05,2.274768244349169e-05,2.242689382170879e-05,2.2258473930523016e-05,2.1987492660002113e-05,2.179927817234063e-05,2.1597700459200743e-05,2.1370927876039895e-05,2.1133659775343526e-05,2.092014088502611e-05,2.067694252927934e-05,2.0529672307079274e-05,2.0364434708046063e-05,2.017383576499764e-05,1.9965748547353913e-05,1.9853219811807876e-05,1.971493771690003e-05,1.956839154198357e-05,1.9494171778588065e-05,1.935174500753672e-05,1.930880502719869e-05,1.918232166225073e-05,1.909012685110178e-05,1.9183164924115386e-05,1.897975869797523e-05,1.888665326965398e-05,1.8754240099891592e-05,1.886825545398488e-05,1.9689616950235156e-05
300,2.3827173213283873e-05,2.383683363139365e-05,2.371437791546489e-05,2.3794699243877287e-05,2.2807551545504852e-05,2.2757606687737468e-05,2.254282301600412e-05,2.2410068244309025e-05,2.2221941228859704e-05,2.1992692812386256e-05,2.176933945549779e-05,2.1518968966633333e-05,2.1238871614697263e-05,2.1096887047111846e-05,2.0858669575221897e-05,2.0694767519131288e-05,2.0518464960751117e-05,2.0317972772445236e-05,2.0105373167843846e-05,1.9913928507759676e-05,1.969382482037652e-05,1.956481316181772e-05,1.9416701224215424e-05,1.9243998880774927e-05,1.9051444073690822e-05,1.8952023753115595e-05,1.8825787255158223e-05,1.869196986953283e-05,1.862543686301742e-05,1.8489871608614794e-05,1.8456576680745238e-05,1.8331877964029736e-05,1.825040986145304e-05,1.8337954219488734e-05,1.8148923735768022e-05,1.8059948023604597e-05,1.7934789191991388e-05,1.8053605945123977e-05,1.8840362154587727e-05
350,2.19738729979482e-05,2.2041547239279263e-05,2.1994627399965744e-05,2.2115042058907085e-05,2.1316434220553062e-05,2.1342115020454898e-05,2.1204522890162554e-05,2.1122738925220442e-05,2.0983211010315245e-05,2.0798843233150165e-05,2.061728250723412e-05,2.040491420336831e-05,2.0159908045356336e-05,2.004062314610604e-05,1.9830824433015232e-05,1.9687899139486698e-05,1.953350183867868e-05,1.9355845897022008e-05,1.9164849255871717e-05,1.8992673537906476e-05,1.879287264420991e-05,1.8679734704919995e-05,1.854661731132658e-05,1.8389755038078063e-05,1.8211043867992178e-05,1.8123044519158033e-05,1.8007624803626723e-05,1.7885206726710215e-05,1.7825457343896647e-05,1.7696225040481307e-05,1.76712429058052e-05,1.75485718309372e-05,1.7476448418510318e-05,1.7559201244775712e-05,1.7382997774660106e-05,1.729776371607905e-05,1.717932255327057e-05,1.7302115831164997e-05,1.8057362250710897e-05
400,2.0360753720929824e-05,2.0470875980631665e-05,2.048292330343071e-05,2.063379346134419e-05,1.998946021914912e-05,2.007568018392981e-05,2.0001268479154727e-05,1.996152074565198e-05,1.9862546506473895e-05,1.9716029343252355e-05,1.9569879183077406e-05,1.939019804835158e-05,1.9175626001836338e-05,1.907594284902039e-05,1.889092945603719e-05,1.87662099897065e-05,1.8630901471044537e-05,1.8473200043799916e-05,1.8301228860382153e-05,1.8145970176800025e-05,1.796411624345961e-05,1.7864852439140373e-05,1.7744935092246793e-05,1.7602162638273565e-05,1.7435853746581658e-05,1.735785123308685e-05,1.7252183584761827e-05,1.7140010880662563e-05,1.7086274354380284e-05,1.6962906822961758e-05,1.6945110029793783e-05,1.682464399554444e-05,1.6760696151360457e-05,1.6839245096392833e-05,1.6674536760342635e-05,1.6592709013509517e-05,1.6480490627134367e-05,1.6606564339023114e-05,1.733296439086802e-05
450,1.8944417919211207e-05,1.90858122969528e-05,1.914423730791719e-05,1.9318257743532497e-05,1.88012982701213e-05,1.893620682910493e-05,1.8913800087717453e-05,1.8908905209318357e-05,1.884396215441704e-05,1.872956261743466e-05,1.861358287769321e-05,1.8462162291293394e-05,1.8274119839740028e-05,1.8191447679543697e-05,1.8028156961007025e-05,1.7919321947215275e-05,1.780072931858592e-05,1.766055174313052e-05,1.7505421107080747e-05,1.7365091308016582e-05,1.7199180390859974e-05,1.7112101045600152e-05,1.7003860912045903e-05,1.6873677428387568e-05,1.6718530983785642e-05,1.6649315468762715e-05,1.655247128199484e-05,1.6449537313997214e-05,1.6401151329576597e-05,1.6283231093475417e-05,1.6271660495197205e-05,1.6153524818279854e-05,1.609675771745952e-05,1.6171597117937105e-05,1.6017232523560633e-05,1.593851909091811e-05,1.583206855554425e-05,1.596083168090205e-05,1.6660696933972914e-05
