Production rate of Ti-44 by GCR (all) in meteoroid 90cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.02,19.04,26.06,33.08,40.1,47.12,54.14,61.16,68.18,75.2,82.22,89.24,96.26,103.28,110.3,117.32,124.34,131.36,138.38,145.4,152.42,159.44,166.46,173.48,180.5,187.52,194.54,201.56,208.58,215.6,222.62,229.64,236.66,243.68,250.7,257.72,264.74,271.76,278.78,285.8,292.82,299.84,306.86,313.88,320.9,327.92
0,4.3652449156956374e-05,4.1825650528540155e-05,4.0355062260714416e-05,3.955650749538559e-05,3.5908420439725084e-05,3.464888953722944e-05,3.314488887243592e-05,3.218556653720799e-05,3.133499485679077e-05,3.0439943013683022e-05,2.963830823435925e-05,2.883649251991158e-05,2.818369081570881e-05,2.7636608028422645e-05,2.7081437885658445e-05,2.6615434333112785e-05,2.610878147998069e-05,2.5518473812293767e-05,2.504002314284857e-05,2.451248920435564e-05,2.4073550667837614e-05,2.3629237018502115e-05,2.3159162495418034e-05,2.2809108948656965e-05,2.236138520048765e-05,2.2009456599638936e-05,2.1721373882793216e-05,2.142941079034142e-05,2.1066163349854877e-05,2.0900051924339936e-05,2.0613794659672396e-05,2.0366000512711477e-05,2.01192200178734e-05,1.9917191243378643e-05,1.9664331881110586e-05,1.9456202738674093e-05,1.9273589752995e-05,1.9095231782574883e-05,1.8804027137215545e-05,1.8750259047079857e-05,1.870245246696806e-05,1.8497317815259396e-05,1.837999041769841e-05,1.824208278924501e-05,1.8086831466093407e-05,1.8088282548630116e-05,1.785404556092719e-05,1.798723750650343e-05,1.7869431223470067e-05,1.7774873605434557e-05
50,3.767996527647845e-05,3.6669782797006534e-05,3.5700229154730395e-05,3.518850932847862e-05,3.240228711921819e-05,3.151148427399019e-05,3.0341263605507305e-05,2.958830635760936e-05,2.8911758721024824e-05,2.81750468235209e-05,2.7511306154480414e-05,2.6828558032613416e-05,2.6272135735599896e-05,2.5799119344266255e-05,2.5315185958953813e-05,2.4914857405248253e-05,2.4469210457808684e-05,2.394368775375752e-05,2.352494243456651e-05,2.3052829224256076e-05,2.266311618470908e-05,2.226453598455536e-05,2.1841981494255725e-05,2.1531259701183248e-05,2.1122547377887305e-05,2.0806073466417198e-05,2.0545550496576404e-05,2.0278438362530457e-05,1.994214025108896e-05,1.9791666915492673e-05,1.9532931387921756e-05,1.9306354940508826e-05,1.907915429776819e-05,1.8895842093534617e-05,1.866235974730392e-05,1.8467796602348868e-05,1.8300569347907122e-05,1.8139350178000702e-05,1.786738016499193e-05,1.7817280833334115e-05,1.777611436008626e-05,1.7588653206899583e-05,1.7478112511648467e-05,1.7349323859461427e-05,1.7205477086696597e-05,1.720610895901199e-05,1.698669672796462e-05,1.711349438244203e-05,1.6994110031806966e-05,1.68762317524105e-05
100,3.322239265601706e-05,3.262682143558381e-05,3.197821147669794e-05,3.166043427805908e-05,2.9491214957759528e-05,2.8869806299356384e-05,2.7953647367040313e-05,2.7360238216828515e-05,2.681966480199129e-05,2.620835873410528e-05,2.5654966285319187e-05,2.5069858664106225e-05,2.459307686957124e-05,2.418158060332445e-05,2.375703684769503e-05,2.341133229208876e-05,2.3016822127556514e-05,2.2546050597631747e-05,2.2177434917732844e-05,2.1752372281989373e-05,2.140424429735669e-05,2.1044633442962817e-05,2.066266968651781e-05,2.0385429049555906e-05,2.0010527707847614e-05,1.9724574733845635e-05,1.948786038751628e-05,1.9242488596456334e-05,1.8930080852274396e-05,1.8793077318332954e-05,1.8558384068245815e-05,1.835037528368331e-05,1.8140319564938536e-05,1.7973275540047703e-05,1.7756951582392308e-05,1.757449637191884e-05,1.7420808258334152e-05,1.72744922556637e-05,1.7019571561642156e-05,1.697281931606691e-05,1.6937119091770846e-05,1.6765083197570144e-05,1.666081563560138e-05,1.6540123090037695e-05,1.640642188205666e-05,1.6406196567696424e-05,1.6200076960394418e-05,1.6321196566901792e-05,1.6200255204338254e-05,1.606413580065679e-05
150,2.9689894847982517e-05,2.9345232041458826e-05,2.8918935543874767e-05,2.873855988344645e-05,2.70298727137359e-05,2.6611056224298888e-05,2.5892748956404513e-05,2.542518179877156e-05,2.4992892187588254e-05,2.4482742081967883e-05,2.4019103019239544e-05,2.3515123487274162e-05,2.3104903226838484e-05,2.2745119333187795e-05,2.2370672875911905e-05,2.2070921489235825e-05,2.1719778112011266e-05,2.1295803878351955e-05,2.096973684694096e-05,2.058506288629123e-05,2.027245533651332e-05,1.9946402241741595e-05,1.9599474031672415e-05,1.935101684032845e-05,1.9005696109912587e-05,1.874625067902137e-05,1.8530281201723962e-05,1.830408260711215e-05,1.8013001022255897e-05,1.7887706507679535e-05,1.76741505421828e-05,1.7482517339711305e-05,1.7287597170438888e-05,1.7134805823028234e-05,1.6933779734913466e-05,1.6762199303891987e-05,1.662051404285923e-05,1.6487249766888473e-05,1.6247550675426254e-05,1.6203854569693876e-05,1.6172695553158784e-05,1.6014225770608656e-05,1.5915765278228014e-05,1.5802315480318588e-05,1.5677689664644342e-05,1.5676615757758605e-05,1.548247161037451e-05,1.559850223266192e-05,1.5476116618518003e-05,1.5325727988977687e-05
200,2.6800172570800495e-05,2.6620157685945125e-05,2.6354490401781113e-05,2.6274363460587344e-05,2.4919266689272306e-05,2.4655944775689513e-05,2.409439928239921e-05,2.372763928244601e-05,2.338287036695591e-05,2.2955502602417726e-05,2.2565816680389288e-05,2.212997370644943e-05,2.1775914816376813e-05,2.146003398244543e-05,2.112826428756911e-05,2.0867540838920363e-05,2.0553535445435218e-05,2.016994097637278e-05,1.988031837799896e-05,1.953063795963853e-05,1.9248652639595303e-05,1.8951754300898407e-05,1.8635333192673607e-05,1.8411825641197426e-05,1.8092589576653705e-05,1.7856339512924424e-05,1.7658576726504213e-05,1.744940180945365e-05,1.7177469669045922e-05,1.7062432875905755e-05,1.6867563471520212e-05,1.6690467737503898e-05,1.6509001904649457e-05,1.6368781884328292e-05,1.618147396366645e-05,1.6019713002913665e-05,1.588873446901039e-05,1.5766970891997818e-05,1.554094780690696e-05,1.5500044555878668e-05,1.5472687587070888e-05,1.5326226984056668e-05,1.5233148884828993e-05,1.5126219215085732e-05,1.500975200545015e-05,1.5007864846880662e-05,1.4824555771143827e-05,1.4935989216387083e-05,1.4812315050940607e-05,1.465081913363148e-05
250,2.438523557910176e-05,2.431845926232667e-05,2.4172048213587174e-05,2.4166537828532976e-05,2.308863810016148e-05,2.2946478679094755e-05,2.2510841487957575e-05,2.2225844367116948e-05,2.1952665413855685e-05,2.159384773584777e-05,2.126574820648133e-05,2.0887650845000532e-05,2.0581364307971877e-05,2.0303074797326907e-05,2.0007968854314206e-05,1.9780661845628457e-05,1.9498727277833963e-05,1.915025941846367e-05,1.889209788655548e-05,1.8572979336366e-05,1.831760382605278e-05,1.8046228384760156e-05,1.7756572383492502e-05,1.7554844484321663e-05,1.725876689106685e-05,1.7042946310180922e-05,1.686126322513107e-05,1.666729138702342e-05,1.6412642045099545e-05,1.630665229574501e-05,1.6128384108748486e-05,1.5964267576723323e-05,1.5794833789219557e-05,1.5665767376782923e-05,1.5490822878917162e-05,1.533796978456173e-05,1.5216592561283105e-05,1.510501781059347e-05,1.4891351162033703e-05,1.4853002525795472e-05,1.4828850320081162e-05,1.4693081600609567e-05,1.4604997976227342e-05,1.4503969761609335e-05,1.4394869849762337e-05,1.439221960572211e-05,1.421875219646634e-05,1.4326004425002724e-05,1.4201214583101696e-05,1.4031159317526655e-05
300,2.233460365538619e-05,2.2348076393982676e-05,2.2291887597633393e-05,2.23426872132364e-05,2.1485632565808194e-05,2.14389704332913e-05,2.1105581952411982e-05,2.088758072515355e-05,2.067354141021671e-05,2.0372051528683373e-05,2.0095701110933128e-05,1.976692478548777e-05,1.9501561961339233e-05,1.9255697882103673e-05,1.8992322874614937e-05,1.879382977427997e-05,1.8539792621045427e-05,1.8222098722524207e-05,1.7991282360226923e-05,1.7699041549251047e-05,1.7466949746172856e-05,1.72180666224576e-05,1.6952047959894018e-05,1.6769449743308243e-05,1.6494054879300853e-05,1.6296330949804235e-05,1.612892792354624e-05,1.5948602410300148e-05,1.5709621395129432e-05,1.5611658498646924e-05,1.5448203882636948e-05,1.5295733367888842e-05,1.5137117137310798e-05,1.5017998064930438e-05,1.4854245385106993e-05,1.4709506526205959e-05,1.45967794282341e-05,1.4494274742124681e-05,1.4291828399115471e-05,1.425581878289388e-05,1.423438412796098e-05,1.4108183016249157e-05,1.4024738908262779e-05,1.3929077796266186e-05,1.3826657436695546e-05,1.3823301746478223e-05,1.3658805854037795e-05,1.3762232666114614e-05,1.3636503085538668e-05,1.3459959846932338e-05
350,2.0571140887817282e-05,2.064261176670001e-05,2.0655601224400456e-05,2.0749290985742094e-05,2.0070473639841678e-05,2.0099737688645892e-05,1.985014226667836e-05,1.968750470571667e-05,1.9522725585002414e-05,1.9269582972897788e-05,1.903705026460653e-05,1.8750685586392946e-05,1.8520597230733908e-05,1.8302884566352704e-05,1.8067150673007747e-05,1.7893656889623045e-05,1.766404309594501e-05,1.7373478676100162e-05,1.7166573825778152e-05,1.68981162856739e-05,1.668652269920069e-05,1.6457577769509483e-05,1.6212556137080608e-05,1.6046851449591153e-05,1.5790025265721345e-05,1.56084133739461e-05,1.5453755053179254e-05,1.5285733863295592e-05,1.5061014501728889e-05,1.4970211281687999e-05,1.48200277333583e-05,1.4678053607014895e-05,1.4529209511304131e-05,1.4419003377610874e-05,1.4265421956977942e-05,1.4128101770787817e-05,1.4023200120822953e-05,1.3928804524905618e-05,1.3736592906605414e-05,1.3702727142569639e-05,1.368360936485184e-05,1.3566009042967337e-05,1.3486879201949067e-05,1.3396120241843871e-05,1.3299777938149165e-05,1.329577733011572e-05,1.313948692487229e-05,1.3239395691238601e-05,1.311289761284672e-05,1.2931561563256371e-05
400,1.903874343116656e-05,1.9152654345713128e-05,1.9219191497635688e-05,1.9345731222920967e-05,1.881229309582555e-05,1.8902316632980007e-05,1.872191164255907e-05,1.8605352459026733e-05,1.8481892803463007e-05,1.826982033829935e-05,1.807463675530116e-05,1.7824960399231257e-05,1.7625444292134558e-05,1.7432313379953547e-05,1.722079807087039e-05,1.706911310602085e-05,1.6861003761904938e-05,1.659448920704725e-05,1.640860612626561e-05,1.616130907362837e-05,1.5967860036416342e-05,1.57566819207551e-05,1.5530409149078725e-05,1.5379695518186575e-05,1.513961820827313e-05,1.4972417144900672e-05,1.4829184083196518e-05,1.4672302134791332e-05,1.4460610882262266e-05,1.4376224584970136e-05,1.4237973316920133e-05,1.4105497381093046e-05,1.3965519126323779e-05,1.386333278539059e-05,1.3719028002768377e-05,1.3588513296059105e-05,1.3490717388562064e-05,1.340360014892316e-05,1.3220762458738084e-05,1.3188863770083311e-05,1.3171730996373272e-05,1.3061894472080306e-05,1.298678051120925e-05,1.2900516524100562e-05,1.2809723226567246e-05,1.2805138263247395e-05,1.2656375853328607e-05,1.2753034444167016e-05,1.2625930264670399e-05,1.244119570212341e-05
