Production rate of Ti-44 by GCR (all) in meteoroid 10cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,9.03,13.06,17.09,21.12,25.15,29.18,33.21
0,5.644376162399609e-05,5.238309003774025e-05,4.896480735736554e-05,4.87333732305326e-05,4.172729900942526e-05,4.1209255531878194e-05,4.091531633147982e-05,4.0449897831686274e-05,3.967313381683203e-05,3.9057086974155466e-05,3.8766149064207796e-05
50,4.8564820720211564e-05,4.5551680765202265e-05,4.287895650248977e-05,4.2840979359958965e-05,3.69419241174669e-05,3.661848942271383e-05,3.644950703193685e-05,3.6116000115690895e-05,3.549862234285728e-05,3.4989240430052515e-05,3.474354454095122e-05
100,4.260626083086291e-05,4.020469285974397e-05,3.803213824177193e-05,3.8111501088444014e-05,3.304373089855277e-05,3.285308263564441e-05,3.2769147529761876e-05,3.253022692701372e-05,3.203251935067704e-05,3.1605380203153994e-05,3.139569879599224e-05
150,3.7857115269932895e-05,3.587431936285417e-05,3.406619540965681e-05,3.422043076898001e-05,2.980280959421854e-05,2.970622733426867e-05,2.9682189864877372e-05,2.9513323556562365e-05,2.91078505150285e-05,2.8745540672590653e-05,2.856502841418917e-05
200,3.396212958008642e-05,3.228789870053055e-05,3.075774343370379e-05,3.096086737117235e-05,2.7065928102393992e-05,2.7037645827737462e-05,2.705673209871913e-05,2.6940945568559524e-05,2.6607984857366695e-05,2.6297672457170997e-05,2.6141118740953724e-05
250,3.070450672725253e-05,2.9267854253418613e-05,2.795628791495332e-05,2.8191493175400652e-05,2.4725463784122466e-05,2.474761103951516e-05,2.4798185096049675e-05,2.4723300828590723e-05,2.4448250193949343e-05,2.418023860556202e-05,2.404359520757768e-05
300,2.7939258761923728e-05,2.6691107743901504e-05,2.5555320103873186e-05,2.5811319639959585e-05,2.270297246732334e-05,2.276277126671328e-05,2.2836523516993336e-05,2.2793564783811322e-05,2.2565359985352134e-05,2.2332172836476104e-05,2.2212241377642554e-05
350,2.556393850583608e-05,2.4468707778774246e-05,2.347674661975505e-05,2.3745756118827825e-05,2.0939642574137865e-05,2.1027739397738363e-05,2.1118601759254476e-05,2.1100808697490454e-05,2.091090764926838e-05,2.0706683927984905e-05,2.0600901531469878e-05
400,2.3503365541354396e-05,2.2534353071577622e-05,2.1661734769028364e-05,2.193828187040879e-05,1.939038042686196e-05,1.9499800144753932e-05,1.9603262767516637e-05,1.9605456347803085e-05,1.9447160513431884e-05,1.9267240662185632e-05,1.9173528663314254e-05
450,2.170079023418519e-05,2.0837421376900905e-05,2.0064990040301097e-05,2.034517542446134e-05,1.8019966010896646e-05,1.814542861994603e-05,1.8258092307146105e-05,1.8276247663431236e-05,1.814423421279858e-05,1.79848689045306e-05,1.7901523500568714e-05
500,2.0112415181414835e-05,1.9338500368344425e-05,1.8651010827216607e-05,1.8932031515368065e-05,1.6800459516552598e-05,1.6937919072761825e-05,1.705719268901642e-05,1.7088144215558088e-05,1.6978135002025983e-05,1.683627543134637e-05,1.6761887047308105e-05
