Production rate of Ti-44 by GCR (all) in meteoroid 20cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.34,15.68,21.02,26.36,31.7,37.04,42.38,47.72,53.06,58.4,63.74,69.08
0,5.3278729563334096e-05,5.0478422372107464e-05,4.822160303742414e-05,4.7625420396240936e-05,4.156240873985161e-05,4.0919400080950823e-05,4.030274189719653e-05,3.94494205631705e-05,3.910025327165196e-05,3.876926508285776e-05,3.8389668601918704e-05,3.8065281629567454e-05,3.779364337095548e-05,3.726773780606716e-05,3.661596332782874e-05,3.579311010820478e-05
50,4.59623105107364e-05,4.409153508546542e-05,4.241704713001412e-05,4.207910299937311e-05,3.706346006371752e-05,3.6661729653483745e-05,3.625724149342037e-05,3.56144096683523e-05,3.537356840496405e-05,3.5137754220918913e-05,3.484971328513432e-05,3.461256097881531e-05,3.441376313931194e-05,3.396882233742371e-05,3.340854201159575e-05,3.266090350514158e-05
100,4.042191396655284e-05,3.9050516455270565e-05,3.775947734546669e-05,3.759033734182221e-05,3.335265889517502e-05,3.311839241030949e-05,3.2864655890775756e-05,3.237804467353722e-05,3.2216498172953794e-05,3.2051237007669955e-05,3.18319706008204e-05,3.1660011775538774e-05,3.151530162205257e-05,3.1134918450526506e-05,3.06497562453852e-05,2.996679417347874e-05
150,3.5994276570125574e-05,3.4942473921375856e-05,3.39242947402047e-05,3.3870732397244766e-05,3.0234810678480477e-05,3.012044677028426e-05,2.997680299355917e-05,2.9608900633114567e-05,2.9506639388352592e-05,2.9394781463804444e-05,2.9228320009653093e-05,2.9106053360408986e-05,2.9002340979603932e-05,2.8674372634570387e-05,2.8251666510086886e-05,2.7624866366937763e-05
200,3.235184790145559e-05,3.152232799873323e-05,3.070698547818668e-05,3.073476621484022e-05,2.7577430796962526e-05,2.755069347788216e-05,2.7488962681863274e-05,2.721287869991031e-05,2.7155635317152795e-05,2.70848292374465e-05,2.6959593069749154e-05,2.6875767211355348e-05,2.6803617982333188e-05,2.6518818134743037e-05,2.6148582308315574e-05,2.5570955517795415e-05
250,2.9295779328820044e-05,2.8628873573941176e-05,2.796883098760163e-05,2.805482582168391e-05,2.528612739072202e-05,2.5324307252029873e-05,2.532431218724624e-05,2.512023409121168e-05,2.509756862703155e-05,2.505868942928142e-05,2.4966062004325032e-05,2.4912310694582625e-05,2.4864755065641594e-05,2.461592711520072e-05,2.429016123131564e-05,2.375589732253435e-05
300,2.669339353709901e-05,2.614964196024093e-05,2.5611118669805125e-05,2.5739150881362605e-05,2.32912725125438e-05,2.3377955338174078e-05,2.3424889230455083e-05,2.327790062141252e-05,2.3282015471662253e-05,2.326818439189892e-05,2.3201620655689424e-05,2.31716023701792e-05,2.31433894925647e-05,2.2924832977546113e-05,2.2637043143403743e-05,2.2141258366498562e-05
350,2.4451012846724498e-05,2.4002940521440072e-05,2.3561123771890408e-05,2.3719583689375873e-05,2.1540121083526036e-05,2.1663192767777576e-05,2.174597849689353e-05,2.1644650189304928e-05,2.166962337875072e-05,2.1675569032116977e-05,2.1630012912888255e-05,2.161884487677185e-05,2.16059543665879e-05,2.141308794972365e-05,2.1157944351659657e-05,2.069649523835339e-05
400,2.249988075158625e-05,2.212762240538458e-05,2.176381774023255e-05,2.1944206697261444e-05,1.9991857522861824e-05,2.0142228112479655e-05,2.025244945336213e-05,2.0187895493447866e-05,2.022916701345306e-05,2.0250794345824246e-05,2.0222284625556075e-05,2.022615786291538e-05,2.022546958370996e-05,2.005456593782376e-05,1.9827652074854513e-05,1.9396994262921616e-05
