Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 7.92683E-07 7.85272E-13 6.88920E-13 6.48981E-13 4.75705E-13 3.74093E-13 3.24143E-13 1.63326E-13 1.38355E-13 1.20638E-13 8.13766E-14 5.73481E-14 5.15628E-14 4.30047E-14 5.06326E-14 5.79017E-14 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
0.03 4.41936E-07 3.85919E-08 8.50021E-10 7.26425E-10 5.94937E-10 4.78585E-10 4.43943E-10 3.49304E-10 2.74592E-10 2.42705E-10 1.96084E-10 1.88272E-10 1.81221E-10 1.49779E-10 1.54654E-10 1.25781E-10 2.11004E-10 1.12778E-10 1.64082E-10 1.31281E-10 1.01688E-10 9.34615E-11
0.1 3.13231E-07 3.12326E-07 2.72855E-07 2.23943E-07 4.30341E-08 3.59799E-08 3.26233E-08 2.75738E-08 2.38365E-08 2.13519E-08 1.89012E-08 1.71746E-08 1.56226E-08 1.45364E-08 1.39428E-08 1.32322E-08 1.33346E-08 1.19619E-08 1.13756E-08 1.16930E-08 1.04523E-08 1.11999E-08
0.18 3.24001E-07 3.56568E-07 3.68853E-07 3.67936E-07 3.42523E-07 2.98834E-07 2.47995E-07 1.48704E-07 1.30579E-07 1.21753E-07 1.11508E-07 9.93411E-08 9.40714E-08 8.76763E-08 8.37241E-08 8.46765E-08 7.83493E-08 8.07814E-08 7.40775E-08 6.72703E-08 6.78656E-08 8.02199E-08
0.3 4.38370E-07 5.05153E-07 5.34663E-07 5.85373E-07 6.01310E-07 6.20261E-07 6.14172E-07 5.88338E-07 5.39135E-07 5.00347E-07 4.40037E-07 4.03783E-07 3.97335E-07 3.60219E-07 3.41479E-07 3.17377E-07 3.15501E-07 3.27654E-07 2.88401E-07 2.85374E-07 2.65716E-07 2.79355E-07
0.56 5.04749E-06 5.34424E-06 8.33824E-06 7.98427E-06 7.78083E-06 7.66279E-06 7.18589E-06 6.24666E-06 6.96244E-06 4.61911E-06 3.92117E-06 3.49683E-06 3.09061E-06 3.11939E-06 2.51713E-06 2.70317E-06 2.35915E-06 2.38197E-06 2.72989E-06 1.84513E-06 1.71349E-06 1.98853E-06
1.0 3.28045E-05 3.88458E-05 4.71856E-05 5.98872E-05 5.13642E-05 7.41506E-05 5.83226E-05 6.59514E-05 5.98128E-05 6.48396E-05 1.08517E-04 5.85492E-05 5.34870E-05 6.85124E-05 5.52033E-05 5.53100E-05 4.46880E-05 4.85387E-05 1.43337E-04 4.06380E-05 4.37183E-05 3.71254E-05
3.0 1.77300E-04 1.96853E-04 2.21439E-04 2.50089E-04 2.66922E-04 3.52034E-04 3.22603E-04 3.55260E-04 3.97687E-04 4.16184E-04 4.20162E-04 3.96425E-04 4.31888E-04 4.51530E-04 4.05874E-04 3.90104E-04 4.24135E-04 3.77231E-04 3.89120E-04 3.57454E-04 3.29942E-04 6.32786E-04
10.0 6.49543E-04 7.32636E-04 8.74873E-04 9.02265E-04 1.09190E-03 1.26504E-03 1.24397E-03 1.52238E-03 1.51333E-03 1.61606E-03 1.59531E-03 1.61211E-03 1.59059E-03 1.80236E-03 1.71087E-03 1.70655E-03 1.86310E-03 1.67705E-03 1.61948E-03 1.72125E-03 1.75100E-03 1.77842E-03
30.0 1.67200E-03 1.86634E-03 2.09324E-03 2.26807E-03 2.50048E-03 2.84994E-03 3.06924E-03 3.43520E-03 4.09449E-03 3.94123E-03 4.04292E-03 4.06449E-03 4.37845E-03 4.27410E-03 4.34170E-03 4.57869E-03 4.64524E-03 4.84957E-03 4.75096E-03 4.49928E-03 4.79596E-03 4.23122E-03
100.0 4.21694E-03 4.36025E-03 4.83716E-03 5.18230E-03 6.09459E-03 6.40703E-03 6.59220E-03 7.51186E-03 7.36646E-03 8.32245E-03 9.36955E-03 9.43195E-03 9.38200E-03 1.00047E-02 1.05028E-02 1.03028E-02 1.23282E-02 1.13619E-02 1.69793E-02 1.22966E-02 1.69200E-02 1.33621E-02
