Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are alphas.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 1.75478E-04 2.10136E-07 1.82154E-07 1.74951E-07 1.63251E-07 1.62284E-07 1.52676E-07 1.41302E-07 1.26605E-07 1.14482E-07 8.66967E-08 7.39897E-08 6.68523E-08 5.60064E-08 5.26532E-08 4.19270E-08 2.58114E-08 4.12896E-08 2.24021E-08 2.41806E-08 2.68380E-08 1.37109E-08
0.03 1.79295E-04 2.78965E-05 3.13135E-06 3.04492E-06 2.91822E-06 2.90315E-06 2.87431E-06 2.71576E-06 2.55523E-06 2.32040E-06 2.10454E-06 1.93511E-06 1.62404E-06 1.43031E-06 1.28443E-06 1.15015E-06 1.06233E-06 9.79578E-07 8.25725E-07 7.02718E-07 5.68933E-07 6.08247E-07
0.1 3.03010E-04 2.79425E-04 2.32708E-04 1.86577E-04 7.94851E-05 7.99655E-05 8.03094E-05 8.07400E-05 7.92788E-05 7.61113E-05 7.20475E-05 6.71661E-05 6.38726E-05 5.98548E-05 5.48433E-05 5.12648E-05 4.99486E-05 4.61901E-05 4.28528E-05 4.24996E-05 4.07761E-05 6.32934E-05
0.18 3.81506E-04 3.96483E-04 4.01170E-04 4.04480E-04 4.02214E-04 3.89390E-04 3.71766E-04 3.33156E-04 3.35718E-04 3.34308E-04 3.26555E-04 3.08738E-04 3.03698E-04 2.92203E-04 2.84354E-04 2.64320E-04 2.51235E-04 2.49231E-04 2.31575E-04 2.21228E-04 2.33797E-04 2.20868E-04
0.3 2.66572E-04 3.58835E-04 4.87495E-04 5.95165E-04 7.32188E-04 8.24165E-04 8.88565E-04 9.93184E-04 1.05314E-03 1.07119E-03 1.06831E-03 1.04496E-03 1.01597E-03 1.00900E-03 9.64684E-04 9.42417E-04 9.28311E-04 9.89070E-04 9.08062E-04 8.45536E-04 7.97802E-04 8.04138E-04
0.56 5.11330E-04 6.12465E-04 7.68800E-04 8.89013E-04 1.16959E-03 1.42990E-03 1.65301E-03 2.02087E-03 2.32327E-03 2.54529E-03 2.75685E-03 2.93772E-03 3.03381E-03 3.09871E-03 3.10693E-03 3.13621E-03 3.17480E-03 3.22761E-03 3.18445E-03 3.19877E-03 3.03028E-03 3.12864E-03
1.0 8.61830E-04 1.04079E-03 1.28526E-03 1.51801E-03 1.99393E-03 2.43904E-03 2.82797E-03 3.52541E-03 4.11025E-03 4.58814E-03 4.93703E-03 5.22048E-03 5.51382E-03 5.59871E-03 5.76612E-03 5.85645E-03 6.05132E-03 5.98112E-03 5.99567E-03 6.23252E-03 6.08411E-03 6.01778E-03
3.0 1.90105E-03 2.27524E-03 2.84135E-03 3.30912E-03 4.40935E-03 5.36178E-03 6.28582E-03 7.87329E-03 9.29632E-03 1.04810E-02 1.13931E-02 1.22007E-02 1.28571E-02 1.34732E-02 1.39481E-02 1.42495E-02 1.46727E-02 1.48339E-02 1.50978E-02 1.50684E-02 1.49338E-02 1.60216E-02
10.0 4.41832E-03 5.25963E-03 6.54169E-03 7.67509E-03 1.02069E-02 1.25931E-02 1.46986E-02 1.88445E-02 2.20343E-02 2.50550E-02 2.75779E-02 2.97243E-02 3.12631E-02 3.28821E-02 3.41621E-02 3.52562E-02 3.59851E-02 3.62036E-02 3.69606E-02 3.74236E-02 3.80193E-02 3.80021E-02
30.0 8.76495E-03 1.05512E-02 1.30402E-02 1.52486E-02 2.04740E-02 2.51279E-02 2.95382E-02 3.79265E-02 4.51393E-02 5.11351E-02 5.66864E-02 6.07374E-02 6.48856E-02 6.84178E-02 7.13728E-02 7.40169E-02 7.58363E-02 7.75424E-02 7.96972E-02 8.02024E-02 8.13900E-02 7.96813E-02
100.0 1.79959E-02 2.12901E-02 2.65475E-02 3.12288E-02 4.15833E-02 5.12695E-02 6.01756E-02 7.72431E-02 9.12399E-02 1.04622E-01 1.16997E-01 1.27748E-01 1.39056E-01 1.45007E-01 1.52034E-01 1.62309E-01 1.66951E-01 1.71860E-01 1.75973E-01 1.79422E-01 1.86280E-01 1.87545E-01
