Yield function of production of Ti44 by protons, neutrons, alphas, [(Ti44 atoms * cm2) / (g * prim. part. nucleon)] (computed with Geant4.10).
The primaries are protons.
Energy[GeV/nuc],depths[g/cm2]: 1 3 5 10 15 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 186
0.01 1.06251E-04 2.49389E-08 2.28302E-08 2.14232E-08 2.02800E-08 2.17805E-08 1.89630E-08 1.62544E-08 1.45262E-08 1.24414E-08 9.92252E-09 7.59324E-09 5.84814E-09 4.24596E-09 2.73057E-09 2.43997E-09 2.65580E-09 1.49195E-09 7.24732E-10 2.46290E-10 0.00000E+00 0.00000E+00
0.03 1.07935E-04 1.43282E-05 4.36409E-07 4.05702E-07 3.84243E-07 3.64212E-07 3.49661E-07 3.23831E-07 2.82952E-07 2.38906E-07 2.08153E-07 1.75286E-07 1.43479E-07 1.33437E-07 9.56141E-08 8.82566E-08 7.22878E-08 5.90778E-08 4.82301E-08 4.27728E-08 4.25554E-08 2.39584E-08
0.1 1.17933E-04 1.08119E-04 8.52271E-05 6.39000E-05 1.24305E-05 1.20770E-05 1.17718E-05 1.13446E-05 1.06651E-05 9.65083E-06 8.91461E-06 7.81372E-06 7.48005E-06 6.37702E-06 5.76141E-06 5.10417E-06 4.68582E-06 4.13486E-06 3.85998E-06 4.65543E-06 4.24699E-06 3.58705E-06
0.18 2.96069E-05 4.50644E-05 5.68419E-05 6.88829E-05 9.60028E-05 1.00574E-04 8.21429E-05 5.46457E-05 5.39404E-05 5.03255E-05 4.65837E-05 4.37504E-05 4.20414E-05 3.78178E-05 3.52426E-05 3.36817E-05 3.13207E-05 3.02498E-05 2.78783E-05 2.93143E-05 2.68446E-05 2.47452E-05
0.3 5.62005E-05 6.90847E-05 8.51117E-05 1.02559E-04 1.30698E-04 1.49058E-04 1.68278E-04 1.88194E-04 1.98266E-04 2.03128E-04 1.80977E-04 1.63336E-04 1.59186E-04 1.51238E-04 1.45169E-04 1.35997E-04 1.25512E-04 1.24982E-04 1.22533E-04 1.26489E-04 1.14455E-04 1.09711E-04
0.56 1.17061E-04 1.42559E-04 1.76104E-04 2.06799E-04 2.66905E-04 3.22147E-04 3.67140E-04 4.48206E-04 5.04138E-04 5.45580E-04 5.73552E-04 5.88685E-04 5.91981E-04 6.06757E-04 6.03303E-04 6.04037E-04 5.82435E-04 5.84477E-04 5.86539E-04 5.81115E-04 5.67559E-04 5.85248E-04
1.0 2.09367E-04 2.51105E-04 3.18600E-04 3.65783E-04 4.81178E-04 5.82193E-04 6.74581E-04 8.21081E-04 9.56196E-04 1.04672E-03 1.10803E-03 1.17484E-03 1.25292E-03 1.25813E-03 1.28193E-03 1.28311E-03 1.28962E-03 1.28736E-03 1.33914E-03 1.33517E-03 1.30387E-03 1.31326E-03
3.0 4.62583E-04 5.52792E-04 6.82041E-04 8.03633E-04 1.06424E-03 1.30549E-03 1.51358E-03 1.90867E-03 2.23174E-03 2.51019E-03 2.73319E-03 2.91485E-03 3.12764E-03 3.20463E-03 3.31662E-03 3.42397E-03 3.47948E-03 3.58719E-03 3.66966E-03 3.75987E-03 3.52236E-03 3.55251E-03
10.0 1.15210E-03 1.37867E-03 1.72489E-03 2.00631E-03 2.67495E-03 3.25525E-03 3.78996E-03 4.75685E-03 5.55247E-03 6.31531E-03 6.86401E-03 7.32234E-03 7.66110E-03 7.98847E-03 8.23662E-03 8.53056E-03 8.62843E-03 8.65004E-03 8.94840E-03 9.02514E-03 8.89710E-03 8.82815E-03
30.0 2.07709E-03 2.50268E-03 3.10799E-03 3.65823E-03 4.81255E-03 5.94438E-03 7.02566E-03 8.93923E-03 1.05767E-02 1.20662E-02 1.32351E-02 1.42418E-02 1.52168E-02 1.59402E-02 1.67465E-02 1.71054E-02 1.76240E-02 1.79273E-02 1.82666E-02 1.84689E-02 1.89903E-02 1.93383E-02
100.0 4.43511E-03 5.25362E-03 6.59645E-03 7.65336E-03 1.03595E-02 1.27642E-02 1.51222E-02 1.90681E-02 2.28658E-02 2.58901E-02 2.89016E-02 3.17385E-02 3.34848E-02 3.55560E-02 3.74186E-02 3.93073E-02 4.02417E-02 4.10419E-02 4.31986E-02 4.43398E-02 4.45535E-02 4.39349E-02
