Production rate of Ti-44 by GCR (all) in meteoroid 120cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,15.03,25.06,35.09,45.12,55.15,65.18,75.21,85.24,95.27,105.3,115.33,125.36,135.39,145.42,155.45,165.48,175.51,185.54,195.57,205.6,215.63,225.66,235.69,245.72,255.75,265.78,275.81,285.84,295.87,305.9,315.93,325.96,335.99,346.02,356.05,366.08,376.11,386.14,396.17,406.2,416.23,426.26,436.29
0,5.18163966017954e-05,4.94824425736027e-05,4.763039201135139e-05,4.650990305387851e-05,4.098344886423434e-05,3.830219423989894e-05,3.6385756120837964e-05,3.4754267106659815e-05,3.3143892623715195e-05,3.1677783991852295e-05,3.0572673161486e-05,2.9426114502451173e-05,2.8363232517193887e-05,2.7327748407086627e-05,2.6354377656722472e-05,2.539544664810273e-05,2.4556751558125182e-05,2.3661353236098953e-05,2.2962137794305857e-05,2.2190343607300757e-05,2.1498295470203083e-05,2.089724540016069e-05,2.0350845883090538e-05,1.9703066892996294e-05,1.9221446788355558e-05,1.8668631486646352e-05,1.81614818376667e-05,1.7803277270904193e-05,1.7289086785269655e-05,1.694199384763563e-05,1.6491827409729343e-05,1.6220442783937605e-05,1.58424748816664e-05,1.5513073786852752e-05,1.539691039548679e-05,1.5109003383187475e-05,1.4844047081815828e-05,1.4656178279658804e-05,1.4487205008154047e-05,1.4354344688262052e-05,1.409462703517049e-05,1.4018384028342187e-05,1.3901992462673778e-05,1.426120998217189e-05,1.0424884052461725e-05,1.395644598546541e-05,1.3921992672976883e-05
50,4.4559158764414794e-05,4.325845887622039e-05,4.203269658636833e-05,4.127531603242133e-05,3.705938911168714e-05,3.499691178536469e-05,3.346193137220692e-05,3.212421949967987e-05,3.076696395199722e-05,2.9501972398851518e-05,2.8536205024299376e-05,2.7524951215348543e-05,2.6585232702628804e-05,2.5661034371551026e-05,2.4789972350179116e-05,2.3926981998952736e-05,2.3168542096457695e-05,2.2354860308302126e-05,2.17204900375585e-05,2.1013871663281915e-05,2.0376111364964145e-05,1.9819310669329256e-05,1.9317272152357113e-05,1.8716525868606745e-05,1.8270493644794895e-05,1.7758016798154632e-05,1.728605821514741e-05,1.6953903574350648e-05,1.6476669042454267e-05,1.6154078136704167e-05,1.573461353954483e-05,1.548293944952066e-05,1.5130169091476605e-05,1.4822553915936364e-05,1.471777168973959e-05,1.4447801679507967e-05,1.4198151593834808e-05,1.4022406775343009e-05,1.3862887158270722e-05,1.3745548270006142e-05,1.3494003537740986e-05,1.34218120455541e-05,1.3317979534518328e-05,1.3653005048133596e-05,9.878828100046173e-06,1.3375493434058949e-05,1.3338117252106895e-05
100,3.916434666504282e-05,3.839174118726744e-05,3.7567662654940416e-05,3.705763061188019e-05,3.378611764573271e-05,3.2189877771082314e-05,3.0951645480660386e-05,2.9845862022207928e-05,2.8692421871698148e-05,2.75937549040803e-05,2.674427102741765e-05,2.5846715441322697e-05,2.5010641687165554e-05,2.4180621124774195e-05,2.3396409584451144e-05,2.2615296600033284e-05,2.19256440997887e-05,2.1182409824691654e-05,2.060413414945238e-05,1.9954393152447537e-05,1.9364340344306675e-05,1.884656670068148e-05,1.8383421604895577e-05,1.7824391798805636e-05,1.7409687275394475e-05,1.6932938273435933e-05,1.649216288718716e-05,1.6182901882791466e-05,1.5738578588029684e-05,1.543762539647212e-05,1.5045536409780903e-05,1.4811321010371882e-05,1.4481003326457717e-05,1.4192759281146836e-05,1.4097975102002307e-05,1.3843924957599872e-05,1.3608022776980826e-05,1.3443094624948192e-05,1.3291958134635707e-05,1.3188382142784569e-05,1.2944363461077817e-05,1.2876000372646828e-05,1.278324125652417e-05,1.3095993395755662e-05,9.380630723712518e-06,1.2842365259296696e-05,1.2803206895238486e-05
150,3.4902371756418684e-05,3.445118096950391e-05,3.3905722909249364e-05,3.357234748088194e-05,3.1008795764385754e-05,2.9772822261062663e-05,2.877009863554923e-05,2.7850886083224317e-05,2.6864273635426813e-05,2.5904853928259017e-05,2.515357045495694e-05,2.4352641700790598e-05,2.3604773316184532e-05,2.2855342923731e-05,2.2145672873898505e-05,2.1435178235966612e-05,2.080509107789289e-05,2.012317205146247e-05,1.9593865699650204e-05,1.8994168910738174e-05,1.8446356235290384e-05,1.7963267606124706e-05,1.7534481796565533e-05,1.701271023373476e-05,1.6625792697386523e-05,1.6180910829501107e-05,1.5767967052234423e-05,1.547898381681039e-05,1.5064149639609765e-05,1.478245096836676e-05,1.4414918775747883e-05,1.4196277013313097e-05,1.3886096202058847e-05,1.3615204686868598e-05,1.3529257991942668e-05,1.3289453383653946e-05,1.3065980787234908e-05,1.2910762832169992e-05,1.2767115398129008e-05,1.2675808269477786e-05,1.2438750613379858e-05,1.2374022071134837e-05,1.2291086246371103e-05,1.2583299760041338e-05,8.92384629501163e-06,1.2350730140094224e-05,1.2310651028561595e-05
200,3.142526241489728e-05,3.1186105908238365e-05,3.0842240507537965e-05,3.063893829802712e-05,2.8620585470551672e-05,2.766823254288287e-05,2.6855349124531964e-05,2.6088453878397745e-05,2.524019507987557e-05,2.439854609934896e-05,2.3731021422970508e-05,2.301299366442692e-05,2.234090344025346e-05,2.166108359128186e-05,2.1015982482093465e-05,2.0366938675402958e-05,1.978887709260871e-05,1.9160756233537986e-05,1.8674527422908415e-05,1.811917027701154e-05,1.76089948936364e-05,1.7156932142319305e-05,1.6758697090646292e-05,1.6270397952022702e-05,1.5908286265290475e-05,1.5491998125531633e-05,1.5104047488352109e-05,1.4833146173821696e-05,1.4444873508671072e-05,1.41804198604365e-05,1.3835031227854265e-05,1.3630365568570004e-05,1.3338345316459651e-05,1.3083095213767504e-05,1.3005001880571614e-05,1.2778032175840341e-05,1.2565860145998214e-05,1.2419406410558142e-05,1.2282490884424389e-05,1.220217062546339e-05,1.197157988015118e-05,1.1910308115024911e-05,1.1836134209238405e-05,1.21093767653155e-05,8.503268507219442e-06,1.1895471867281997e-05,1.1855130009226476e-05
250,2.8526499770060633e-05,2.8433910243329797e-05,2.8239922942276243e-05,2.8134462316290982e-05,2.654442672993986e-05,2.5818610992648527e-05,2.516068985392251e-05,2.45196522707507e-05,2.378738247077083e-05,2.304620705193176e-05,2.2450735048409513e-05,2.180441392298833e-05,2.119795606728248e-05,2.0578748274135964e-05,1.999002160024688e-05,1.939486066522035e-05,1.8862576766509942e-05,1.8281987373709957e-05,1.7833903309668138e-05,1.731806988474317e-05,1.6841615594963927e-05,1.641746145703482e-05,1.6046544614793386e-05,1.5588470482444477e-05,1.5248628069086658e-05,1.4858130031836551e-05,1.4492743764283373e-05,1.4238061672280162e-05,1.3873823285339649e-05,1.3624901832066785e-05,1.3299573134724148e-05,1.310751602684463e-05,1.2831953816809572e-05,1.2590878348323595e-05,1.2519796713178849e-05,1.2304459146873819e-05,1.2102611031786253e-05,1.1964105752849841e-05,1.1833274187836522e-05,1.1762831591309076e-05,1.1538273841876425e-05,1.1480291642116624e-05,1.1413971253063141e-05,1.1669660838777901e-05,8.114611463655527e-06,1.1472373889904495e-05,1.1432275238400873e-05
300,2.6070560369861657e-05,2.6082351229167243e-05,2.600191294757646e-05,2.5971201388396295e-05,2.4722912513126657e-05,2.4180147475093385e-05,2.365003869912901e-05,2.3114044701581117e-05,2.247990947479067e-05,2.1825097129681937e-05,2.1292069496044186e-05,2.0708214802009918e-05,2.01590062942814e-05,1.9592947170695962e-05,1.905378087595222e-05,1.8506182482483533e-05,1.8014439891380396e-05,1.7476101415919835e-05,1.7061988915355754e-05,1.6581574927557787e-05,1.613548011300693e-05,1.5736554691627814e-05,1.5390188076910108e-05,1.4959529670520621e-05,1.4639778928800703e-05,1.4272649198706184e-05,1.3927730956175783e-05,1.3687673799586568e-05,1.3345271390158087e-05,1.3110408809290092e-05,1.2803327793649269e-05,1.2622698540264246e-05,1.2362115960841618e-05,1.2133946048109515e-05,1.206915102990549e-05,1.1864409773455524e-05,1.1672033528751713e-05,1.1540767935346636e-05,1.1415461098263844e-05,1.1353929617410554e-05,1.1135021822455177e-05,1.108017014472739e-05,1.1020920173031424e-05,1.126034139020174e-05,7.754295005432206e-06,1.1077908772551585e-05,1.1038443444181887e-05
350,2.3963002131075434e-05,2.405060288804543e-05,2.4057354090859353e-05,2.4084403756551693e-05,2.3112191957654035e-05,2.271874194508585e-05,2.2294976341548123e-05,2.1847404522864932e-05,2.129695509315122e-05,2.0716868315615654e-05,2.0238313191280722e-05,1.9709218301877315e-05,1.9210260736409145e-05,1.869109603624584e-05,1.819576563892303e-05,1.769039846821461e-05,1.723476554233545e-05,1.6734187155695976e-05,1.635048393479918e-05,1.590196289355545e-05,1.548331991951939e-05,1.5107301216171885e-05,1.4783096444178063e-05,1.437740570690747e-05,1.4075862753480297e-05,1.372999391588526e-05,1.340372062661695e-05,1.317691315647914e-05,1.2854421893091264e-05,1.2632340873139194e-05,1.2341921132015023e-05,1.217169279922691e-05,1.1924797104225622e-05,1.17084259738715e-05,1.1649288936171297e-05,1.1454244256399717e-05,1.1270591086544337e-05,1.1145945272351812e-05,1.1025676998367158e-05,1.0972209178524656e-05,1.0758611346244737e-05,1.0706738286519412e-05,1.0653879248985649e-05,1.0878198017562047e-05,7.419292862264751e-06,1.070908991493657e-05,1.067055848121105e-05
400,2.2135250850655268e-05,2.2278605150146206e-05,2.235294628792462e-05,2.2424997182718374e-05,2.1678084938851578e-05,2.1407383064539412e-05,2.1072757053592223e-05,2.0700163945938187e-05,2.0221571318885066e-05,1.9706520408553738e-05,1.9275761045447135e-05,1.879493979612615e-05,1.8340337626624098e-05,1.786277885797984e-05,1.7406431967686334e-05,1.6938759526602747e-05,1.6515453553034106e-05,1.604878505592106e-05,1.5692426453116318e-05,1.527274646922861e-05,1.4879023532919507e-05,1.452388579881907e-05,1.4219768066005142e-05,1.3836898016401003e-05,1.3551921980746797e-05,1.3225468289766176e-05,1.2916244010671887e-05,1.2701491676728983e-05,1.2397216366331681e-05,1.2186801861339079e-05,1.1911646693749325e-05,1.1750920249434724e-05,1.1516574094053957e-05,1.131102984295343e-05,1.1257002665619227e-05,1.1070867185757308e-05,1.0895274797197377e-05,1.0776703360159027e-05,1.0661048331734499e-05,1.061489708052047e-05,1.0406305787145403e-05,1.035726613944999e-05,1.0310204967725477e-05,1.0520481577691908e-05,7.107021459254228e-06,1.0363363218535839e-05,1.0325996238974227e-05
