Production rate of Ti-44 by GCR (all) in meteoroid 40cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.14,15.28,20.42,25.56,30.7,35.84,40.98,46.12,51.26,56.4,61.54,66.68,71.82,76.96,82.1,87.24,92.38,97.52,102.66,107.8,112.94,118.08,123.22,128.36,133.5,138.64,143.78
0,6.380380751819745e-05,6.119419318618936e-05,5.904560109303628e-05,5.819857794926866e-05,5.34653818092496e-05,5.247182810663287e-05,5.151865719404997e-05,5.043826198804904e-05,4.9855649506464484e-05,4.941196096758037e-05,4.887465270430389e-05,4.8269130053966004e-05,4.7754309894095266e-05,4.724823002439717e-05,4.6820335572360226e-05,4.638932610746108e-05,4.613758329729999e-05,4.60522033263472e-05,4.584072751193921e-05,4.564475376757786e-05,4.539204768972664e-05,4.505103076966752e-05,4.500401255071693e-05,4.482205797374295e-05,4.44046107328379e-05,4.438933928658186e-05,4.4321273988452225e-05,4.378722236002562e-05,4.386046089043506e-05,4.335125022213674e-05,4.19485752303625e-05
50,5.54036142921862e-05,5.385373674559186e-05,5.2372614206363754e-05,5.1878436326859606e-05,4.815315216098477e-05,4.751966791018131e-05,4.686841617914331e-05,4.606712273535894e-05,4.566228579407081e-05,4.5361911291720865e-05,4.49553128771873e-05,4.448610111998094e-05,4.4085218362925014e-05,4.3688119137892625e-05,4.3344734813278744e-05,4.299281843640253e-05,4.279316798868183e-05,4.27397316372989e-05,4.2574386983751666e-05,4.241470770788739e-05,4.2213766783753324e-05,4.191228726284932e-05,4.187963990915718e-05,4.173782364575063e-05,4.136923200265402e-05,4.1367932223058695e-05,4.131806288179728e-05,4.083123856737337e-05,4.0900812994631866e-05,4.043499404008569e-05,3.9136614103393035e-05
100,4.905879151263074e-05,4.8054463601535116e-05,4.700482500949804e-05,4.674566955946359e-05,4.3746016804626624e-05,4.336966179241389e-05,4.2938211851202184e-05,4.234696176059913e-05,4.2075664461933927e-05,4.188331400715516e-05,4.15768221466115e-05,4.1213236843594575e-05,4.090074663703007e-05,4.059012248738841e-05,4.031461020424138e-05,4.0026767217069754e-05,3.986918700470353e-05,3.984052646498082e-05,3.971237314925607e-05,3.95822008049977e-05,3.9423123848748624e-05,3.915458441082438e-05,3.9132770279222694e-05,3.902339973312195e-05,3.869593146332477e-05,3.870518931531901e-05,3.8669923141519775e-05,3.8222868088811725e-05,3.828904260324296e-05,3.7860379286966194e-05,3.665374626257849e-05
150,4.398960953649527e-05,4.332040501074501e-05,4.257213680555069e-05,4.247681637518786e-05,4.002243446668062e-05,3.983518447833258e-05,3.9568122036721235e-05,3.913845557156153e-05,3.896945152558117e-05,3.8860033049907135e-05,3.863175188656041e-05,3.835155121473028e-05,3.810887722241672e-05,3.7867900279008835e-05,3.764757756844969e-05,3.741223792599108e-05,3.728902357927038e-05,3.727979424016329e-05,3.718195773589776e-05,3.707605260197039e-05,3.695120698268238e-05,3.6710515159542696e-05,3.6696896451025935e-05,3.661407659048694e-05,3.632159895958878e-05,3.6338909671373916e-05,3.6315507832970514e-05,3.5902349412342114e-05,3.596539720060753e-05,3.556891613830157e-05,3.44434912643351e-05
200,3.9816177455975044e-05,3.9370684330529714e-05,3.884204647961622e-05,3.8864188864917614e-05,3.683171189862261e-05,3.678633884188839e-05,3.66445692411133e-05,3.634126914879373e-05,3.625177301003868e-05,3.620688947617464e-05,3.604065545033713e-05,3.582723580041109e-05,3.564048734355533e-05,3.545626192904474e-05,3.528127031373179e-05,3.508935968739121e-05,3.49944802090972e-05,3.5000622522303275e-05,3.492772098403981e-05,3.484196576985274e-05,3.474536433047781e-05,3.4528505504033535e-05,3.452108760281759e-05,3.446021521312981e-05,3.419778820581703e-05,3.4221271770036485e-05,3.420760758214076e-05,3.382364296514647e-05,3.388382719316144e-05,3.3515487429201344e-05,3.246234324501725e-05
250,3.630974522203428e-05,3.602118564807371e-05,3.565714443909657e-05,3.576505044584901e-05,3.4066214957030713e-05,3.412877725347082e-05,3.408383153040834e-05,3.388062354548214e-05,3.385361113162846e-05,3.385945519472081e-05,3.374304620189205e-05,3.358372903623135e-05,3.3442291339771816e-05,3.330474523658133e-05,3.316729995724271e-05,3.301159733586887e-05,3.294026186654232e-05,3.2958645546348085e-05,3.290640421249814e-05,3.283751658222171e-05,3.2764395317198e-05,3.256814903670738e-05,3.256540691631752e-05,3.252283141849148e-05,3.228642253847292e-05,3.231464341324121e-05,3.230903973071793e-05,3.19504504139979e-05,3.200801570912809e-05,3.166448356257012e-05,3.067600353723809e-05
300,3.3318516431393914e-05,3.314374612621989e-05,3.290554045845949e-05,3.3076785318857286e-05,3.164633697048674e-05,3.179180416853702e-05,3.182244641519117e-05,3.169931947130371e-05,3.172182322206842e-05,3.1767838426654576e-05,3.169183336178119e-05,3.157675995683216e-05,3.14723780495396e-05,3.137352258911114e-05,3.126739554724197e-05,3.114208453684448e-05,3.109044032905072e-05,3.1118620927490884e-05,3.108360296652805e-05,3.102893424388504e-05,3.09754564464125e-05,3.0797200675039496e-05,3.079795807546308e-05,3.0770746183923066e-05,3.055702539525937e-05,3.0588872567556464e-05,3.058998895230269e-05,3.0253637773353748e-05,3.0308807052248248e-05,2.998729701998825e-05,2.9056941491414172e-05
350,3.0735728565975206e-05,3.064541424545138e-05,3.050484588245549e-05,3.072315147269186e-05,2.9511610306895993e-05,2.97211484653297e-05,2.9811234123375034e-05,2.9752689764648734e-05,2.9814675298294497e-05,2.9892667950480196e-05,2.9849689004972036e-05,2.9771077595335448e-05,2.9697237470184545e-05,2.9630655279159445e-05,2.9550808101375716e-05,2.9451154797430733e-05,2.9416070808196885e-05,2.9452118722931228e-05,2.9431532199839133e-05,2.9388922594237637e-05,2.9351966184306068e-05,2.9189538324733275e-05,2.9192881712198937e-05,2.917864970948846e-05,2.8984838872338143e-05,2.9019443175251723e-05,2.90261956698802e-05,2.8709478656888572e-05,2.8762452724637008e-05,2.8460611851091434e-05,2.7582732699457667e-05
400,2.848324193881312e-05,2.8456684549511823e-05,2.8392727535468256e-05,2.8646038126695712e-05,2.7615116085541535e-05,2.787432328010393e-05,2.801138742761485e-05,2.800525388799264e-05,2.8098854067622107e-05,2.8202384186203465e-05,2.81865763638495e-05,2.813820654640521e-05,2.8089704103795574e-05,2.805018410354545e-05,2.7992501551503263e-05,2.7914618141680966e-05,2.7893526517175784e-05,2.7935904265885142e-05,2.7927460650408462e-05,2.7895132868919192e-05,2.787213425436962e-05,2.77237301829581e-05,2.7728946310548134e-05,2.7725737852565474e-05,2.7549498151366996e-05,2.758617366340524e-05,2.759767657894135e-05,2.7298412548399883e-05,2.734937109316193e-05,2.706519296598313e-05,2.6234885298759316e-05
