Production rate of Ti-44 by GCR (all) in meteoroid 70cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.09,19.18,26.27,33.36,40.45,47.54,54.63,61.72,68.81,75.9,82.99,90.08,97.17,104.26,111.35,118.44,125.53,132.62,139.71,146.8,153.89,160.98,168.07,175.16,182.25,189.34,196.43,203.52,210.61,217.7,224.79,231.88,238.97,246.06,253.15
0,5.7831774373834156e-05,5.551193853500538e-05,5.3464299588756636e-05,5.253675529886584e-05,4.7624311631428206e-05,4.603436179328939e-05,4.4363288070179285e-05,4.33038360170287e-05,4.225868014786015e-05,4.125310994398152e-05,4.0325463444118596e-05,3.946490438823013e-05,3.862544399080948e-05,3.81257268755352e-05,3.744164488990817e-05,3.69441914069453e-05,3.642511565882158e-05,3.5866454010673415e-05,3.531777533465607e-05,3.482282500984873e-05,3.428633386391315e-05,3.3912067969268184e-05,3.3531171731088444e-05,3.3117885950778595e-05,3.2708266622556646e-05,3.243391694526976e-05,3.215004863613861e-05,3.1849485171126025e-05,3.168157659010708e-05,3.144424645137238e-05,3.1290691234965554e-05,3.11291794554469e-05,3.090571526838513e-05,3.107826720367428e-05,3.068714454030282e-05,2.952189593071022e-05,3.0307928449967515e-05,3.0398748537358476e-05,3.173793849396702e-05
50,5.006765695113686e-05,4.877960315588819e-05,4.739330194969616e-05,4.681488913040708e-05,4.302620445449248e-05,4.18981339843839e-05,4.06295747105839e-05,3.9820357436583405e-05,3.899673967642286e-05,3.81840182743416e-05,3.742702245158934e-05,3.670459714439146e-05,3.5985820331364485e-05,3.556635810258239e-05,3.4976272477171155e-05,3.45510950234404e-05,3.41048481082314e-05,3.3620997608179394e-05,3.3139894098069056e-05,3.270654640380146e-05,3.223194359782383e-05,3.190922955391733e-05,3.157500400620893e-05,3.12075607853792e-05,3.0836532942150766e-05,3.0598035062352396e-05,3.0342242975958013e-05,3.0071322713902016e-05,2.9923135510788793e-05,2.9699733216469624e-05,2.9573278388088823e-05,2.941027381006464e-05,2.921590116732073e-05,2.9373411239703147e-05,2.901682889874207e-05,2.78679694044991e-05,2.8660206809724755e-05,2.8766489940089003e-05,3.0027823941977928e-05
100,4.424712158373547e-05,4.3483422737066764e-05,4.2524215066214364e-05,4.218077786320483e-05,3.920025606678275e-05,3.840984160905842e-05,3.744606117077501e-05,3.6829137518369856e-05,3.617810805653016e-05,3.5517143131074056e-05,3.489610580409135e-05,3.428645547139366e-05,3.3667368790912666e-05,3.3313853264801084e-05,3.280197695171306e-05,3.2436416064474675e-05,3.205069758010634e-05,3.162916894847454e-05,3.120478489364415e-05,3.082291539192468e-05,3.0400497512130153e-05,3.0120830143186258e-05,2.9825845786724653e-05,2.9497467292105197e-05,2.915951245879365e-05,2.8951228985156535e-05,2.871988811348003e-05,2.847487866333082e-05,2.834351963280391e-05,2.8132612437932136e-05,2.802897908222476e-05,2.786565953199896e-05,2.769587071757665e-05,2.7840696001234766e-05,2.7514100718674843e-05,2.6380374215880974e-05,2.717804400510471e-05,2.7297007989239376e-05,2.849041840826972e-05
150,3.962003072185933e-05,3.917371182646981e-05,3.851241413095925e-05,3.8334639319802924e-05,3.59596114062066e-05,3.5423279395257685e-05,3.4695478639184106e-05,3.4229252694943014e-05,3.3715208173092715e-05,3.3175863775865755e-05,3.266489837179477e-05,3.214852157026787e-05,3.161274290823271e-05,3.131407320780336e-05,3.086800219561515e-05,3.055221588154405e-05,3.021737653161461e-05,2.984835496768581e-05,2.9472120430265022e-05,2.9133777816397926e-05,2.875585812423722e-05,2.8512526523077417e-05,2.8250895196986826e-05,2.7956149479395117e-05,2.7646840257964654e-05,2.74642427249874e-05,2.7254377117809125e-05,2.703215598571442e-05,2.691528874844265e-05,2.6715684066812877e-05,2.6631387829922416e-05,2.6468668368081852e-05,2.631982010778242e-05,2.645386700516514e-05,2.615347829924726e-05,2.503385310207444e-05,2.583616878866569e-05,2.596559280332376e-05,2.709904314998202e-05
200,3.5825182368812715e-05,3.558715397676158e-05,3.514256413149942e-05,3.508504677646247e-05,3.3176510806475726e-05,3.2835317555994975e-05,3.229332443051545e-05,3.194699824854549e-05,3.1543267111457985e-05,3.1102805508027726e-05,3.068209722259173e-05,3.0243687465849094e-05,2.9778205803666066e-05,2.9525607778645597e-05,2.9135426555224842e-05,2.8861621640410633e-05,2.8569956913052923e-05,2.8245595216614662e-05,2.791062693453314e-05,2.7609451603976873e-05,2.7269833429963226e-05,2.705745279205148e-05,2.6824428949738555e-05,2.6558888307998396e-05,2.627461071813334e-05,2.6114012437379205e-05,2.5923140480411065e-05,2.5721068719822404e-05,2.5616776560934375e-05,2.5427462654814852e-05,2.5359637331421368e-05,2.519822392655636e-05,2.506733317127793e-05,2.5192157218266867e-05,2.4914807183880275e-05,2.3808420573873365e-05,2.4614618621634663e-05,2.4752700403916566e-05,2.5832705189157505e-05
250,3.264679328570614e-05,3.2552052628048786e-05,3.226947304797696e-05,3.2300986491654795e-05,3.07593687359903e-05,3.057033122169728e-05,3.0176578426555186e-05,2.992680195963687e-05,2.9612945805539384e-05,2.925382901346306e-05,2.8907907301920497e-05,2.8535253472452748e-05,2.8129585321537855e-05,2.7916018386216915e-05,2.757368824369231e-05,2.733560072744066e-05,2.708087005009745e-05,2.6794804712205994e-05,2.6495494941983244e-05,2.6226324511915172e-05,2.591994050376924e-05,2.5734130343381624e-05,2.5525836588947836e-05,2.5285842310471293e-05,2.502360457378121e-05,2.4881970599864218e-05,2.470799706636486e-05,2.452382603106025e-05,2.4430516617931446e-05,2.425062261792386e-05,2.4196890168181066e-05,2.403732310262702e-05,2.39219222766727e-05,2.4038802095083812e-05,2.378181570230464e-05,2.2687935474711852e-05,2.349729389913647e-05,2.364255203661023e-05,2.4674526546310596e-05
300,2.9942532003201755e-05,2.994938072605121e-05,2.9790276508452383e-05,2.9888587357895037e-05,2.864026029860773e-05,2.8571234247729922e-05,2.8297002542787504e-05,2.8125733682206134e-05,2.788580385843696e-05,2.7594261799530494e-05,2.7310852669325765e-05,2.6994080865491725e-05,2.6639676032434182e-05,2.645941852867199e-05,2.615834440097115e-05,2.5950875337385038e-05,2.572796259167702e-05,2.5474971049908624e-05,2.520669572951432e-05,2.496528724456894e-05,2.4687943311890317e-05,2.4525098573706462e-05,2.433833000886098e-05,2.4120824109730184e-05,2.3878120107343668e-05,2.375292816383219e-05,2.3594065864454574e-05,2.3425866020090486e-05,2.334220260608412e-05,2.3170970191019384e-05,2.312934287080359e-05,2.2972031198785647e-05,2.287006160920581e-05,2.2980055066449034e-05,2.2741158168485387e-05,2.1659154998146185e-05,2.2471001731928042e-05,2.2622205945172572e-05,2.3610712060674576e-05
350,2.761278343194895e-05,2.7693106734016957e-05,2.762944311736384e-05,2.77783016963377e-05,2.67674753994527e-05,2.6793939624211035e-05,2.6616900291580175e-05,2.6509979041777286e-05,2.633134284116781e-05,2.6096402969040103e-05,2.586563749507315e-05,2.5596671818967214e-05,2.5286483487802662e-05,2.5134834656737897e-05,2.486955014689143e-05,2.4688503463249963e-05,2.4493170673407093e-05,2.426892214000074e-05,2.402782830452358e-05,2.3810657049191074e-05,2.3558845658026858e-05,2.3415969608284293e-05,2.3248050641384283e-05,2.3050452124163593e-05,2.282516118385834e-05,2.27142976282426e-05,2.2569008875209422e-05,2.241511427869492e-05,2.2339964630575112e-05,2.2176727226107166e-05,2.2145532616225225e-05,2.199078138676236e-05,2.190051274359158e-05,2.2004500265291535e-05,2.1781747670810013e-05,2.0711074713179805e-05,2.152479024313141e-05,2.168091008641104e-05,2.2629834626412033e-05
400,2.5584942482437137e-05,2.571908831741795e-05,2.572996556580879e-05,2.591725009682399e-05,2.510081445221276e-05,2.5203758633716918e-05,2.5106305846603204e-05,2.5052472283685545e-05,2.4924996614682945e-05,2.473780535240915e-05,2.4551657642820344e-05,2.4323827144591885e-05,2.405199406792674e-05,2.3925054990324793e-05,2.3690988397164446e-05,2.3532877912978514e-05,2.3361582588636596e-05,2.316245303306874e-05,2.2945300657847886e-05,2.2749411144226522e-05,2.252017218731178e-05,2.2394751821353477e-05,2.2243429135208634e-05,2.2063540958560887e-05,2.1853852664281665e-05,2.1755533266350976e-05,2.1622485139206315e-05,2.1481449461358553e-05,2.1413847115046526e-05,2.1258014171593453e-05,2.1235836927539237e-05,2.1083868689553658e-05,2.1003837207676952e-05,2.1102555569970155e-05,2.0894274091413815e-05,1.9834451595060528e-05,2.0649468417067306e-05,2.08096346232611e-05,2.1722321988956825e-05
