Production rate of Ti-44 by GCR (all) in meteoroid 30cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.08,15.16,20.24,25.32,30.4,35.48,40.56,45.64,50.72,55.8,60.88,65.96,71.04,76.12,81.2,86.28,91.36,96.44,101.52,106.6
850,1.685420282907332e-05,1.694175823924462e-05,1.7047825677746014e-05,1.737650544930425e-05,1.6897746707646363e-05,1.7303903738290373e-05,1.756242419252539e-05,1.7768398284459456e-05,1.7990473755479822e-05,1.8177262628670255e-05,1.8280124970869822e-05,1.8436695960592803e-05,1.8497026672618252e-05,1.8559867012472863e-05,1.8624982189800456e-05,1.860998308420438e-05,1.8627485713010607e-05,1.87521282257783e-05,1.8820073936671387e-05,1.8786109012448936e-05,1.8851039525239557e-05,1.886653325063248e-05,1.8637545509885088e-05,1.8296907826922078e-05
900,1.6022332879299534e-05,1.6117757040101673e-05,1.623575528506596e-05,1.6561879211663136e-05,1.61306164723111e-05,1.6536137464980228e-05,1.679784380554132e-05,1.7008354879002294e-05,1.723145960376747e-05,1.7418679492546022e-05,1.752465866909491e-05,1.768201043679381e-05,1.774568884601331e-05,1.7812070060161457e-05,1.7881035366336216e-05,1.787130960689623e-05,1.789003028623763e-05,1.8013081838068208e-05,1.808017604421841e-05,1.8050449424456717e-05,1.81095616848089e-05,1.8128656678087443e-05,1.79116401261941e-05,1.759046467219458e-05
950,1.5256351646402883e-05,1.5358086793944662e-05,1.5485891912604088e-05,1.580874418573688e-05,1.5419654294849108e-05,1.5823435637437688e-05,1.608713892186995e-05,1.6300976564492527e-05,1.6524332840911055e-05,1.6711448143595278e-05,1.6819881482261298e-05,1.697748598779694e-05,1.704392418810966e-05,1.711323856159219e-05,1.7185447717182222e-05,1.7180397498198353e-05,1.7200128233152447e-05,1.7321502361505397e-05,1.738770391820515e-05,1.7361800639355675e-05,1.7415642930864e-05,1.7437837336814753e-05,1.7231973574402057e-05,1.69286888650312e-05
1000,1.4549113600291003e-05,1.465587107051449e-05,1.4791699851273787e-05,1.511072568787531e-05,1.4759203129145068e-05,1.516035538236048e-05,1.542507178684204e-05,1.5641223425425623e-05,1.586419104370607e-05,1.605076038965183e-05,1.6161086804903438e-05,1.63185072989021e-05,1.6387204028303368e-05,1.6458931607505227e-05,1.653386017455833e-05,1.6532961017894207e-05,1.655352289429675e-05,1.6673155846316708e-05,1.6738433824983547e-05,1.6715985580785243e-05,1.6765046033997828e-05,1.6789903882411706e-05,1.6594446398422276e-05,1.6307644216463664e-05
1050,1.3894451911800247e-05,1.4005161325118641e-05,1.4147511375450298e-05,1.4462285339593946e-05,1.4144327925300933e-05,1.4542136663527917e-05,1.4807051632338786e-05,1.5024668992378408e-05,1.524672146054298e-05,1.543238151287985e-05,1.5544124948895162e-05,1.5701000407304603e-05,1.5771527192081702e-05,1.584522207448319e-05,1.5922415410611543e-05,1.592520586128972e-05,1.5946444699591197e-05,1.6064291339045046e-05,1.6128623324456648e-05,1.610930229847664e-05,1.6154016525901986e-05,1.6181158287650158e-05,1.5995424606703003e-05,1.572383958712749e-05
1100,1.3287017233989958e-05,1.3400786440442029e-05,1.3548388095174043e-05,1.385858898777598e-05,1.357070458919231e-05,1.3964598924260796e-05,1.4229038161741476e-05,1.44474099792652e-05,1.466811519352341e-05,1.4852567473911167e-05,1.4965323343702873e-05,1.512135578434319e-05,1.5193345560120573e-05,1.5268624572466876e-05,1.534768777298594e-05,1.5353760746608822e-05,1.537554347742051e-05,1.5491573939318507e-05,1.5554944614693873e-05,1.5538458256518262e-05,1.5579215889045276e-05,1.5608310537595967e-05,1.5431675397494068e-05,1.5174167578146578e-05
1150,1.2722147390601546e-05,1.2838230630790502e-05,1.2990008069287173e-05,1.3295398904212461e-05,1.303452883212476e-05,1.3424055967620945e-05,1.3687461831667867e-05,1.3905991528007506e-05,1.4124995974836721e-05,1.4307996088782648e-05,1.4421420106492365e-05,1.4576364199895996e-05,1.4649501915655652e-05,1.4726035216898571e-05,1.4806624677899064e-05,1.4815620161564112e-05,1.4837831789490455e-05,1.4952028735709882e-05,1.5014428703085613e-05,1.5000515284102729e-05,1.5037665584709506e-05,1.5068423897015071e-05,1.4900313298689382e-05,1.4655853147286635e-05
1200,1.2195761236886675e-05,1.231353363924913e-05,1.2468573244167341e-05,1.2768985193877305e-05,1.2532440861395346e-05,1.2917245414562999e-05,1.3179157604270457e-05,1.3397344926999239e-05,1.3614360709573903e-05,1.3795709491306679e-05,1.3909508428701545e-05,1.4063162947145307e-05,1.4137177767231789e-05,1.4214681012136436e-05,1.4296497322586033e-05,1.4308096190915045e-05,1.4330637240532064e-05,1.4442993600991504e-05,1.4504418394829028e-05,1.4492843211442635e-05,1.4526699911232822e-05,1.4558868793668333e-05,1.4398754793408632e-05,1.4166410311731441e-05
1250,1.170427159657462e-05,1.1823208606591489e-05,1.1980733061726327e-05,1.2276052522797115e-05,1.2061462782395486e-05,1.2441269900127236e-05,1.2701309579484737e-05,1.2918735432866006e-05,1.3133529569717221e-05,1.3313065771433116e-05,1.3426989771032112e-05,1.3579190519138805e-05,1.365384932085796e-05,1.3732077096279634e-05,1.3814859025531623e-05,1.3828777780128963e-05,1.3851562139124322e-05,1.3962079247082454e-05,1.4022528507243885e-05,1.4013080624404447e-05,1.404392610101507e-05,1.4077283766809315e-05,1.392467990279119e-05,1.370360548080834e-05
1300,1.1244513378388316e-05,1.1364174059102289e-05,1.1523521028367752e-05,1.1813679155017271e-05,1.1618946272852733e-05,1.199354778550782e-05,1.2251404473148542e-05,1.246771832850574e-05,1.2680103890414562e-05,1.2857698121141726e-05,1.2971534275812575e-05,1.3122148221927034e-05,1.3197250149544063e-05,1.3275990454062486e-05,1.3359509846644221e-05,1.3375496123931066e-05,1.3398449214957874e-05,1.3507135263621352e-05,1.3566612040310064e-05,1.355910148806369e-05,1.3587190386153388e-05,1.3621542243053505e-05,1.3475999506092718e-05,1.3265426256346025e-05
