Production rate of Ti-44 by GCR (all) in meteoroid 80cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,12.14,19.28,26.42,33.56,40.7,47.84,54.98,62.12,69.26,76.4,83.54,90.68,97.82,104.96,112.1,119.24,126.38,133.52,140.66,147.8,154.94,162.08,169.22,176.36,183.5,190.64,197.78,204.92,212.06,219.2,226.34,233.48,240.62,247.76,254.9,262.04,269.18,276.32,283.46,290.6
0,5.624721429041731e-05,5.374027791144613e-05,5.197080729591302e-05,5.092598271582223e-05,4.6266238683345794e-05,4.450366057719594e-05,4.2725757056867074e-05,4.1604916190760537e-05,4.056241266138562e-05,3.956462240590084e-05,3.843479332213481e-05,3.7590447094075166e-05,3.69272517268916e-05,3.61315243023377e-05,3.550525770630867e-05,3.490994281554501e-05,3.423878627424572e-05,3.3585722621562913e-05,3.3041994797777294e-05,3.244390887184227e-05,3.19147726145728e-05,3.141689738074248e-05,3.093104562492202e-05,3.0415488215986125e-05,2.9961324852580254e-05,2.9548175203863545e-05,2.9231156999035814e-05,2.8923597995073443e-05,2.8690466117123155e-05,2.8344204646738193e-05,2.8093147210377867e-05,2.789452744346866e-05,2.7506764598849296e-05,2.738149731291991e-05,2.7168037031178066e-05,2.6806832540658813e-05,2.656996558249916e-05,2.6579414528494085e-05,2.6221379579716046e-05,2.618543242418911e-05,2.6368757679093683e-05,2.5998449807362904e-05,2.553967940019396e-05,2.5393525277311392e-05
50,4.862577444595985e-05,4.719423587335527e-05,4.602616813876524e-05,4.534821002650485e-05,4.178251179586017e-05,4.050329887417914e-05,3.913234518197243e-05,3.826508147169076e-05,3.744183659650585e-05,3.663458350885902e-05,3.5689530338201526e-05,3.497947516032077e-05,3.4420334846386884e-05,3.373081131801994e-05,3.318694087697811e-05,3.2674984333716315e-05,3.208353077333094e-05,3.150959066049517e-05,3.10340118014185e-05,3.0503855035591906e-05,3.0035325585635014e-05,2.9596571695182364e-05,2.9161268298219627e-05,2.8699393364018487e-05,2.8289802978403648e-05,2.791777823012828e-05,2.7629053000980608e-05,2.7348557443807114e-05,2.7136975796397893e-05,2.6820589770027124e-05,2.658881527972589e-05,2.6415489390456488e-05,2.6052237326197788e-05,2.594085815938989e-05,2.5743789372745528e-05,2.5413361853587427e-05,2.5194519305974643e-05,2.5207262293917405e-05,2.48572436592323e-05,2.483969823546194e-05,2.501066407068966e-05,2.466819757643059e-05,2.4230361349609536e-05,2.410007653606412e-05
100,4.2924207544208955e-05,4.2044443519418416e-05,4.1264675782713605e-05,4.083594332149576e-05,3.805473524943996e-05,3.713065346277511e-05,3.6069004203744134e-05,3.5397304839600835e-05,3.474501864024299e-05,3.4087833658985554e-05,3.329150385292629e-05,3.269115997162639e-05,3.2217504657302506e-05,3.161636046364791e-05,3.1141200336610005e-05,3.06984116891919e-05,3.0173948561981658e-05,2.9666539172211432e-05,2.924796897286647e-05,2.877518460362069e-05,2.8357706343936e-05,2.796893081701623e-05,2.7576733593287985e-05,2.7160700978225837e-05,2.678954064493302e-05,2.6452978724455888e-05,2.6188927233864895e-05,2.593216322160347e-05,2.573913935175904e-05,2.544903764917903e-05,2.5234351488968688e-05,2.508247733339933e-05,2.474130525830692e-05,2.4641682844075436e-05,2.445910911078878e-05,2.4155985047625725e-05,2.395259652740001e-05,2.396821092848375e-05,2.362656053517837e-05,2.3624105473759314e-05,2.378416478973576e-05,2.3466147487592413e-05,2.3048400892827287e-05,2.293001358070449e-05
150,3.8398572718380866e-05,3.785584340005771e-05,3.7345893084909705e-05,3.709443202596559e-05,3.489942256944846e-05,3.4243838777004034e-05,3.3422611560527e-05,3.2904717322961394e-05,3.2388261851722585e-05,3.185144445525194e-05,3.1176717210310795e-05,3.0667174392053664e-05,3.026456992297638e-05,2.973780950664774e-05,2.932063434659228e-05,2.8935892494749898e-05,2.8468389047869454e-05,2.8017541899631267e-05,2.764720643827747e-05,2.722343004396573e-05,2.6849417735202e-05,2.650332755675788e-05,2.614828201485086e-05,2.5771787294448436e-05,2.5434075235571788e-05,2.51283535473453e-05,2.4886005687268112e-05,2.4650196192392345e-05,2.447329155957296e-05,2.420649075944028e-05,2.4007056593671226e-05,2.3873502803777644e-05,2.3552328741383556e-05,2.346276813105781e-05,2.3293084345788047e-05,2.301432614949647e-05,2.2824314047091728e-05,2.284244646720239e-05,2.2509360415804634e-05,2.2519329613406995e-05,2.2669657983916555e-05,2.2373309473105393e-05,2.197469044383029e-05,2.1865203381017155e-05
200,3.469158895989191e-05,3.43721261351506e-05,3.4057401984999794e-05,3.3935775713419076e-05,3.219124463540719e-05,3.174283831826085e-05,3.11116945349824e-05,3.0716606663907636e-05,3.030966523988197e-05,2.9870787596462044e-05,2.9296746408155744e-05,2.8863156830771102e-05,2.8520182096441622e-05,2.8056623783293177e-05,2.7688872866625004e-05,2.7353308816697353e-05,2.6934706172481693e-05,2.653239408493265e-05,2.6203261213844364e-05,2.582174674433984e-05,2.548507920040633e-05,2.5175762084425525e-05,2.4853021100072015e-05,2.4510914144439007e-05,2.4202544915253704e-05,2.392383690790848e-05,2.3700715940329177e-05,2.348352063203539e-05,2.3320719271598554e-05,2.3074705222513853e-05,2.2888965584351972e-05,2.2771152449021556e-05,2.2468173617812922e-05,2.238730306985603e-05,2.222914117710941e-05,2.197223949080304e-05,2.179389773461502e-05,2.1814249038548398e-05,2.1489802719330612e-05,2.1510029267087877e-05,2.165159963968713e-05,2.137460083179869e-05,2.0994107002599397e-05,2.0891234296382917e-05
250,3.1590190934338646e-05,3.142584769859382e-05,3.125614239568538e-05,3.12315382574468e-05,2.9840436583457417e-05,2.9554348001730807e-05,2.9075515543475066e-05,2.8779673596507955e-05,2.8462075975973728e-05,2.810382493535325e-05,2.7614022523920863e-05,2.7244536840258322e-05,2.69520223690816e-05,2.6542605389408807e-05,2.621734279366947e-05,2.5923782281134767e-05,2.5547509974194433e-05,2.5187177601051576e-05,2.4893530369346294e-05,2.454875764671819e-05,2.424442805183123e-05,2.3967027157141325e-05,2.3672589330011176e-05,2.3360608462989513e-05,2.307815489288774e-05,2.282325697319674e-05,2.2617271436935497e-05,2.24166995073687e-05,2.2266315688163734e-05,2.2038945673332294e-05,2.1865565558391644e-05,2.17613485812264e-05,2.147499041250629e-05,2.1401684373833222e-05,2.1253870658323146e-05,2.1016663463990043e-05,2.0848574097356386e-05,2.087088845456249e-05,2.0555065181966577e-05,2.0583774123798155e-05,2.0717406445645198e-05,2.0457796604720496e-05,2.009442835032323e-05,1.999641499159015e-05
300,2.89540301654604e-05,2.8900854972069742e-05,2.8840862193958012e-05,2.888979176308805e-05,2.7780475099756698e-05,2.7623057115080402e-05,2.72675976066037e-05,2.7052753684759535e-05,2.6808755264766236e-05,2.65175266843499e-05,2.60988250393893e-05,2.5783858451299318e-05,2.553435163703508e-05,2.5171645814525237e-05,2.4883180720988107e-05,2.4625750399450496e-05,2.4286384852362497e-05,2.3962614851976745e-05,2.3699749440093776e-05,2.338714590961043e-05,2.3111011934944697e-05,2.2861492578652604e-05,2.259201557098857e-05,2.2306595758106333e-05,2.204716592379683e-05,2.1813370274857463e-05,2.1622735737281717e-05,2.14370799535238e-05,2.129769065815576e-05,2.108712141419437e-05,2.0924946441023943e-05,2.0832528970196e-05,2.0561406326712435e-05,2.0494730708769043e-05,2.0356251966926103e-05,2.0136862565299296e-05,1.9977835481269253e-05,2.000189218209408e-05,1.9694605994058815e-05,1.9730333754252285e-05,1.9856729193649514e-05,1.9612832206486728e-05,1.926561698620931e-05,1.917111026087115e-05
350,2.6684989996706572e-05,2.671318319100677e-05,2.673728104195856e-05,2.6842489070221497e-05,2.5960752228169577e-05,2.5906265298373784e-05,2.5651629614183505e-05,2.5503429413302974e-05,2.5320553234968435e-05,2.5085498893278605e-05,2.4727264662660523e-05,2.445897479504558e-05,2.4246354114953565e-05,2.3924203512733727e-05,2.366781569292514e-05,2.3441657348965918e-05,2.3134673849804913e-05,2.284294321493437e-05,2.2606949168095843e-05,2.2322687193357252e-05,2.207128775628815e-05,2.1846265744066062e-05,2.1598929405653125e-05,2.1337060235635208e-05,2.109819128645235e-05,2.088319012624579e-05,2.070637080564832e-05,2.0534156649559735e-05,2.040455083660871e-05,2.020918408185933e-05,2.005720856424945e-05,1.9975075001760754e-05,1.97179619114563e-05,1.965713398859743e-05,1.9527110540028727e-05,1.9323899174118776e-05,1.917292717288669e-05,1.9198534379017824e-05,1.8899647969791907e-05,1.894118077609083e-05,1.9060946153495287e-05,1.883131593450999e-05,1.849932175690432e-05,1.840727730593729e-05
400,2.4711627682816762e-05,2.4800238578339562e-05,2.4889382360668218e-05,2.5037932167692758e-05,2.4341950127228447e-05,2.4370385500150667e-05,2.419875326122963e-05,2.4105756971243067e-05,2.3973988801331534e-05,2.378634951172122e-05,2.3479879506498517e-05,2.3251785744841413e-05,2.3070976374533074e-05,2.2784234673415843e-05,2.2555971572938553e-05,2.235703022277376e-05,2.2078618755717854e-05,2.1815117134465485e-05,2.1602713972448824e-05,2.134355988846317e-05,2.1113977958752956e-05,2.0910590612627528e-05,2.0682994377247697e-05,2.0442112726704092e-05,2.0221690337144767e-05,2.0023502452202238e-05,1.9859166637370444e-05,1.9699112463618905e-05,1.957825214113388e-05,1.9396692457836932e-05,1.9254034523792583e-05,1.918089849715597e-05,1.8936704072644685e-05,1.8881062398540454e-05,1.875872639185482e-05,1.8570251954263117e-05,1.8426476447704975e-05,1.8453466329618696e-05,1.8162805057391594e-05,1.820913123508879e-05,1.832279698688804e-05,1.810617600146796e-05,1.7788518344829142e-05,1.7698130259051333e-05
