Production rate of Ti-44 by GCR (all) in meteoroid 10cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,9.03,13.06,17.09,21.12,25.15,29.18,33.21
0,7.09741679356588e-05,6.584124710693495e-05,6.153989452534707e-05,6.125084779373769e-05,5.244973949824363e-05,5.17907328046621e-05,5.1416594146347854e-05,5.0828930141176634e-05,4.985790677735502e-05,4.9081684741045616e-05,4.871608880743744e-05
50,6.107481921965952e-05,5.72664519912853e-05,5.390099617755281e-05,5.385291108840985e-05,4.643858352939259e-05,4.602544218986268e-05,4.580906621036786e-05,4.538739360199505e-05,4.461459421801925e-05,4.397241348076252e-05,4.366373986063747e-05
100,5.3585098123043934e-05,5.0550245103814085e-05,4.781349787616578e-05,4.7912070485919006e-05,4.154059608763036e-05,4.1295349797443164e-05,4.118643842564639e-05,4.088388728044484e-05,4.0260230691783416e-05,3.972149783895769e-05,3.945813132199722e-05
150,4.76142348445333e-05,4.5108927025042175e-05,4.2830608661616234e-05,4.3022963612796526e-05,3.746775021834051e-05,3.734152473267505e-05,3.730835592974306e-05,3.709408506356624e-05,3.658555367598176e-05,3.612842160382357e-05,3.590174565934751e-05
200,4.2716556803858285e-05,4.060134371669557e-05,3.867285915438949e-05,3.89265546333221e-05,3.4027901319312904e-05,3.3988155735191094e-05,3.400955991943282e-05,3.3862212809427546e-05,3.344429634914234e-05,3.3052648914964496e-05,3.285610497861183e-05
250,3.8619906177507696e-05,3.680498471275886e-05,3.5151695673445366e-05,3.544570852445467e-05,3.10860168953047e-05,3.111017183906497e-05,3.1171457020991605e-05,3.107570380416178e-05,3.073022345335923e-05,3.0391872459688344e-05,3.022036536699847e-05
300,3.514219037394839e-05,3.3565489450444036e-05,3.2133555845582336e-05,3.2453748380102134e-05,2.854363338604326e-05,2.8615537486704625e-05,2.870620740303844e-05,2.865074251396695e-05,2.8363905262825326e-05,2.8069447338809846e-05,2.7918951863194987e-05
350,3.215470336741784e-05,3.0771230744861654e-05,2.952045201394971e-05,2.9857063046256613e-05,2.632690735170355e-05,2.643473340079757e-05,2.6547120217468618e-05,2.652342689605013e-05,2.6284572130315632e-05,2.602663181182628e-05,2.5893922800782373e-05
400,2.9562972089450042e-05,2.8338969561271396e-05,2.7238532306085274e-05,2.75846930785009e-05,2.4379205913851147e-05,2.4514130899546298e-05,2.4642533658789453e-05,2.4644084713936664e-05,2.444484486909457e-05,2.4217556051915845e-05,2.4100017939585764e-05
450,2.7295670563376922e-05,2.6205130769144635e-05,2.5230920857156584e-05,2.5581732657262988e-05,2.2656288051683486e-05,2.2811630709988917e-05,2.295175077260417e-05,2.297347212714868e-05,2.280719289780576e-05,2.260583364548176e-05,2.2501322768484412e-05
500,2.5297743633860997e-05,2.4320205047505963e-05,2.345302750551617e-05,2.3804965856085355e-05,2.112305222904127e-05,2.1293690897648155e-05,2.144225015529912e-05,2.14801498949292e-05,2.1341479348219227e-05,2.1162208718155018e-05,2.1068951788015985e-05
550,2.3525921761336607e-05,2.2645006822954247e-05,2.1869363103927192e-05,2.221988079302253e-05,1.9751274331816752e-05,1.993324334915797e-05,2.0087719235347118e-05,2.013862470817166e-05,2.0023215745895268e-05,1.986288039461718e-05,1.9779398336033322e-05
600,2.1945680466731255e-05,2.1148090290466586e-05,2.045131326410263e-05,2.0798569034588553e-05,1.8517994724378743e-05,1.8708198260156398e-05,1.886663576183852e-05,1.8928003345829604e-05,1.8832294226996237e-05,1.868828387952245e-05,1.861333383666085e-05
650,2.0529114842139538e-05,1.9803917024514558e-05,1.917554392316076e-05,1.9518213054090116e-05,1.7404343661172407e-05,1.76003488898154e-05,1.776122467115611e-05,1.7830999652050896e-05,1.775204947652739e-05,1.7622187313157903e-05,1.7554717904444474e-05
700,1.9253415836360653e-05,1.859152728207831e-05,1.8022835689450737e-05,1.8359975345007228e-05,1.639467026365671e-05,1.6594555391597123e-05,1.6756677986024083e-05,1.6833189739230823e-05,1.6768553378359025e-05,1.6651011816668934e-05,1.6590128204142508e-05
750,1.8099754603131555e-05,1.749355803488616e-05,1.697721641174624e-05,1.7308168435591315e-05,1.5475886304235756e-05,1.5678127281191457e-05,1.5840562737295263e-05,1.5922445249238494e-05,1.5870077069053148e-05,1.5763312304721307e-05,1.570824863647052e-05
800,1.705245073541052e-05,1.6495505185920722e-05,1.602530559480232e-05,1.634962539950651e-05,1.4636964869324365e-05,1.4840349858186164e-05,1.5002365657093195e-05,1.5088496533079928e-05,1.5046675448989446e-05,1.4949376045953557e-05,1.4899473507263429e-05
850,1.609834234994142e-05,1.558516117189624e-05,1.5155812096099734e-05,1.5473216042799806e-05,1.3868552551009235e-05,1.4072116624133778e-05,1.4233138911377556e-05,1.4322592066604266e-05,1.4289862613535725e-05,1.4200908747264846e-05,1.415559792675444e-05
