Production rate of Ti-44 by GCR (all) in meteoroid 20cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.34,15.68,21.02,26.36,31.7,37.04,42.38,47.72,53.06,58.4,63.74,69.08
0,6.697779508277129e-05,6.344551486076998e-05,6.059801546926987e-05,5.984682791406762e-05,5.222113547772188e-05,5.140561036776576e-05,5.062571429400542e-05,2.3579238648998325e-05,4.91092218141887e-05,4.86902907475999e-05,4.8210797993195836e-05,4.779993883207805e-05,4.745651824702918e-05,4.679768375929196e-05,4.5979329517627324e-05,4.494472274847192e-05
50,5.778648438530063e-05,5.542387443638375e-05,5.3309889470462894e-05,5.2882461781358865e-05,4.6571751779395475e-05,4.606034300584972e-05,4.5547407629367736e-05,2.1758959403910833e-05,4.443117943171347e-05,4.413215932875732e-05,4.3768057057382993e-05,4.346725226436257e-05,4.321557273742969e-05,4.2657715871771965e-05,4.195357655579412e-05,4.101348153828868e-05
100,5.0823563905061167e-05,4.909023243925887e-05,4.7459529556293016e-05,4.724409038245197e-05,4.191098937513599e-05,4.1610808589457465e-05,4.128772016870696e-05,2.025517555073438e-05,4.04674831901208e-05,4.0257396814511227e-05,3.997999822346544e-05,3.9761471844824864e-05,3.9577952440965e-05,3.9100716398383516e-05,3.84905033761299e-05,3.7631689372098366e-05
150,4.525799857860777e-05,4.392770569727667e-05,4.264103165922942e-05,4.2570906003348795e-05,3.799437469599739e-05,3.7845529453180856e-05,3.766118438643504e-05,1.8978968152048314e-05,3.7064834304696106e-05,3.6922094565631235e-05,3.671128327548187e-05,3.655549381795605e-05,3.642366444507778e-05,3.601195494132078e-05,3.547993769061898e-05,3.469171189890263e-05
200,4.067887443308491e-05,3.962905740389575e-05,3.859819952530281e-05,3.8630444493780285e-05,3.4655830221003496e-05,3.461765609322171e-05,3.453660929008527e-05,1.7872819850001643e-05,3.411250141803068e-05,3.4021555416526964e-05,3.3862741245379416e-05,3.375550084922283e-05,3.3663484880778045e-05,3.3305790611572826e-05,3.283953697494895e-05,3.2113121153795955e-05
250,3.68365766032213e-05,3.5992039019823034e-05,3.5157093778568206e-05,3.5262669257292945e-05,3.177696338372033e-05,3.182083699250121e-05,3.181769445590162e-05,1.689790086544539e-05,3.152783811646297e-05,3.147719202485801e-05,3.135951612484097e-05,3.129027256892504e-05,3.122929292898064e-05,3.091664304564809e-05,3.0506175666989753e-05,2.983427025026717e-05
300,3.356448589875004e-05,3.2875475786174984e-05,3.2193864195438804e-05,3.235244390721751e-05,2.9270407619266387e-05,2.9375632473494065e-05,2.9431750237920345e-05,1.6027075721735273e-05,2.9247602792626496e-05,2.92285895956574e-05,2.9143802305200034e-05,2.9104555426522278e-05,2.906799712447266e-05,2.879327812066614e-05,2.8430486983915775e-05,2.7806955866854874e-05
350,3.074492497447671e-05,3.0176788010956438e-05,2.961722840225611e-05,2.9814215389322303e-05,2.7069960923830308e-05,2.7221257097688715e-05,2.732268148806848e-05,1.5240812787256419e-05,2.7222427054540976e-05,2.7228403174278167e-05,2.717013067600002e-05,2.7154719383895306e-05,2.7137515926967877e-05,2.6895005531925713e-05,2.6573226546483455e-05,2.5992863205837878e-05
400,2.829150325667331e-05,2.7819174925215073e-05,2.735809484193749e-05,2.7582797589876504e-05,2.5124382787928903e-05,2.53102808174911e-05,2.5446405914090765e-05,1.4524681314221949e-05,2.5413130248861307e-05,2.543893329031725e-05,2.5402181302203937e-05,2.540579850808211e-05,2.5404016714904755e-05,2.5189055592662515e-05,2.490276106607232e-05,2.4361111404571955e-05
450,2.6138948701826393e-05,2.574376784984541e-05,2.5363040411158517e-05,2.5607506086436424e-05,2.3393311197103925e-05,2.3605085815769518e-05,2.3767747885254145e-05,1.3867764622851544e-05,2.3788178115839386e-05,2.382975038209591e-05,2.38105585631693e-05,2.3829412074398006e-05,2.383996341042386e-05,2.3648717890778996e-05,2.339328470615153e-05,2.2886510534543796e-05
500,2.4236821890148065e-05,2.390457050707464e-05,2.3590022227328162e-05,2.3848262922888972e-05,2.1844477866700376e-05,2.2075418734524537e-05,2.2258268188140162e-05,1.3261624357507654e-05,2.232188125077726e-05,2.2376002131362548e-05,2.2371197651754684e-05,2.2402267673534962e-05,2.2422702948981613e-05,2.2251989839599318e-05,2.202352294293398e-05,2.1548295222542272e-05
550,2.254542513162683e-05,2.2265063918789726e-05,2.2005456353565516e-05,2.227292076626722e-05,2.0451753421651244e-05,2.0696653913492612e-05,2.0894709562551843e-05,1.269960746229513e-05,2.0993088404785087e-05,2.1057180318530583e-05,2.1064198560521324e-05,2.1105060913639162e-05,2.1133421421634198e-05,2.0980576290576585e-05,2.0775772367486256e-05,2.032918665509132e-05
600,2.10330332287052e-05,2.0795854544316433e-05,2.058216939803859e-05,2.085537325149896e-05,1.9193741910926097e-05,1.9448533251342552e-05,1.9657859699021083e-05,1.2176372298671541e-05,1.9784220117834427e-05,1.9856205353351346e-05,1.987295716860049e-05,1.9921652258760215e-05,1.9956360019014983e-05,1.981913660276923e-05,1.963517747704731e-05,1.9214686199299577e-05
650,1.9673959289325018e-05,1.9473001856474018e-05,1.9297927170449976e-05,1.957418935183537e-05,1.8052749538998847e-05,1.8314234269386423e-05,1.8531704466473148e-05,1.1687558251190144e-05,1.8680541970370577e-05,1.875873547958024e-05,1.8783507412008237e-05,1.8838441694174086e-05,1.8878217336927932e-05,1.8754709665631473e-05,1.858917801766658e-05,1.8192535681033803e-05
700,1.8447168694343875e-05,1.8276802588482066e-05,1.8134355998347225e-05,1.8411606850856452e-05,1.7014014597380935e-05,1.727966939658811e-05,1.750278730692073e-05,1.1229551253010467e-05,1.766960996771331e-05,1.7752638016096934e-05,1.7784016294152752e-05,1.7843887221786814e-05,1.788768775145392e-05,1.777626913287757e-05,1.76270812067426e-05,1.725229967298668e-05
750,1.7335264294231058e-05,1.719089014017607e-05,1.707613784031827e-05,1.7352777758878242e-05,1.6065123561274205e-05,1.6332951395877277e-05,1.655971784417913e-05,1.0799314626588323e-05,1.674084175902114e-05,1.6827579467964477e-05,1.6864391411345182e-05,1.6928129621084453e-05,1.6975100699633002e-05,1.687437539882639e-05,1.6739726796133517e-05,1.6385038476576983e-05
